PredictFile,Created,Acc6m,Acc3m,Acc1m,AccSD6m,AccSD3m,Prev6m,Prev3m,Prev1m,PrevSD6m,PrevSD3m
ADA-USD-predict-ensamble-gakknn-MA.csv,2020-11-13T20:06:20.481356Z,0.722,0.504,0.625,0.164,0.119,0.656,0.519,0.375,0.101,0.146
ADA-USD-predict-ensamble-gakknn-MAA.csv,2020-11-14T19:40:50.693138Z,0.693,0.542,0.708,0.155,0.144,0.618,0.555,0.708,0.146,0.205
ADA-USD-predict-ensamble-gakknn-MAB.csv,2020-11-14T20:21:09.534548Z,0.71,0.552,0.542,0.109,0.013,0.59,0.39,0.292,0.225,0.253
ADA-USD-predict-ensamble-gakknn-MAC.csv,2020-11-14T21:27:52.634252Z,0.721,0.613,0.625,0.08,0.028,0.591,0.584,0.708,0.156,0.163
ADA-USD-predict-ensamble-gakknn-MAD.csv,2020-11-14T22:11:56.076128Z,0.684,0.559,0.625,0.117,0.071,0.65,0.504,0.625,0.14,0.108
ADA-USD-predict-ensamble-gakknn-MAE.csv,2020-11-15T09:52:57.160963Z,0.474,0.544,0.462,0.154,0.073,0.137,0.048,0,0.168,0.082
ADA-USD-predict-ensamble-gakknn-MAF.csv,2020-11-15T12:16:45.435861Z,0.655,0.481,0.458,0.13,0.076,0.534,0.291,0.125,0.221,0.226
ADA-USD-predict-ensamble-gakknn-MAG.csv,2020-11-15T13:40:41.759985Z,0.639,0.527,0.632,0.139,0.1,0.627,0.442,0.474,0.134,0.038
ADA-USD-predict-ensamble-gakknn-MAH.csv,2020-11-15T14:24:00.100484Z,0.704,0.459,0.458,0.14,0.025,0.607,0.328,0.292,0.178,0.124
ADA-USD-predict-ensamble-gakknn-MB.csv,2020-11-15T17:02:49.432655Z,0.753,0.437,0.458,0.155,0.044,0.6,0.539,0.542,0.137,0.172
ADA-USD-predict-ensamble-gakknn-MBA.csv,2020-11-15T18:41:43.862048Z,0.671,0.486,0.542,0.165,0.054,0.595,0.355,0.375,0.148,0.057
ADA-USD-predict-ensamble-gakknn-MBB.csv,2020-11-15T19:26:01.745702Z,0.683,0.528,0.583,0.159,0.082,0.696,0.606,0.417,0.16,0.167
ADA-USD-predict-ensamble-gakknn-MBC.csv,2020-11-15T20:14:08.891519Z,0.727,0.548,0.625,0.12,0.112,0.618,0.459,0.458,0.197,0.025
ADA-USD-predict-ensamble-gakknn-MBD.csv,2020-11-15T21:22:02.684141Z,0.721,0.584,0.542,0.109,0.081,0.535,0.25,0.292,0.178,0.036
ADA-USD-predict-ensamble-gakknn-MBE.csv,2020-11-16T08:12:32.651951Z,0.726,0.503,0.625,0.169,0.106,0.606,0.371,0.458,0.214,0.097
ADA-USD-predict-ensamble-gakknn-MC.csv,2020-11-16T09:26:41.946627Z,0.776,0.466,0.542,0.143,0.124,0.568,0.394,0.625,0.182,0.201
ADA-USD-predict-ensamble-gakknn-MCA.csv,2020-11-16T11:40:38.637778Z,0.677,0.491,0.458,0.152,0.05,0.601,0.415,0.458,0.163,0.046
ADA-USD-predict-ensamble-gakknn-MCB.csv,2020-11-16T13:08:29.967968Z,0.512,0.5,0.1,0.295,0.4,0.167,0,0,0.408,0
ADA-USD-predict-ensamble-gakknn-MCC.csv,2020-11-16T14:21:23.220210Z,0.726,0.511,0.417,0.117,0.092,0.595,0.351,0.167,0.119,0.17
ADA-USD-predict-ensamble-gakknn-MCD.csv,2020-11-16T16:00:52.708010Z,0.754,0.523,0.583,0.158,0.066,0.613,0.469,0.583,0.126,0.183
ADA-USD-predict-ensamble-gakknn-MCE.csv,2020-11-16T17:58:29.304331Z,0.599,0.544,0.4,0.109,0.13,0.585,0.415,0.1,0.237,0.295
ADA-USD-predict-ensamble-gakknn-MCF.csv,2020-11-16T17:08:08.344790Z,0.727,0.489,0.583,0.229,0.111,0.551,0.351,0.333,0.182,0.094
ADA-USD-predict-ensamble-gakknn-MD.csv,2020-11-16T18:55:25.451478Z,0.687,0.422,0.417,0.214,0.124,0.699,0.391,0.417,0.159,0.032
ADA-USD-predict-ensamble-gakknn-MDA.csv,2020-11-16T20:15:54.599436Z,0.721,0.449,0.625,0.204,0.153,0.601,0.48,0.625,0.181,0.189
ADA-USD-predict-ensamble-gakknn-MDB.csv,2020-11-17T07:00:43.338946Z,0.769,0.595,0.375,0.052,0.193,0.69,0.376,0.208,0.113,0.151
ADA-USD-predict-ensamble-gakknn-MDC.csv,2020-11-17T08:15:41.621518Z,0.803,0.514,0.458,0.122,0.103,0.584,0.355,0.542,0.177,0.161
ADA-USD-predict-ensamble-gakknn-MDD.csv,2020-11-17T09:29:11.681548Z,0.72,0.53,0.478,0.151,0.072,0.561,0.294,0.391,0.227,0.096
ADA-USD-predict-ensamble-gakknn-MDE.csv,2020-11-17T12:23:06.279396Z,0.711,0.501,0.292,0.125,0.186,0.557,0.195,0.125,0.19,0.071
