PredictFile,Created,ProdDays,Acc6m,Acc3m,Acc1m,AccSD6m,AccSD3m,Prev6m,Prev3m,Prev1m,PrevSD6m,PrevSD3m
ADA-USD-predict-ensamble-gakknn-MICC.csv,2020-11-26T16:31:21.301175Z,2,0.657,0.472,0.464,0.151,0.057,0.549,0.512,0.357,0.07,0.16
ADA-USD-predict-ensamble-gakknn-MICD.csv,2020-11-26T18:07:30.643863Z,2,0.674,0.563,0.571,0.134,0.043,0.532,0.448,0.393,0.05,0.054
ADA-USD-predict-ensamble-gakknn-MICE.csv,2020-11-26T19:33:37.931097Z,2,0.679,0.518,0.536,0.163,0.092,0.516,0.469,0.357,0.087,0.099
ADA-USD-predict-ensamble-gakknn-MID.csv,2020-11-27T08:01:06.167935Z,1,0.653,0.572,0.536,0.15,0.039,0.51,0.485,0.571,0.065,0.086
ADA-USD-predict-ensamble-gakknn-MIDA.csv,2020-11-27T09:38:05.450535Z,1,0.686,0.494,0.429,0.186,0.121,0.619,0.511,0.321,0.05,0.165
ADA-USD-predict-ensamble-gakknn-MIDB.csv,2020-11-27T11:10:38.076367Z,1,0.575,0.454,0.607,0.174,0.135,0.608,0.545,0.714,0.129,0.152
ADA-USD-predict-ensamble-gakknn-MIDC.csv,2020-11-27T12:17:34.999389Z,1,0.674,0.567,0.714,0.154,0.147,0.5,0.504,0.821,0.144,0.28
ADA-USD-predict-ensamble-gakknn-MIDD.csv,2020-11-27T13:40:48.635412Z,1,0.7,0.482,0.5,0.189,0.108,0.57,0.621,0.75,0.087,0.114
ADA-USD-predict-ensamble-gakknn-MIF.csv,2020-11-27T15:33:15.823148Z,1,0.705,0.559,0.5,0.143,0.076,0.576,0.516,0.464,0.088,0.051
ADA-USD-predict-ensamble-gakknn-MIFA.csv,2020-11-27T18:37:11.922888Z,1,0.668,0.617,0.571,0.105,0.072,0.537,0.413,0.321,0.097,0.098
ADA-USD-predict-ensamble-gakknn-MIFB.csv,2020-11-27T21:29:21.425436Z,1,0.641,0.517,0.536,0.124,0.018,0.576,0.54,0.571,0.067,0.063
ADA-USD-predict-ensamble-gakknn-MIG.csv,2020-11-28T08:30:30.229281Z,0,0.662,0.516,0.5,0.145,0.017,0.565,0.561,0.536,0.058,0.023
ADA-USD-predict-ensamble-gakknn-MIGA.csv,2020-11-28T11:39:23.078288Z,0,0.701,0.573,0.571,0.128,0.007,0.57,0.504,0.464,0.081,0.067
ADA-USD-predict-ensamble.csv,2020-11-03T16:16:41.526855Z,25,0.597,0.546,0.429,0.066,0.125,0.51,0.433,0.321,0.171,0.212
ADA-USD-predict-glmLDC-ensamble.csv,2020-10-29T15:26:36.144748Z,30,0.603,0.526,0.464,0.097,0.078,0.516,0.388,0.214,0.148,0.167
ADA-USD-predict-glmLDD-ensamble.csv,2020-11-03T16:19:44.073279Z,25,0.555,0.503,0.429,0.117,0.076,0.499,0.41,0.25,0.148,0.166
ADA-USD-predict-glmLDF-ensamble.csv,2020-10-30T18:45:10.299369Z,29,0.565,0.556,0.393,0.085,0.159,0.465,0.286,0.143,0.178,0.256
ADA-USD-predict-glmLDG-ensamble.csv,2020-11-04T08:21:26.391272Z,24,0.576,0.547,0.464,0.113,0.114,0.509,0.411,0.286,0.142,0.177
ADA-USD-predict-kknnLDA-ensamble.csv,2020-10-31T10:56:26.514571Z,28,0.588,0.552,0.536,0.138,0.174,0.51,0.507,0.571,0.105,0.07
ADA-USD-predict-kknnLDAA-ensamble.csv,2020-10-31T11:04:03.724938Z,28,0.604,0.562,0.536,0.111,0.126,0.494,0.474,0.571,0.111,0.125
ADA-USD-predict-kknnLDAB-ensamble.csv,2020-10-31T18:26:17.047512Z,28,0.62,0.558,0.429,0.064,0.114,0.455,0.448,0.464,0.187,0.206
ADA-USD-predict-kknnLDAC-ensamble.csv,2020-10-31T08:03:45.211416Z,28,0.609,0.571,0.5,0.06,0.062,0.477,0.389,0.321,0.187,0.199
ADA-USD-predict-kknnLDAD-ensamble.csv,2020-11-01T11:35:01.112295Z,27,0.604,0.591,0.464,0.093,0.123,0.45,0.366,0.286,0.212,0.249
ADA-USD-predict-kknnLDAE-ensamble.csv,2020-11-03T14:16:45.017218Z,25,0.642,0.591,0.429,0.099,0.145,0.455,0.417,0.536,0.155,0.188
ADA-USD-predict-kknnLDAF-ensamble.csv,2020-11-01T12:48:37.182381Z,27,0.647,0.635,0.464,0.137,0.157,0.461,0.508,0.643,0.129,0.183
ADA-USD-predict-kknnLDAG-ensamble.csv,2020-11-03T14:56:16.898897Z,25,0.647,0.546,0.357,0.072,0.165,0.558,0.502,0.464,0.203,0.223
ADA-USD-predict-kknnLDAH-ensamble.csv,2020-11-03T19:02:37.921138Z,25,0.582,0.582,0.5,0.147,0.074,0.417,0.402,0.393,0.21,0.239
ADA-USD-predict-kknnLDB-ensamble.csv,2020-11-04T12:58:11.405023Z,24,0.598,0.566,0.357,0.154,0.195,0.412,0.233,0.179,0.201,0.166
ADA-USD-predict-kknnLDC-ensamble.csv,2020-11-04T15:20:25.015610Z,24,0.62,0.616,0.571,0.059,0.055,0.466,0.278,0.25,0.225,0.193
ADA-USD-predict-kknnLDD-ensamble.csv,2020-11-04T18:07:44.010034Z,24,0.614,0.616,0.536,0.041,0.07,0.484,0.298,0.143,0.147,0.154
ADA-USD-predict-kknnLDDA-ensamble.csv,2020-11-06T14:40:50.237531Z,22,0.577,0.594,0.571,0.143,0.075,0.521,0.417,0.464,0.107,0.049
ADA-USD-predict-kknnLDDB-ensamble.csv,2020-11-06T16:51:17.747192Z,22,0.572,0.654,0.75,0.167,0.083,0.429,0.407,0.5,0.158,0.081
ADA-USD-predict-kknnLDDC-ensamble.csv,2020-11-06T17:26:23.636115Z,22,0.604,0.572,0.536,0.126,0.053,0.559,0.507,0.571,0.095,0.056
ADA-USD-predict-kknnLDDD-ensamble.csv,2020-11-06T20:05:15.259564Z,22,0.609,0.561,0.536,0.124,0.045,0.434,0.428,0.5,0.17,0.111
ADA-USD-predict-kknnLDDE-ensamble.csv,2020-11-06T20:59:00.374506Z,22,0.598,0.571,0.5,0.081,0.073,0.391,0.349,0.393,0.079,0.071
ADA-USD-predict-kknnLDDF-ensamble.csv,2020-11-07T11:47:16.524201Z,21,0.582,0.53,0.607,0.101,0.088,0.549,0.526,0.429,0.047,0.088
ADA-USD-predict-kknnLDE-ensamble.csv,2020-11-06T12:20:39.581822Z,22,0.577,0.523,0.357,0.093,0.144,0.434,0.299,0.179,0.202,0.163
ADA-USD-predict-kknnLDF-ensamble.csv,2020-11-07T19:58:19.805192Z,21,0.566,0.617,0.607,0.12,0.056,0.358,0.237,0.286,0.222,0.044
ADA-USD-predict-kknnLDH-ensamble.csv,2020-11-07T20:38:54.436057Z,21,0.631,0.591,0.464,0.118,0.123,0.512,0.481,0.357,0.114,0.14
ADA-USD-predict-kknnLDJ-ensamble.csv,2020-11-08T07:48:28.525980Z,20,0.636,0.638,0.536,0.096,0.099,0.418,0.436,0.429,0.158,0.14
