PredictFile,Symbol,Created,ProdDays,Acc6m,Acc3m,Acc2m,Acc1m,AccSD6m,AccSD3m,AccSD2m,Prev6m,Prev3m,Prev2m,Prev1m,PrevSD6m,PrevSD3m,PrevSD2m,Rank
ADA-USD-predict-ensamble-gakknn-VFD.csv,ADA-USD,2020-12-08T10:01:56Z,141,0.526,0.717,0.683,0.786,0.136,0.118,0.145,0.56,0.429,0.393,0.464,0.071,0.094,0.1,0.626867098801729
ADA-USD-predict-ensamble-gakknn-NCA.csv,ADA-USD,2020-12-01T18:41:37Z,148,0.501,0.645,0.646,0.679,0.12,0.033,0.046,0.45,0.428,0.392,0.429,0.106,0.073,0.052,0.624626390882644
ADA-USD-predict-ensamble-gakknn-MIHE.csv,ADA-USD,2020-11-29T17:39:19Z,150,0.5,0.621,0.646,0.679,0.063,0.054,0.046,0.515,0.428,0.427,0.5,0.098,0.073,0.103,0.609476385474882
ADA-USD-predict-ensamble-gakknn-VDIBCFF.csv,ADA-USD,2020-12-25T20:15:32Z,124,0.519,0.646,0.683,0.786,0.11,0.121,0.145,0.542,0.429,0.429,0.536,0.077,0.107,0.151,0.607011758130629
ADA-USD-predict-ensamble-gakknn-VGG.csv,ADA-USD,2020-12-08T20:29:37Z,141,0.533,0.621,0.681,0.75,0.07,0.125,0.097,0.415,0.499,0.535,0.714,0.056,0.19,0.254,0.602186353563548
ADA-USD-predict-ensamble-gakknn-MICC.csv,ADA-USD,2020-11-26T16:31:21Z,153,0.483,0.609,0.664,0.714,0.047,0.107,0.072,0.535,0.552,0.578,0.607,0.098,0.054,0.042,0.596253999292771
ADA-USD-predict-ensamble-gakknn-UADBA.csv,ADA-USD,2020-12-27T15:02:51Z,122,0.553,0.645,0.61,0.607,0.108,0.06,0.004,0.503,0.514,0.485,0.357,0.121,0.137,0.181,0.595398942808751
ADA-USD-predict-ensamble-gakknn-OBA.csv,ADA-USD,2020-12-02T18:04:08Z,147,0.452,0.597,0.61,0.607,0.108,0.022,0.004,0.556,0.471,0.456,0.429,0.057,0.037,0.039,0.594574407483036
ADA-USD-predict-ensamble-gakknn-MIFCB.csv,ADA-USD,2020-12-24T16:30:35Z,125,0.487,0.597,0.646,0.679,0.095,0.09,0.046,0.54,0.564,0.56,0.571,0.058,0.013,0.016,0.590637984109291
ADA-USD-predict-ensamble-gakknn-UADAD.csv,ADA-USD,2020-12-27T12:25:25Z,122,0.512,0.618,0.676,0.643,0.036,0.107,0.047,0.515,0.453,0.429,0.536,0.074,0.114,0.151,0.587991892942275
