PlanetQualityCountRange,Quality,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%,Element
"CAR_(5,6]",Cardinal,"(5,6]",81,72,153,0.53,0.47,CAR
"CAR_(6,8]",Cardinal,"(6,8]",190,192,382,0.5,0.5,CAR
"CAR_(8,14]",Cardinal,"(8,14]",290,230,520,0.56,0.44,CAR
"CAR_[0,5]",Cardinal,"[0,5]",152,160,312,0.49,0.51,CAR
"FIX_(5,6]",Fixed,"(5,6]",84,94,178,0.47,0.53,FIX
"FIX_(6,7]",Fixed,"(6,7]",90,69,159,0.57,0.43,FIX
"FIX_(7,14]",Fixed,"(7,14]",80,86,166,0.48,0.52,FIX
"FIX_[0,5]",Fixed,"[0,5]",459,405,864,0.53,0.47,FIX
"MUT_(4,6]",Mutable,"(4,6]",297,252,549,0.54,0.46,MUT
"MUT_(6,7]",Mutable,"(6,7]",108,82,190,0.57,0.43,MUT
"MUT_(7,13]",Mutable,"(7,13]",75,110,185,0.41,0.59,MUT
"MUT_[0,4]",Mutable,"[0,4]",233,210,443,0.53,0.47,MUT
