MoonPhaseZodSignID,MoonPhase,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
F_Z01_ARI,Full,Aries,47,41,88,0.53,0.47
F_Z02_TAU,Full,Taurus,25,41,66,0.38,0.62
F_Z03_GEM,Full,Gemini,48,53,101,0.48,0.52
F_Z04_CAN,Full,Cancer,43,29,72,0.6,0.4
F_Z05_LEO,Full,Leo,48,52,100,0.48,0.52
F_Z06_VIR,Full,Virgo,27,32,59,0.46,0.54
F_Z07_LIB,Full,Libra,51,39,90,0.57,0.43
F_Z08_SCO,Full,Scorpio,41,19,60,0.68,0.32
F_Z09_SAG,Full,Sagittarius,54,52,106,0.51,0.49
F_Z10_CAP,Full,Capricorn,34,27,61,0.56,0.44
F_Z11_AQU,Full,Aquarius,46,45,91,0.51,0.49
F_Z12_PIS,Full,Pisces,24,35,59,0.41,0.59
N_Z01_ARI,New,Aries,29,30,59,0.49,0.51
N_Z02_TAU,New,Taurus,52,48,100,0.52,0.48
N_Z03_GEM,New,Gemini,24,34,58,0.41,0.59
N_Z04_CAN,New,Cancer,40,45,85,0.47,0.53
N_Z05_LEO,New,Leo,36,22,58,0.62,0.38
N_Z06_VIR,New,Virgo,42,46,88,0.48,0.52
N_Z07_LIB,New,Libra,39,33,72,0.54,0.46
N_Z08_SCO,New,Scorpio,51,40,91,0.56,0.44
N_Z09_SAG,New,Sagittarius,46,45,91,0.51,0.49
N_Z10_CAP,New,Capricorn,52,44,96,0.54,0.46
N_Z11_AQU,New,Aquarius,42,34,76,0.55,0.45
N_Z12_PIS,New,Pisces,36,38,74,0.49,0.51
