PlanetPolarity,Planet,Polarity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_NEG,Ceres,Negative,265,219,484,0.55,0.45
CE_POS,Ceres,Positive,399,382,781,0.51,0.49
CH_NEG,Chiron,Negative,185,168,353,0.52,0.48
CH_POS,Chiron,Positive,479,433,912,0.53,0.47
JN_NEG,Juno,Negative,295,275,570,0.52,0.48
JN_POS,Juno,Positive,369,326,695,0.53,0.47
JU_NEG,Jupiter,Negative,416,357,773,0.54,0.46
JU_POS,Jupiter,Positive,248,244,492,0.5,0.5
MA_NEG,Mars,Negative,281,262,543,0.52,0.48
MA_POS,Mars,Positive,383,339,722,0.53,0.47
ME_NEG,Mercury,Negative,322,291,613,0.53,0.47
ME_POS,Mercury,Positive,342,310,652,0.52,0.48
MO_NEG,Moon,Negative,347,287,634,0.55,0.45
MO_POS,Moon,Positive,317,314,631,0.5,0.5
NE_NEG,Neptune,Negative,664,601,1265,0.52,0.48
NN_NEG,NNode,Negative,291,275,566,0.51,0.49
NN_POS,NNode,Positive,373,326,699,0.53,0.47
PA_NEG,Pallas,Negative,307,298,605,0.51,0.49
PA_POS,Pallas,Positive,357,303,660,0.54,0.46
PH_NEG,Pholus,Negative,479,402,881,0.54,0.46
PH_POS,Pholus,Positive,185,199,384,0.48,0.52
PL_NEG,Pluto,Negative,664,601,1265,0.52,0.48
SA_NEG,Saturn,Negative,505,484,989,0.51,0.49
SA_POS,Saturn,Positive,159,117,276,0.58,0.42
SN_NEG,SNode,Negative,291,275,566,0.51,0.49
SN_POS,SNode,Positive,373,326,699,0.53,0.47
SU_NEG,Sun,Negative,317,316,633,0.5,0.5
SU_POS,Sun,Positive,347,285,632,0.55,0.45
UR_NEG,Uranus,Negative,479,431,910,0.53,0.47
UR_POS,Uranus,Positive,185,170,355,0.52,0.48
VE_NEG,Venus,Negative,309,295,604,0.51,0.49
VE_POS,Venus,Positive,355,306,661,0.54,0.46
VS_NEG,Vesta,Negative,413,352,765,0.54,0.46
VS_POS,Vesta,Positive,251,249,500,0.5,0.5
