YearWeek,buy,sell,Action
2017-01,16,19,sell
2017-02,22,13,buy
2017-03,19,16,buy
2017-04,21,14,buy
2017-05,10,24,sell
2017-06,17,17,neutral
2017-07,15,20,sell
2017-08,13,22,sell
2017-09,17,18,sell
2017-10,19,16,buy
2017-11,15,19,sell
2017-12,14,19,sell
2017-13,14,20,sell
2017-14,18,17,buy
2017-15,17,18,sell
2017-16,16,19,sell
2017-17,16,19,sell
2017-18,11,24,sell
2017-19,9,26,sell
2017-20,16,19,sell
2017-21,10,25,sell
2017-22,14,21,sell
2017-23,23,12,buy
2017-24,19,16,buy
2017-25,15,20,sell
2017-26,16,19,sell
2017-27,15,20,sell
2017-28,15,20,sell
2017-29,20,15,buy
2017-30,27,8,buy
2017-31,17,18,sell
2017-32,23,12,buy
2017-33,20,15,buy
2017-34,15,20,sell
2017-35,15,20,sell
2017-36,23,12,buy
2017-37,19,16,buy
2017-38,19,16,buy
2017-39,12,23,sell
2017-40,14,21,sell
2017-41,23,12,buy
2017-42,8,27,sell
2017-43,19,16,buy
2017-44,21,14,buy
2017-45,20,15,buy
2017-46,26,9,buy
2017-47,24,11,buy
2017-48,25,10,buy
2017-49,17,18,sell
2017-50,19,16,buy
2017-51,18,17,buy
2017-52,28,12,buy
2018-01,15,25,sell
2018-02,4,31,sell
2018-03,25,10,buy
2018-04,17,18,sell
2018-05,12,21,sell
2018-06,20,15,buy
2018-07,16,19,sell
2018-08,10,25,sell
2018-09,9,26,sell
2018-10,10,25,sell
2018-11,5,30,sell
2018-12,16,19,sell
2018-13,11,24,sell
2018-14,19,16,buy
2018-15,21,14,buy
2018-16,29,6,buy
2018-17,28,7,buy
2018-18,19,16,buy
2018-19,10,25,sell
2018-20,8,27,sell
2018-21,6,29,sell
2018-22,26,9,buy
2018-23,7,28,sell
2018-24,10,25,sell
2018-25,14,21,sell
2018-26,17,18,sell
2018-27,17,18,sell
2018-28,17,18,sell
2018-29,27,8,buy
2018-30,10,25,sell
2018-31,6,29,sell
2018-32,9,26,sell
2018-33,13,22,sell
2018-34,9,26,sell
2018-35,22,13,buy
2018-36,8,27,sell
2018-37,10,25,sell
2018-38,24,11,buy
2018-39,13,22,sell
2018-40,16,19,sell
2018-41,15,20,sell
2018-42,24,11,buy
2018-43,12,23,sell
2018-44,23,12,buy
2018-45,19,16,buy
2018-46,7,28,sell
2018-47,8,27,sell
2018-48,14,21,sell
2018-49,13,22,sell
2018-50,15,20,sell
2018-51,31,4,buy
2018-52,17,18,sell
2019-01,26,14,buy
2019-02,15,20,sell
2019-03,15,20,sell
2019-04,13,22,sell
2019-05,13,22,sell
2019-06,27,8,buy
2019-07,18,17,buy
2019-08,22,13,buy
2019-09,17,18,sell
2019-10,20,15,buy
2019-11,29,6,buy
2019-12,26,9,buy
2019-13,19,16,buy
2019-14,22,13,buy
2019-15,7,28,sell
2019-16,1,32,sell
2019-17,12,23,sell
2019-18,14,21,sell
2019-19,13,22,sell
2019-20,19,16,buy
2019-21,17,18,sell
2019-22,23,12,buy
2019-23,10,24,sell
2019-24,23,12,buy
2019-25,20,15,buy
2019-26,8,27,sell
2019-27,16,19,sell
2019-28,10,25,sell
2019-29,16,19,sell
2019-30,16,19,sell
2019-31,11,24,sell
2019-32,16,19,sell
2019-33,11,24,sell
2019-34,21,14,buy
2019-35,16,19,sell
2019-36,22,13,buy
2019-37,19,16,buy
2019-38,21,14,buy
2019-39,10,25,sell
2019-40,22,13,buy
2019-41,19,16,buy
2019-42,16,19,sell
2019-43,17,18,sell
2019-44,18,17,buy
2019-45,22,13,buy
2019-46,24,11,buy
2019-47,6,29,sell
2019-48,19,16,buy
2019-49,18,17,buy
2019-50,8,27,sell
2019-51,13,22,sell
2019-52,15,20,sell
2020-01,10,15,sell
2020-02,21,14,buy
2020-03,20,15,buy
2020-04,11,24,sell
2020-05,25,10,buy
2020-06,22,12,buy
2020-07,15,13,buy
2020-08,13,21,sell
2020-09,7,28,sell
2020-10,21,14,buy
2020-11,10,25,sell
2020-12,23,12,buy
2020-13,14,21,sell
2020-14,25,10,buy
