YearWeek,buy,sell,Action
2017-01,19,16,buy
2017-02,14,21,sell
2017-03,14,21,sell
2017-04,13,22,sell
2017-05,11,24,sell
2017-06,4,26,sell
2017-07,17,18,sell
2017-08,20,15,buy
2017-09,19,16,buy
2017-10,14,21,sell
2017-11,26,9,buy
2017-12,21,14,buy
2017-13,22,13,buy
2017-14,9,26,sell
2017-15,19,16,buy
2017-16,14,21,sell
2017-17,30,5,buy
2017-18,29,6,buy
2017-19,20,15,buy
2017-20,18,17,buy
2017-21,15,20,sell
2017-22,24,11,buy
2017-23,33,2,buy
2017-24,15,20,sell
2017-25,11,24,sell
2017-26,6,29,sell
2017-27,6,29,sell
2017-28,9,26,sell
2017-29,24,11,buy
2017-30,4,31,sell
2017-31,19,16,buy
2017-32,17,18,sell
2017-33,20,15,buy
2017-34,20,15,buy
2017-35,15,20,sell
2017-36,6,29,sell
2017-37,9,26,sell
2017-38,25,10,buy
2017-39,15,20,sell
2017-40,7,28,sell
2017-41,17,18,sell
2017-42,17,18,sell
2017-43,22,13,buy
2017-44,15,20,sell
2017-45,24,11,buy
2017-46,28,7,buy
2017-47,18,17,buy
2017-48,12,23,sell
2017-49,25,10,buy
2017-50,30,5,buy
2017-51,20,15,buy
2017-52,22,17,buy
2018-01,25,15,buy
2018-02,14,21,sell
2018-03,17,18,sell
2018-04,8,27,sell
2018-05,6,29,sell
2018-06,22,13,buy
2018-07,18,17,buy
2018-08,10,25,sell
2018-09,21,14,buy
2018-10,4,29,sell
2018-11,7,28,sell
2018-12,8,27,sell
2018-13,5,30,sell
2018-14,11,24,sell
2018-15,31,4,buy
2018-16,23,12,buy
2018-17,21,14,buy
2018-18,13,22,sell
2018-19,11,24,sell
2018-20,17,18,sell
2018-21,2,33,sell
2018-22,16,19,sell
2018-23,8,27,sell
2018-24,7,28,sell
2018-25,8,27,sell
2018-26,15,20,sell
2018-27,18,17,buy
2018-28,15,20,sell
2018-29,24,11,buy
2018-30,18,17,buy
2018-31,4,31,sell
2018-32,17,18,sell
2018-33,12,20,sell
2018-34,9,26,sell
2018-35,19,15,buy
2018-36,7,28,sell
2018-37,18,17,buy
2018-38,24,9,buy
2018-39,12,23,sell
2018-40,15,20,sell
2018-41,13,22,sell
2018-42,27,8,buy
2018-43,7,28,sell
2018-44,17,18,sell
2018-45,22,13,buy
2018-46,5,30,sell
2018-47,1,34,sell
2018-48,14,21,sell
2018-49,5,30,sell
2018-50,12,23,sell
2018-51,29,6,buy
2018-52,13,22,sell
2019-01,22,18,buy
2019-02,17,18,sell
2019-03,17,18,sell
2019-04,5,30,sell
2019-05,6,29,sell
2019-06,18,17,buy
2019-07,12,23,sell
2019-08,20,15,buy
2019-09,6,29,sell
2019-10,23,12,buy
2019-11,23,12,buy
2019-12,19,16,buy
2019-13,20,15,buy
2019-14,31,4,buy
2019-15,9,26,sell
2019-16,16,19,sell
2019-17,7,27,sell
2019-18,19,16,buy
2019-19,16,19,sell
2019-20,23,12,buy
2019-21,14,21,sell
2019-22,26,8,buy
2019-23,9,26,sell
2019-24,29,6,buy
2019-25,24,11,buy
2019-26,16,19,sell
2019-27,8,27,sell
2019-28,5,30,sell
2019-29,10,25,sell
2019-30,9,26,sell
2019-31,4,31,sell
2019-32,7,28,sell
2019-33,6,29,sell
2019-34,11,24,sell
2019-35,11,24,sell
2019-36,23,12,buy
2019-37,12,19,sell
2019-38,20,15,buy
2019-39,13,22,sell
2019-40,9,26,sell
2019-41,12,23,sell
2019-42,18,17,buy
2019-43,22,13,buy
2019-44,16,19,sell
2019-45,17,18,sell
2019-46,15,20,sell
2019-47,5,30,sell
2019-48,14,21,sell
2019-49,15,20,sell
2019-50,26,9,buy
2019-51,6,28,sell
2019-52,21,14,buy
2020-01,19,6,buy
2020-02,27,8,buy
2020-03,27,8,buy
2020-04,13,22,sell
2020-05,27,8,buy
2020-06,26,9,buy
2020-07,15,20,sell
2020-08,16,19,sell
2020-09,5,30,sell
2020-10,12,23,sell
2020-11,7,28,sell
2020-12,22,13,buy
2020-13,14,21,sell
2020-14,28,7,buy
2020-15,21,14,buy
2020-16,31,4,buy
2020-17,18,17,buy
2020-18,12,23,sell
2020-19,18,17,buy
2020-20,16,19,sell
2020-21,15,20,sell
2020-22,23,12,buy
2020-23,15,20,sell
2020-24,9,26,sell
2020-25,10,22,sell
2020-26,14,17,sell
2020-27,17,18,sell
2020-28,22,13,buy
2020-29,17,18,sell
2020-30,19,16,buy
2020-31,25,10,buy
2020-32,21,14,buy
2020-33,6,29,sell
2020-34,11,24,sell
2020-35,13,22,sell
2020-36,18,17,buy
2020-37,15,20,sell
2020-38,9,26,sell
2020-39,19,16,buy
2020-40,16,19,sell
2020-41,19,16,buy
2020-42,20,15,buy
2020-43,13,22,sell
2020-44,14,21,sell
2020-45,10,25,sell
2020-46,20,15,buy
2020-47,20,15,buy
2020-48,17,18,sell
2020-49,10,25,sell
2020-50,16,19,sell
2020-51,17,18,sell
2020-52,20,15,buy
2020-53,12,8,buy
2021-01,15,20,sell
2021-02,16,18,sell
2021-03,14,21,sell
2021-04,15,20,sell
2021-05,18,17,buy
2021-06,16,19,sell
2021-07,15,20,sell
2021-08,16,19,sell
2021-09,27,8,buy
2021-10,26,9,buy
2021-11,23,12,buy
2021-12,12,23,sell
2021-13,18,17,buy
2021-14,19,16,buy
2021-15,19,16,buy
2021-16,15,20,sell
2021-17,20,15,buy
2021-18,18,17,buy
2021-19,20,15,buy
2021-20,19,16,buy
2021-21,15,20,sell
2021-22,13,22,sell
2021-23,19,16,buy
2021-24,16,19,sell
2021-25,12,23,sell
2021-26,4,11,sell
2021-53,5,10,sell
