Date,buy,sell,Action,ActionID
2017-01-01,17,3,buy,1
2017-01-02,18,2,buy,1
2017-01-03,14,6,buy,1
2017-01-04,16,4,buy,1
2017-01-05,3,16,sell,0
2017-01-06,1,18,sell,0
2017-01-07,1,19,sell,0
2017-01-08,14,6,buy,1
2017-01-09,19,1,buy,1
2017-01-10,18,2,buy,1
2017-01-11,8,12,sell,0
2017-01-12,6,14,sell,0
2017-01-13,8,12,sell,0
2017-01-14,11,9,buy,1
2017-01-15,11,9,buy,1
2017-01-16,14,6,buy,1
2017-01-17,12,8,buy,1
2017-01-18,3,16,sell,0
2017-01-19,6,13,sell,0
2017-01-20,10,9,buy,1
2017-01-21,8,11,sell,0
2017-01-22,7,13,sell,0
2017-01-23,4,16,sell,0
2017-01-24,6,14,sell,0
2017-01-25,6,14,sell,0
2017-01-26,15,5,buy,1
2017-01-27,17,3,buy,1
2017-01-28,14,6,buy,1
2017-01-29,15,5,buy,1
2017-01-30,19,1,buy,1
2017-01-31,14,6,buy,1
2017-02-01,15,5,buy,1
2017-02-02,8,12,sell,0
2017-02-03,11,9,buy,1
2017-02-04,8,12,sell,0
2017-02-05,4,16,sell,0
2017-02-06,13,6,buy,1
2017-02-07,14,5,buy,1
2017-02-08,3,17,sell,0
2017-02-09,2,18,sell,0
2017-02-10,0,20,sell,0
2017-02-11,6,14,sell,0
2017-02-12,8,12,sell,0
2017-02-13,6,14,sell,0
2017-02-14,12,8,buy,1
2017-02-15,16,4,buy,1
2017-02-16,14,6,buy,1
2017-02-17,16,4,buy,1
2017-02-18,8,12,sell,0
2017-02-19,6,14,sell,0
2017-02-20,8,12,sell,0
2017-02-21,16,4,buy,1
2017-02-22,15,5,buy,1
2017-02-23,18,2,buy,1
2017-02-24,17,3,buy,1
2017-02-25,8,12,sell,0
2017-02-26,9,11,sell,0
2017-02-27,9,11,sell,0
2017-02-28,8,12,sell,0
2017-03-01,13,7,buy,1
2017-03-02,20,0,buy,1
2017-03-03,17,3,buy,1
2017-03-04,10,10,neutral,2
2017-03-05,11,9,buy,1
2017-03-06,14,6,buy,1
2017-03-07,5,15,sell,0
2017-03-08,2,18,sell,0
2017-03-09,10,10,neutral,2
2017-03-10,10,10,neutral,2
2017-03-11,8,12,sell,0
2017-03-12,18,2,buy,1
2017-03-13,20,0,buy,1
2017-03-14,16,4,buy,1
2017-03-15,17,3,buy,1
2017-03-16,19,1,buy,1
2017-03-17,3,17,sell,0
2017-03-18,2,17,sell,0
2017-03-19,7,13,sell,0
2017-03-20,14,6,buy,1
2017-03-21,17,3,buy,1
2017-03-22,8,12,sell,0
2017-03-23,12,8,buy,1
2017-03-24,16,4,buy,1
