Date,buy,sell,Action,ActionID
2017-01-01,15,5,buy,1
2017-01-02,14,6,buy,1
2017-01-03,11,9,buy,1
2017-01-04,15,5,buy,1
2017-01-05,10,10,neutral,2
2017-01-06,11,9,buy,1
2017-01-07,6,14,sell,0
2017-01-08,12,8,buy,1
2017-01-09,9,11,sell,0
2017-01-10,8,12,sell,0
2017-01-11,10,10,neutral,2
2017-01-12,12,8,buy,1
2017-01-13,17,3,buy,1
2017-01-14,7,13,sell,0
2017-01-15,9,11,sell,0
2017-01-16,10,10,neutral,2
2017-01-17,11,9,buy,1
2017-01-18,11,9,buy,1
2017-01-19,6,14,sell,0
2017-01-20,6,14,sell,0
2017-01-21,11,9,buy,1
2017-01-22,6,14,sell,0
2017-01-23,13,7,buy,1
2017-01-24,13,7,buy,1
2017-01-25,15,5,buy,1
2017-01-26,17,3,buy,1
2017-01-27,12,8,buy,1
2017-01-28,16,4,buy,1
2017-01-29,10,10,neutral,2
2017-01-30,9,11,sell,0
2017-01-31,14,6,buy,1
2017-02-01,9,11,sell,0
2017-02-02,5,15,sell,0
2017-02-03,9,11,sell,0
2017-02-04,7,13,sell,0
2017-02-05,5,15,sell,0
2017-02-06,12,8,buy,1
2017-02-07,13,7,buy,1
2017-02-08,6,14,sell,0
2017-02-09,10,10,neutral,2
2017-02-10,14,6,buy,1
2017-02-11,12,8,buy,1
2017-02-12,14,6,buy,1
2017-02-13,9,11,sell,0
2017-02-14,14,6,buy,1
2017-02-15,11,9,buy,1
2017-02-16,12,8,buy,1
2017-02-17,9,11,sell,0
2017-02-18,6,14,sell,0
2017-02-19,10,10,neutral,2
2017-02-20,14,6,buy,1
2017-02-21,11,9,buy,1
2017-02-22,11,9,buy,1
2017-02-23,8,12,sell,0
2017-02-24,11,9,buy,1
2017-02-25,10,10,neutral,2
2017-02-26,13,7,buy,1
2017-02-27,7,13,sell,0
2017-02-28,8,12,sell,0
2017-03-01,7,13,sell,0
2017-03-02,12,8,buy,1
2017-03-03,9,11,sell,0
2017-03-04,8,12,sell,0
2017-03-05,13,7,buy,1
2017-03-06,14,6,buy,1
2017-03-07,16,4,buy,1
2017-03-08,13,7,buy,1
2017-03-09,12,8,buy,1
2017-03-10,12,8,buy,1
2017-03-11,15,5,buy,1
2017-03-12,13,7,buy,1
2017-03-13,15,5,buy,1
2017-03-14,9,11,sell,0
2017-03-15,12,8,buy,1
2017-03-16,13,7,buy,1
2017-03-17,15,5,buy,1
2017-03-18,14,6,buy,1
2017-03-19,16,4,buy,1
2017-03-20,11,9,buy,1
2017-03-21,10,10,neutral,2
2017-03-22,14,6,buy,1
2017-03-23,14,6,buy,1
2017-03-24,5,15,sell,0
2017-03-25,14,6,buy,1
2017-03-26,13,7,buy,1
2017-03-27,9,11,sell,0
2017-03-28,9,11,sell,0
2017-03-29,8,12,sell,0
2017-03-30,7,13,sell,0
2017-03-31,5,15,sell,0
2017-04-01,7,13,sell,0
2017-04-02,12,8,buy,1
2017-04-03,6,14,sell,0
2017-04-04,11,9,buy,1
2017-04-05,13,7,buy,1
2017-04-06,5,15,sell,0
2017-04-07,10,10,neutral,2
2017-04-08,9,11,sell,0
2017-04-09,13,7,buy,1
2017-04-10,14,6,buy,1
2017-04-11,9,11,sell,0
2017-04-12,5,15,sell,0
2017-04-13,10,10,neutral,2
2017-04-14,15,5,buy,1
2017-04-15,7,13,sell,0
2017-04-16,11,9,buy,1
2017-04-17,10,10,neutral,2
2017-04-18,7,13,sell,0
2017-04-19,11,9,buy,1
2017-04-20,10,10,neutral,2
2017-04-21,6,14,sell,0
2017-04-22,11,9,buy,1
2017-04-23,6,14,sell,0
2017-04-24,10,10,neutral,2
2017-04-25,7,13,sell,0
2017-04-26,9,11,sell,0
2017-04-27,8,12,sell,0
2017-04-28,10,10,neutral,2
2017-04-29,10,10,neutral,2
2017-04-30,11,9,buy,1
2017-05-01,9,11,sell,0
2017-05-02,15,5,buy,1
2017-05-03,13,7,buy,1
2017-05-04,16,4,buy,1
2017-05-05,14,6,buy,1
2017-05-06,11,9,buy,1
2017-05-07,14,6,buy,1
2017-05-08,14,6,buy,1
2017-05-09,12,8,buy,1
2017-05-10,13,7,buy,1
2017-05-11,6,14,sell,0
2017-05-12,6,14,sell,0
2017-05-13,12,8,buy,1
2017-05-14,6,14,sell,0
2017-05-15,8,12,sell,0
2017-05-16,13,7,buy,1
2017-05-17,10,10,neutral,2
2017-05-18,12,8,buy,1
2017-05-19,14,6,buy,1
2017-05-20,10,10,neutral,2
2017-05-21,9,11,sell,0
2017-05-22,11,9,buy,1
2017-05-23,10,10,neutral,2
2017-05-24,9,11,sell,0
2017-05-25,4,16,sell,0
2017-05-26,16,4,buy,1
2017-05-27,10,10,neutral,2
2017-05-28,12,8,buy,1
2017-05-29,10,10,neutral,2
2017-05-30,17,3,buy,1
2017-05-31,12,8,buy,1
2017-06-01,14,6,buy,1
2017-06-02,13,7,buy,1
2017-06-03,12,8,buy,1
2017-06-04,11,9,buy,1
2017-06-05,11,9,buy,1
2017-06-06,11,9,buy,1
2017-06-07,13,7,buy,1
2017-06-08,9,11,sell,0
2017-06-09,7,13,sell,0
2017-06-10,15,5,buy,1
2017-06-11,15,5,buy,1
2017-06-12,11,9,buy,1
2017-06-13,12,8,buy,1
2017-06-14,10,10,neutral,2
2017-06-15,12,8,buy,1
2017-06-16,9,11,sell,0
2017-06-17,13,7,buy,1
2017-06-18,13,7,buy,1
2017-06-19,13,7,buy,1
2017-06-20,15,5,buy,1
2017-06-21,13,7,buy,1
2017-06-22,14,6,buy,1
2017-06-23,9,11,sell,0
2017-06-24,10,10,neutral,2
2017-06-25,8,12,sell,0
2017-06-26,8,12,sell,0
2017-06-27,9,11,sell,0
2017-06-28,17,3,buy,1
2017-06-29,13,7,buy,1
2017-06-30,10,10,neutral,2
2017-07-01,7,13,sell,0
2017-07-02,15,5,buy,1
2017-07-03,11,9,buy,1
2017-07-04,13,7,buy,1
2017-07-05,4,16,sell,0
2017-07-06,5,15,sell,0
2017-07-07,6,14,sell,0
2017-07-08,7,13,sell,0
2017-07-09,6,14,sell,0
2017-07-10,6,14,sell,0
2017-07-11,10,10,neutral,2
2017-07-12,12,8,buy,1
2017-07-13,16,4,buy,1
2017-07-14,8,12,sell,0
2017-07-15,9,11,sell,0
2017-07-16,7,13,sell,0
2017-07-17,12,8,buy,1
2017-07-18,5,15,sell,0
2017-07-19,6,14,sell,0
2017-07-20,12,8,buy,1
2017-07-21,11,9,buy,1
2017-07-22,10,10,neutral,2
2017-07-23,7,13,sell,0
2017-07-24,11,9,buy,1
2017-07-25,15,5,buy,1
2017-07-26,12,8,buy,1
