YearMonth,buy,sell,Action
2017-01,836,664,buy
2017-02,686,680,buy
2017-03,860,659,buy
2017-04,788,680,buy
2017-05,868,653,buy
2017-06,763,723,buy
2017-07,682,852,sell
2017-08,860,656,buy
2017-09,731,744,sell
2017-10,675,845,sell
2017-11,882,586,buy
2017-12,886,647,buy
2018-01,729,790,sell
2018-02,680,684,sell
2018-03,483,1027,sell
2018-04,959,523,buy
2018-05,582,943,sell
2018-06,587,886,sell
2018-07,810,721,buy
2018-08,641,879,sell
2018-09,681,801,sell
2018-10,757,749,buy
2018-11,558,926,sell
2018-12,730,792,sell
2019-01,747,774,sell
2019-02,784,581,buy
2019-03,940,592,buy
2019-04,697,750,sell
2019-05,928,604,buy
2019-06,786,680,buy
2019-07,526,998,sell
2019-08,562,967,sell
2019-09,745,715,buy
2019-10,787,733,buy
2019-11,632,823,sell
2019-12,635,875,sell
2020-01,936,588,buy
2020-02,682,732,sell
2020-03,740,776,sell
2020-04,983,485,buy
2020-05,875,659,buy
2020-06,642,795,sell
2020-07,837,688,buy
2020-08,787,737,buy
2020-09,727,754,sell
2020-10,747,775,sell
2020-11,695,764,sell
2020-12,743,791,sell
2021-01,822,684,buy
2021-02,757,608,buy
2021-03,858,651,buy
2021-04,802,673,buy
2021-05,760,765,sell
2021-06,723,740,sell
