YearMonth,buy,sell,Action
2017-01,87,68,buy
2017-02,59,78,sell
2017-03,83,72,buy
2017-04,68,82,sell
2017-05,75,80,sell
2017-06,48,102,sell
2017-07,42,113,sell
2017-08,95,60,buy
2017-09,83,67,buy
2017-10,64,91,sell
2017-11,74,72,buy
2017-12,86,69,buy
2018-01,82,68,buy
2018-02,68,72,sell
2018-03,59,96,sell
2018-04,104,46,buy
2018-05,53,102,sell
2018-06,74,76,sell
2018-07,79,76,buy
2018-08,65,90,sell
2018-09,66,84,sell
2018-10,85,70,buy
2018-11,64,86,sell
2018-12,71,83,sell
2019-01,72,78,sell
2019-02,80,59,buy
2019-03,105,50,buy
2019-04,91,57,buy
2019-05,68,87,sell
2019-06,59,88,sell
2019-07,57,98,sell
2019-08,76,78,sell
2019-09,81,69,buy
2019-10,83,72,buy
2019-11,61,88,sell
2019-12,63,89,sell
2020-01,88,67,buy
2020-02,77,68,buy
2020-03,90,62,buy
2020-04,103,47,buy
2020-05,97,58,buy
2020-06,87,63,buy
2020-07,66,89,sell
2020-08,85,70,buy
2020-09,75,75,neutral
2020-10,70,85,sell
2020-11,86,64,buy
2020-12,75,80,sell
2021-01,91,59,buy
2021-02,72,67,buy
2021-03,85,67,buy
2021-04,70,79,sell
2021-05,72,83,sell
2021-06,60,90,sell
