YearMonth,buy,sell,Action
2017-01,79,76,buy
2017-02,60,79,sell
2017-03,73,82,sell
2017-04,78,72,buy
2017-05,78,77,buy
2017-06,63,87,sell
2017-07,70,85,sell
2017-08,74,81,sell
2017-09,54,96,sell
2017-10,72,83,sell
2017-11,77,73,buy
2017-12,87,68,buy
2018-01,84,71,buy
2018-02,59,81,sell
2018-03,54,101,sell
2018-04,107,43,buy
2018-05,68,87,sell
2018-06,56,93,sell
2018-07,85,70,buy
2018-08,60,95,sell
2018-09,67,83,sell
2018-10,82,73,buy
2018-11,44,106,sell
2018-12,60,95,sell
2019-01,65,90,sell
2019-02,66,74,sell
2019-03,99,56,buy
2019-04,58,92,sell
2019-05,85,70,buy
2019-06,70,80,sell
2019-07,43,112,sell
2019-08,52,103,sell
2019-09,83,67,buy
2019-10,80,75,buy
2019-11,73,77,sell
2019-12,48,107,sell
2020-01,97,58,buy
2020-02,63,81,sell
2020-03,64,91,sell
2020-04,95,55,buy
2020-05,81,74,buy
2020-06,73,77,sell
2020-07,70,83,sell
2020-08,68,87,sell
2020-09,76,74,buy
2020-10,72,83,sell
2020-11,60,85,sell
2020-12,72,83,sell
2021-01,91,64,buy
2021-02,77,63,buy
2021-03,79,76,buy
2021-04,74,74,neutral
2021-05,65,90,sell
2021-06,75,75,neutral
