Date,buy,sell,Action,ActionID
2017-01-01,3,2,buy,1
2017-01-02,1,4,sell,0
2017-01-03,3,2,buy,1
2017-01-04,4,1,buy,1
2017-01-05,1,4,sell,0
2017-01-06,1,4,sell,0
2017-01-07,2,3,sell,0
2017-01-08,3,2,buy,1
2017-01-09,0,5,sell,0
2017-01-10,2,3,sell,0
2017-01-11,4,1,buy,1
2017-01-12,0,5,sell,0
2017-01-13,5,0,buy,1
2017-01-14,2,3,sell,0
2017-01-15,2,3,sell,0
2017-01-16,3,2,buy,1
2017-01-17,1,4,sell,0
2017-01-18,0,5,sell,0
2017-01-19,4,1,buy,1
2017-01-20,1,4,sell,0
2017-01-21,2,3,sell,0
2017-01-22,4,1,buy,1
2017-01-23,2,3,sell,0
2017-01-24,3,2,buy,1
2017-01-25,1,4,sell,0
2017-01-26,1,4,sell,0
2017-01-27,3,2,buy,1
2017-01-28,1,4,sell,0
2017-01-29,4,1,buy,1
2017-01-30,2,3,sell,0
2017-01-31,1,4,sell,0
2017-02-01,3,2,buy,1
2017-02-02,3,2,buy,1
2017-02-03,4,1,buy,1
2017-02-04,2,3,sell,0
2017-02-05,3,2,buy,1
2017-02-06,3,2,buy,1
2017-02-07,2,3,sell,0
2017-02-08,2,3,sell,0
2017-02-09,3,2,buy,1
2017-02-10,4,1,buy,1
2017-02-11,4,1,buy,1
2017-02-12,2,3,sell,0
2017-02-13,2,3,sell,0
2017-02-14,3,2,buy,1
2017-02-15,2,3,sell,0
2017-02-16,2,3,sell,0
2017-02-17,2,3,sell,0
2017-02-18,3,2,buy,1
2017-02-19,1,4,sell,0
2017-02-20,3,2,buy,1
2017-02-21,0,5,sell,0
2017-02-22,5,0,buy,1
2017-02-23,3,2,buy,1
2017-02-24,3,2,buy,1
2017-02-25,2,3,sell,0
2017-02-26,3,2,buy,1
2017-02-27,2,3,sell,0
2017-02-28,2,3,sell,0
2017-03-01,4,1,buy,1
2017-03-02,2,3,sell,0
2017-03-03,2,3,sell,0
2017-03-04,4,1,buy,1
2017-03-05,3,2,buy,1
2017-03-06,2,3,sell,0
2017-03-07,2,3,sell,0
2017-03-08,3,2,buy,1
2017-03-09,3,2,buy,1
2017-03-10,2,3,sell,0
2017-03-11,1,4,sell,0
2017-03-12,2,3,sell,0
2017-03-13,2,3,sell,0
2017-03-14,2,3,sell,0
2017-03-15,3,2,buy,1
2017-03-16,0,5,sell,0
2017-03-17,3,2,buy,1
2017-03-18,4,1,buy,1
2017-03-19,5,0,buy,1
2017-03-20,4,1,buy,1
2017-03-21,2,3,sell,0
2017-03-22,3,2,buy,1
2017-03-23,2,3,sell,0
2017-03-24,3,2,buy,1
2017-03-25,2,3,sell,0
2017-03-26,2,3,sell,0
2017-03-27,4,1,buy,1
2017-03-28,2,3,sell,0
2017-03-29,4,1,buy,1
2017-03-30,2,3,sell,0
2017-03-31,2,3,sell,0
2017-04-01,4,1,buy,1
2017-04-02,3,2,buy,1
2017-04-03,4,1,buy,1
2017-04-04,2,3,sell,0
2017-04-05,0,5,sell,0
2017-04-06,1,4,sell,0
2017-04-07,2,3,sell,0
2017-04-08,2,3,sell,0
2017-04-09,3,2,buy,1
2017-04-10,2,3,sell,0
2017-04-11,3,2,buy,1
2017-04-12,4,1,buy,1
2017-04-13,4,1,buy,1
2017-04-14,4,1,buy,1
2017-04-15,3,2,buy,1
2017-04-16,3,2,buy,1
2017-04-17,3,2,buy,1
2017-04-18,3,2,buy,1
2017-04-19,4,1,buy,1
2017-04-20,3,2,buy,1
2017-04-21,3,2,buy,1
2017-04-22,1,4,sell,0
2017-04-23,2,3,sell,0
2017-04-24,5,0,buy,1
2017-04-25,1,4,sell,0
2017-04-26,4,1,buy,1
2017-04-27,2,3,sell,0
2017-04-28,2,3,sell,0
2017-04-29,2,3,sell,0
2017-04-30,4,1,buy,1
2017-05-01,5,0,buy,1
2017-05-02,2,3,sell,0
2017-05-03,3,2,buy,1
2017-05-04,5,0,buy,1
2017-05-05,1,4,sell,0
2017-05-06,3,2,buy,1
2017-05-07,1,4,sell,0
2017-05-08,1,4,sell,0
2017-05-09,3,2,buy,1
2017-05-10,4,1,buy,1
2017-05-11,2,3,sell,0
2017-05-12,0,5,sell,0
2017-05-13,2,3,sell,0
2017-05-14,3,2,buy,1
2017-05-15,2,3,sell,0
2017-05-16,4,1,buy,1
2017-05-17,3,2,buy,1
2017-05-18,2,3,sell,0
2017-05-19,3,2,buy,1
2017-05-20,4,1,buy,1
2017-05-21,4,1,buy,1
2017-05-22,3,2,buy,1
2017-05-23,3,2,buy,1
2017-05-24,2,3,sell,0
2017-05-25,3,2,buy,1
2017-05-26,4,1,buy,1
2017-05-27,4,1,buy,1
2017-05-28,4,1,buy,1
2017-05-29,2,3,sell,0
2017-05-30,3,2,buy,1
2017-05-31,5,0,buy,1
2017-06-01,1,4,sell,0
2017-06-02,1,4,sell,0
2017-06-03,2,3,sell,0
2017-06-04,3,2,buy,1
2017-06-05,3,2,buy,1
2017-06-06,5,0,buy,1
2017-06-07,5,0,buy,1
2017-06-08,3,2,buy,1
2017-06-09,4,1,buy,1
2017-06-10,4,1,buy,1
2017-06-11,3,2,buy,1
2017-06-12,2,3,sell,0
2017-06-13,2,3,sell,0
2017-06-14,2,3,sell,0
2017-06-15,3,2,buy,1
2017-06-16,2,3,sell,0
2017-06-17,2,3,sell,0
2017-06-18,5,0,buy,1
2017-06-19,4,1,buy,1
2017-06-20,3,2,buy,1
2017-06-21,2,3,sell,0
2017-06-22,3,2,buy,1
2017-06-23,3,2,buy,1
2017-06-24,2,3,sell,0
2017-06-25,1,4,sell,0
2017-06-26,4,1,buy,1
2017-06-27,3,2,buy,1
2017-06-28,5,0,buy,1
2017-06-29,3,2,buy,1
2017-06-30,3,2,buy,1
2017-07-01,2,3,sell,0
2017-07-02,2,3,sell,0
2017-07-03,4,1,buy,1
2017-07-04,3,2,buy,1
2017-07-05,5,0,buy,1
2017-07-06,2,3,sell,0
2017-07-07,5,0,buy,1
2017-07-08,2,3,sell,0
2017-07-09,3,2,buy,1
2017-07-10,2,3,sell,0
2017-07-11,3,2,buy,1
2017-07-12,2,3,sell,0
2017-07-13,4,1,buy,1
2017-07-14,3,2,buy,1
2017-07-15,2,3,sell,0
2017-07-16,1,4,sell,0
2017-07-17,4,1,buy,1
2017-07-18,3,2,buy,1
2017-07-19,2,3,sell,0
2017-07-20,4,1,buy,1
2017-07-21,2,3,sell,0
2017-07-22,2,3,sell,0
2017-07-23,4,1,buy,1
2017-07-24,3,2,buy,1
2017-07-25,2,3,sell,0
2017-07-26,2,3,sell,0
2017-07-27,2,3,sell,0
2017-07-28,2,3,sell,0
2017-07-29,2,3,sell,0
2017-07-30,3,2,buy,1
2017-07-31,4,1,buy,1
2017-08-01,2,3,sell,0
2017-08-02,3,2,buy,1
2017-08-03,1,4,sell,0
2017-08-04,4,1,buy,1
2017-08-05,3,2,buy,1
2017-08-06,3,2,buy,1
2017-08-07,4,1,buy,1
2017-08-08,3,2,buy,1
2017-08-09,1,4,sell,0
2017-08-10,3,2,buy,1
2017-08-11,4,1,buy,1
2017-08-12,1,4,sell,0
2017-08-13,2,3,sell,0
2017-08-14,3,2,buy,1
2017-08-15,2,3,sell,0
2017-08-16,3,2,buy,1
2017-08-17,2,3,sell,0
2017-08-18,3,2,buy,1
2017-08-19,1,4,sell,0
2017-08-20,3,2,buy,1
2017-08-21,1,4,sell,0
2017-08-22,3,2,buy,1
2017-08-23,2,3,sell,0
2017-08-24,2,3,sell,0
2017-08-25,1,4,sell,0
2017-08-26,4,1,buy,1
2017-08-27,3,2,buy,1
2017-08-28,2,3,sell,0
2017-08-29,1,4,sell,0
2017-08-30,2,3,sell,0
2017-08-31,1,4,sell,0
2017-09-01,4,1,buy,1
2017-09-02,2,3,sell,0
2017-09-03,3,2,buy,1
2017-09-04,4,1,buy,1
2017-09-05,4,1,buy,1
2017-09-06,5,0,buy,1
2017-09-07,3,2,buy,1
2017-09-08,2,3,sell,0
2017-09-09,1,4,sell,0
2017-09-10,4,1,buy,1
2017-09-11,3,2,buy,1
2017-09-12,2,3,sell,0
2017-09-13,2,3,sell,0
2017-09-14,3,2,buy,1
2017-09-15,3,2,buy,1
2017-09-16,3,2,buy,1
2017-09-17,4,1,buy,1
2017-09-18,1,4,sell,0
2017-09-19,4,1,buy,1
2017-09-20,1,4,sell,0
2017-09-21,0,5,sell,0
2017-09-22,0,5,sell,0
2017-09-23,2,3,sell,0
2017-09-24,4,1,buy,1
2017-09-25,3,2,buy,1
2017-09-26,2,3,sell,0
2017-09-27,4,1,buy,1
2017-09-28,2,3,sell,0
2017-09-29,2,3,sell,0
2017-09-30,4,1,buy,1
2017-10-01,3,2,buy,1
2017-10-02,0,5,sell,0
2017-10-03,2,3,sell,0
2017-10-04,5,0,buy,1
2017-10-05,5,0,buy,1
2017-10-06,4,1,buy,1
2017-10-07,4,1,buy,1
2017-10-08,0,5,sell,0
2017-10-09,0,5,sell,0
2017-10-10,4,1,buy,1
2017-10-11,5,0,buy,1
2017-10-12,4,1,buy,1
2017-10-13,2,3,sell,0
2017-10-14,1,4,sell,0
2017-10-15,2,3,sell,0
2017-10-16,5,0,buy,1
2017-10-17,0,5,sell,0
2017-10-18,0,5,sell,0
2017-10-19,0,5,sell,0
2017-10-20,2,3,sell,0
2017-10-21,3,2,buy,1
2017-10-22,4,1,buy,1
2017-10-23,0,5,sell,0
2017-10-24,3,2,buy,1
2017-10-25,1,4,sell,0
2017-10-26,0,5,sell,0
2017-10-27,0,5,sell,0
2017-10-28,1,4,sell,0
2017-10-29,1,4,sell,0
2017-10-30,1,4,sell,0
2017-10-31,2,3,sell,0
2017-11-01,1,4,sell,0
2017-11-02,1,4,sell,0
2017-11-03,5,0,buy,1
2017-11-04,5,0,buy,1
2017-11-05,4,1,buy,1
2017-11-06,0,5,sell,0
2017-11-07,4,1,buy,1
2017-11-08,2,3,sell,0
2017-11-09,5,0,buy,1
2017-11-10,0,5,sell,0
2017-11-11,0,5,sell,0
2017-11-12,1,4,sell,0
2017-11-13,4,1,buy,1
2017-11-14,5,0,buy,1
2017-11-15,4,1,buy,1
2017-11-16,0,5,sell,0
2017-11-17,0,5,sell,0
2017-11-18,5,0,buy,1
2017-11-19,2,3,sell,0
2017-11-20,3,2,buy,1
2017-11-21,1,4,sell,0
2017-11-22,5,0,buy,1
2017-11-23,5,0,buy,1
2017-11-24,5,0,buy,1
2017-11-25,4,1,buy,1
2017-11-26,1,4,sell,0
2017-11-27,2,3,sell,0
2017-11-28,3,2,buy,1
2017-11-29,3,2,buy,1
2017-11-30,2,3,sell,0
2017-12-01,5,0,buy,1
2017-12-02,4,1,buy,1
2017-12-03,3,2,buy,1
2017-12-04,3,2,buy,1
2017-12-05,4,1,buy,1
2017-12-06,3,2,buy,1
2017-12-07,1,4,sell,0
2017-12-08,0,5,sell,0
2017-12-09,1,4,sell,0
2017-12-10,4,1,buy,1
2017-12-11,5,0,buy,1
2017-12-12,0,5,sell,0
2017-12-13,5,0,buy,1
2017-12-14,1,4,sell,0
2017-12-15,5,0,buy,1
2017-12-16,5,0,buy,1
2017-12-17,4,1,buy,1
2017-12-18,4,1,buy,1
2017-12-19,5,0,buy,1
2017-12-20,2,3,sell,0
2017-12-21,5,0,buy,1
2017-12-22,2,3,sell,0
2017-12-23,2,3,sell,0
2017-12-24,3,2,buy,1
2017-12-25,0,5,sell,0
2017-12-26,0,5,sell,0
2017-12-27,2,3,sell,0
2017-12-28,1,4,sell,0
2017-12-29,3,2,buy,1
2017-12-30,4,1,buy,1
2017-12-31,4,1,buy,1
2018-01-01,3,2,buy,1
2018-01-02,3,2,buy,1
2018-01-03,1,4,sell,0
2018-01-04,2,3,sell,0
2018-01-05,2,3,sell,0
2018-01-06,4,1,buy,1
2018-01-07,5,0,buy,1
2018-01-08,4,1,buy,1
2018-01-09,3,2,buy,1
2018-01-10,1,4,sell,0
2018-01-11,1,4,sell,0
2018-01-12,2,3,sell,0
2018-01-13,5,0,buy,1
2018-01-14,0,5,sell,0
2018-01-15,0,5,sell,0
2018-01-16,2,3,sell,0
2018-01-17,2,3,sell,0
2018-01-18,5,0,buy,1
2018-01-19,5,0,buy,1
2018-01-20,5,0,buy,1
2018-01-21,3,2,buy,1
2018-01-22,1,4,sell,0
2018-01-23,0,5,sell,0
2018-01-24,3,2,buy,1
2018-01-25,2,3,sell,0
2018-01-26,1,4,sell,0
2018-01-27,5,0,buy,1
2018-01-28,5,0,buy,1
2018-01-29,1,4,sell,0
2018-01-30,0,5,sell,0
2018-01-31,0,5,sell,0
2018-02-01,1,4,sell,0
2018-02-02,0,5,sell,0
2018-02-03,4,1,buy,1
2018-02-04,0,5,sell,0
2018-02-05,0,5,sell,0
2018-02-06,1,4,sell,0
2018-02-07,3,2,buy,1
2018-02-08,2,3,sell,0
2018-02-09,4,1,buy,1
2018-02-10,5,0,buy,1
2018-02-11,1,4,sell,0
2018-02-12,5,0,buy,1
2018-02-13,2,3,sell,0
2018-02-14,2,3,sell,0
2018-02-15,2,3,sell,0
2018-02-16,5,0,buy,1
2018-02-17,4,1,buy,1
2018-02-18,4,1,buy,1
2018-02-19,5,0,buy,1
2018-02-20,0,5,sell,0
2018-02-21,0,5,sell,0
2018-02-22,0,5,sell,0
2018-02-23,3,2,buy,1
2018-02-24,3,2,buy,1
2018-02-25,4,1,buy,1
2018-02-26,3,2,buy,1
2018-02-27,4,1,buy,1
2018-02-28,0,5,sell,0
2018-03-01,2,3,sell,0
2018-03-02,1,4,sell,0
2018-03-03,1,4,sell,0
2018-03-04,0,5,sell,0
2018-03-05,0,5,sell,0
2018-03-06,1,4,sell,0
2018-03-07,0,5,sell,0
2018-03-08,1,4,sell,0
