YearWeek,buy,sell,Action,ActionID
2014-19,18,31,sell,0
2014-20,17,32,sell,0
2014-21,24,25,sell,0
2014-22,20,29,sell,0
2014-23,29,20,buy,1
2014-24,24,25,sell,0
2014-25,18,31,sell,0
2014-26,20,29,sell,0
2014-27,20,29,sell,0
2014-28,23,26,sell,0
2014-29,18,31,sell,0
2014-30,21,28,sell,0
2014-31,16,33,sell,0
2014-32,26,23,buy,1
2014-33,16,33,sell,0
2014-34,18,31,sell,0
2014-35,28,21,buy,1
2014-36,22,27,sell,0
2014-37,21,28,sell,0
2014-38,11,38,sell,0
2014-39,26,23,buy,1
2014-40,24,25,sell,0
2014-41,24,25,sell,0
2014-42,29,20,buy,1
2014-43,21,28,sell,0
2014-44,21,28,sell,0
2014-45,34,15,buy,1
2014-46,30,19,buy,1
2014-47,45,4,buy,1
2014-48,35,14,buy,1
2014-49,37,12,buy,1
2014-50,38,11,buy,1
2014-51,34,15,buy,1
2014-52,22,27,sell,0
2015-01,6,22,sell,0
2015-02,18,31,sell,0
2015-03,24,25,sell,0
2015-04,35,14,buy,1
2015-05,13,36,sell,0
2015-06,21,28,sell,0
2015-07,26,23,buy,1
2015-08,7,42,sell,0
2015-09,14,35,sell,0
2015-10,10,39,sell,0
2015-11,30,19,buy,1
2015-12,14,35,sell,0
2015-13,11,38,sell,0
2015-14,21,28,sell,0
2015-15,28,21,buy,1
2015-16,15,34,sell,0
2015-17,21,28,sell,0
2015-18,31,18,buy,1
2015-19,15,34,sell,0
2015-20,6,43,sell,0
2015-21,31,18,buy,1
2015-22,30,19,buy,1
2015-23,16,33,sell,0
2015-24,32,17,buy,1
2015-25,41,8,buy,1
2015-26,37,12,buy,1
2015-27,10,39,sell,0
2015-28,8,41,sell,0
2015-29,11,38,sell,0
2015-30,20,29,sell,0
2015-31,24,25,sell,0
2015-32,29,20,buy,1
2015-33,18,31,sell,0
2015-34,18,31,sell,0
2015-35,28,21,buy,1
2015-36,19,30,sell,0
2015-37,25,24,buy,1
2015-38,13,36,sell,0
2015-39,7,42,sell,0
2015-40,11,38,sell,0
2015-41,19,30,sell,0
2015-42,27,22,buy,1
2015-43,7,42,sell,0
2015-44,28,21,buy,1
2015-45,15,34,sell,0
2015-46,15,34,sell,0
2015-47,23,26,sell,0
2015-48,24,25,sell,0
2015-49,32,17,buy,1
2015-50,31,18,buy,1
2015-51,8,41,sell,0
2015-52,19,30,sell,0
2015-53,11,17,sell,0
2016-01,19,30,sell,0
2016-02,10,39,sell,0
2016-03,21,28,sell,0
2016-04,37,12,buy,1
2016-05,41,8,buy,1
2016-06,26,23,buy,1
2016-07,13,36,sell,0
2016-08,15,34,sell,0
2016-09,28,21,buy,1
2016-10,34,15,buy,1
2016-11,11,38,sell,0
2016-12,23,26,sell,0
2016-13,13,36,sell,0
2016-14,7,42,sell,0
2016-15,29,20,buy,1
2016-16,33,16,buy,1
2016-17,13,36,sell,0
2016-18,16,33,sell,0
2016-19,9,40,sell,0
2016-20,18,31,sell,0
2016-21,17,32,sell,0
2016-22,27,22,buy,1
2016-23,19,30,sell,0
2016-24,24,25,sell,0
2016-25,23,26,sell,0
2016-26,29,20,buy,1
2016-27,17,32,sell,0
2016-28,17,32,sell,0
2016-29,22,27,sell,0
2016-30,15,34,sell,0
2016-31,24,25,sell,0
2016-32,14,35,sell,0
2016-33,27,22,buy,1
2016-34,22,27,sell,0
2016-35,20,29,sell,0
2016-36,13,36,sell,0
2016-37,21,28,sell,0
2016-38,36,13,buy,1
2016-39,35,14,buy,1
2016-40,13,36,sell,0
2016-41,31,18,buy,1
2016-42,31,18,buy,1
2016-43,7,42,sell,0
2016-44,25,24,buy,1
2016-45,21,28,sell,0
2016-46,14,35,sell,0
2016-47,14,35,sell,0
2016-48,17,32,sell,0
2016-49,32,17,buy,1
2016-50,14,35,sell,0
2016-51,12,37,sell,0
2016-52,18,24,sell,0
2016-53,8,13,sell,0
2017-01,20,29,sell,0
2017-02,35,14,buy,1
2017-03,23,26,sell,0
2017-04,20,29,sell,0
2017-05,21,28,sell,0
2017-06,22,27,sell,0
2017-07,15,34,sell,0
2017-08,17,32,sell,0
2017-09,33,16,buy,1
2017-10,25,24,buy,1
2017-11,33,16,buy,1
2017-12,26,23,buy,1
2017-13,34,15,buy,1
2017-14,28,21,buy,1
2017-15,20,29,sell,0
2017-16,18,31,sell,0
2017-17,33,16,buy,1
2017-18,34,15,buy,1
2017-19,34,15,buy,1
2017-20,24,25,sell,0
2017-21,25,24,buy,1
2017-22,21,28,sell,0
2017-23,23,26,sell,0
2017-24,23,26,sell,0
2017-25,27,22,buy,1
2017-26,9,40,sell,0
2017-27,17,32,sell,0
2017-28,19,30,sell,0
2017-29,33,16,buy,1
2017-30,4,45,sell,0
2017-31,30,19,buy,1
2017-32,15,34,sell,0
2017-33,15,34,sell,0
2017-34,28,21,buy,1
2017-35,33,16,buy,1
2017-36,10,39,sell,0
2017-37,10,39,sell,0
2017-38,18,31,sell,0
2017-39,37,12,buy,1
2017-40,43,6,buy,1
2017-41,28,21,buy,1
2017-42,16,33,sell,0
2017-43,20,29,sell,0
2017-44,25,24,buy,1
2017-45,30,19,buy,1
2017-46,34,15,buy,1
2017-47,35,14,buy,1
2017-48,24,25,sell,0
2017-49,12,37,sell,0
2017-50,17,32,sell,0
2017-51,30,19,buy,1
2017-52,25,31,sell,0
2018-01,35,21,buy,1
2018-02,26,23,buy,1
2018-03,25,24,buy,1
2018-04,15,34,sell,0
2018-05,13,36,sell,0
2018-06,16,33,sell,0
2018-07,33,16,buy,1
2018-08,10,39,sell,0
2018-09,19,30,sell,0
2018-10,11,38,sell,0
2018-11,6,43,sell,0
2018-12,12,37,sell,0
2018-13,6,43,sell,0
2018-14,19,30,sell,0
2018-15,32,17,buy,1
2018-16,39,10,buy,1
2018-17,30,19,buy,1
2018-18,27,22,buy,1
2018-19,9,40,sell,0
2018-20,12,37,sell,0
2018-21,15,34,sell,0
2018-22,31,18,buy,1
2018-23,15,34,sell,0
2018-24,8,41,sell,0
2018-25,9,40,sell,0
2018-26,12,37,sell,0
2018-27,23,26,sell,0
2018-28,21,28,sell,0
2018-29,22,27,sell,0
2018-30,23,26,sell,0
2018-31,14,35,sell,0
2018-32,3,46,sell,0
2018-33,21,28,sell,0
2018-34,13,36,sell,0
2018-35,24,25,sell,0
2018-36,9,40,sell,0
2018-37,22,27,sell,0
2018-38,24,25,sell,0
2018-39,30,19,buy,1
2018-40,8,41,sell,0
2018-41,18,31,sell,0
2018-42,23,26,sell,0
2018-43,28,21,buy,1
