YearWeek,buy,sell,Action
2017-01,15,20,sell
2017-02,26,9,buy
2017-03,19,16,buy
2017-04,18,17,buy
2017-05,20,15,buy
2017-06,15,20,sell
2017-07,20,15,buy
2017-08,24,11,buy
2017-09,22,13,buy
2017-10,22,13,buy
2017-11,20,15,buy
2017-12,22,13,buy
2017-13,17,18,sell
2017-14,15,20,sell
2017-15,15,20,sell
2017-16,26,9,buy
2017-17,25,10,buy
2017-18,22,13,buy
2017-19,9,26,sell
2017-20,13,22,sell
2017-21,23,12,buy
2017-22,22,13,buy
2017-23,26,9,buy
2017-24,17,18,sell
2017-25,11,24,sell
2017-26,10,25,sell
2017-27,19,16,buy
2017-28,10,25,sell
2017-29,21,14,buy
2017-30,5,30,sell
2017-31,25,10,buy
2017-32,21,14,buy
2017-33,18,17,buy
2017-34,24,11,buy
2017-35,18,17,buy
2017-36,11,24,sell
2017-37,22,13,buy
2017-38,18,17,buy
2017-39,25,10,buy
2017-40,16,19,sell
2017-41,21,14,buy
2017-42,6,29,sell
2017-43,17,18,sell
2017-44,14,21,sell
2017-45,20,15,buy
2017-46,31,4,buy
2017-47,30,5,buy
2017-48,25,10,buy
2017-49,14,21,sell
2017-50,22,13,buy
2017-51,16,19,sell
2017-52,14,26,sell
2018-01,23,17,buy
2018-02,9,26,sell
2018-03,22,13,buy
2018-04,13,22,sell
2018-05,13,22,sell
2018-06,20,15,buy
2018-07,25,10,buy
2018-08,16,19,sell
2018-09,15,20,sell
2018-10,10,25,sell
2018-11,4,31,sell
2018-12,16,19,sell
2018-13,13,22,sell
2018-14,14,21,sell
2018-15,20,15,buy
2018-16,25,10,buy
2018-17,21,14,buy
2018-18,21,14,buy
2018-19,5,30,sell
2018-20,16,19,sell
2018-21,6,29,sell
2018-22,24,11,buy
2018-23,11,24,sell
2018-24,17,18,sell
2018-25,14,21,sell
2018-26,15,20,sell
2018-27,25,10,buy
2018-28,11,24,sell
2018-29,25,10,buy
2018-30,18,17,buy
2018-31,4,31,sell
2018-32,5,30,sell
2018-33,22,13,buy
2018-34,19,16,buy
2018-35,23,12,buy
2018-36,11,24,sell
2018-37,21,14,buy
2018-38,28,7,buy
2018-39,17,18,sell
