YearWeek,buy,sell,Action,ActionID
2014-19,19,23,sell,0
2014-20,17,25,sell,0
2014-21,18,24,sell,0
2014-22,14,28,sell,0
2014-23,28,14,buy,1
2014-24,7,35,sell,0
2014-25,20,22,sell,0
2014-26,9,33,sell,0
2014-27,19,23,sell,0
2014-28,17,25,sell,0
2014-29,20,22,sell,0
2014-30,18,24,sell,0
2014-31,29,13,buy,1
2014-32,32,10,buy,1
2014-33,13,29,sell,0
2014-34,16,26,sell,0
2014-35,10,32,sell,0
2014-36,8,34,sell,0
2014-37,32,10,buy,1
2014-38,9,33,sell,0
2014-39,34,8,buy,1
2014-40,22,20,buy,1
2014-41,30,12,buy,1
2014-42,33,9,buy,1
2014-43,11,29,sell,0
2014-44,22,20,buy,1
2014-45,27,15,buy,1
2014-46,8,34,sell,0
2014-47,15,27,sell,0
2014-48,19,23,sell,0
2014-49,29,13,buy,1
2014-50,31,11,buy,1
2014-51,30,12,buy,1
2014-52,11,31,sell,0
2015-01,17,7,buy,1
2015-02,32,10,buy,1
2015-03,20,22,sell,0
2015-04,27,15,buy,1
2015-05,19,23,sell,0
2015-06,19,23,sell,0
2015-07,14,25,sell,0
2015-08,25,17,buy,1
2015-09,33,9,buy,1
2015-10,34,8,buy,1
2015-11,27,15,buy,1
2015-12,9,33,sell,0
2015-13,18,24,sell,0
2015-14,20,22,sell,0
2015-15,26,16,buy,1
2015-16,9,33,sell,0
2015-17,18,24,sell,0
2015-18,18,24,sell,0
2015-19,13,29,sell,0
2015-20,26,15,buy,1
2015-21,35,7,buy,1
2015-22,32,10,buy,1
2015-23,33,9,buy,1
2015-24,14,28,sell,0
2015-25,34,8,buy,1
2015-26,31,11,buy,1
2015-27,37,5,buy,1
2015-28,25,17,buy,1
2015-29,27,15,buy,1
2015-30,18,24,sell,0
2015-31,21,21,buy,1
2015-32,18,24,sell,0
2015-33,26,16,buy,1
2015-34,24,18,buy,1
2015-35,18,24,sell,0
2015-36,28,14,buy,1
2015-37,16,26,sell,0
2015-38,3,39,sell,0
2015-39,29,13,buy,1
2015-40,13,29,sell,0
2015-41,13,29,sell,0
2015-42,21,21,buy,1
2015-43,31,11,buy,1
2015-44,9,33,sell,0
2015-45,34,8,buy,1
2015-46,31,11,buy,1
2015-47,27,14,buy,1
2015-48,29,13,buy,1
2015-49,21,21,buy,1
2015-50,21,21,buy,1
2015-51,13,29,sell,0
2015-52,5,37,sell,0
2015-53,12,12,buy,1
2016-01,35,7,buy,1
2016-02,26,16,buy,1
2016-03,11,31,sell,0
2016-04,9,33,sell,0
2016-05,32,10,buy,1
2016-06,30,12,buy,1
2016-07,17,25,sell,0
2016-08,17,25,sell,0
2016-09,23,19,buy,1
2016-10,23,19,buy,1
2016-11,24,14,buy,1
2016-12,24,17,buy,1
2016-13,13,29,sell,0
2016-14,25,17,buy,1
2016-15,28,14,buy,1
2016-16,6,36,sell,0
2016-17,12,30,sell,0
2016-18,32,10,buy,1
2016-19,17,25,sell,0
2016-20,29,13,buy,1
2016-21,18,24,sell,0
2016-22,20,22,sell,0
2016-23,10,32,sell,0
2016-24,21,21,buy,1
2016-25,8,34,sell,0
2016-26,21,21,buy,1
2016-27,19,23,sell,0
2016-28,21,21,buy,1
2016-29,33,9,buy,1
2016-30,20,22,sell,0
2016-31,29,13,buy,1
2016-32,8,34,sell,0
2016-33,14,28,sell,0
2016-34,18,24,sell,0
2016-35,27,15,buy,1
2016-36,24,18,buy,1
2016-37,28,13,buy,1
2016-38,22,20,buy,1
2016-39,21,20,buy,1
2016-40,30,12,buy,1
2016-41,20,22,sell,0
2016-42,26,16,buy,1
2016-43,18,24,sell,0
2016-44,21,21,buy,1
2016-45,24,18,buy,1
2016-46,15,27,sell,0
2016-47,16,26,sell,0
2016-48,17,25,sell,0
2016-49,15,27,sell,0
2016-50,26,16,buy,1
2016-51,34,8,buy,1
2016-52,11,25,sell,0
2016-53,4,14,sell,0
2017-01,2,39,sell,0
2017-02,16,26,sell,0
2017-03,20,22,sell,0
2017-04,15,27,sell,0
2017-05,16,26,sell,0
2017-06,21,21,buy,1
2017-07,20,22,sell,0
2017-08,21,21,buy,1
2017-09,30,12,buy,1
2017-10,25,17,buy,1
2017-11,24,18,buy,1
2017-12,20,22,sell,0
2017-13,8,34,sell,0
2017-14,20,22,sell,0
2017-15,22,20,buy,1
2017-16,28,14,buy,1
2017-17,25,17,buy,1
2017-18,21,21,buy,1
2017-19,36,6,buy,1
2017-20,13,29,sell,0
2017-21,15,27,sell,0
2017-22,33,9,buy,1
2017-23,12,30,sell,0
2017-24,14,28,sell,0
2017-25,28,14,buy,1
2017-26,7,35,sell,0
2017-27,14,28,sell,0
2017-28,13,29,sell,0
2017-29,12,30,sell,0
2017-30,14,28,sell,0
2017-31,22,19,buy,1
2017-32,25,17,buy,1
2017-33,24,18,buy,1
2017-34,18,24,sell,0
2017-35,10,32,sell,0
2017-36,14,28,sell,0
2017-37,20,22,sell,0
2017-38,21,21,buy,1
2017-39,23,19,buy,1
2017-40,18,24,sell,0
2017-41,21,21,buy,1
2017-42,32,10,buy,1
2017-43,36,6,buy,1
2017-44,16,26,sell,0
2017-45,20,22,sell,0
2017-46,33,9,buy,1
2017-47,19,23,sell,0
2017-48,23,19,buy,1
2017-49,22,20,buy,1
2017-50,11,31,sell,0
2017-51,15,27,sell,0
2017-52,13,35,sell,0
2018-01,17,31,sell,0
2018-02,31,11,buy,1
2018-03,20,22,sell,0
2018-04,12,30,sell,0
2018-05,25,17,buy,1
2018-06,31,11,buy,1
2018-07,31,11,buy,1
2018-08,27,15,buy,1
2018-09,31,11,buy,1
2018-10,16,22,sell,0
2018-11,22,20,buy,1
2018-12,4,37,sell,0
2018-13,23,19,buy,1
2018-14,16,26,sell,0
2018-15,10,32,sell,0
2018-16,24,18,buy,1
2018-17,31,11,buy,1
2018-18,22,20,buy,1
2018-19,15,27,sell,0
2018-20,21,21,buy,1
2018-21,27,15,buy,1
2018-22,30,12,buy,1
2018-23,23,19,buy,1
2018-24,26,16,buy,1
2018-25,27,15,buy,1
2018-26,23,19,buy,1
2018-27,15,27,sell,0
2018-28,16,26,sell,0
2018-29,26,16,buy,1
2018-30,12,30,sell,0
2018-31,21,18,buy,1
2018-32,26,16,buy,1
2018-33,12,25,sell,0
2018-34,13,29,sell,0
2018-35,23,17,buy,1
2018-36,23,17,buy,1
2018-37,12,30,sell,0
2018-38,16,22,sell,0
2018-39,23,19,buy,1
2018-40,28,14,buy,1
2018-41,27,15,buy,1
2018-42,18,23,sell,0
2018-43,31,11,buy,1
2018-44,12,30,sell,0
2018-45,16,26,sell,0
2018-46,24,18,buy,1
2018-47,22,20,buy,1
2018-48,32,10,buy,1
2018-49,22,20,buy,1
2018-50,28,14,buy,1
2018-51,32,10,buy,1
2018-52,33,9,buy,1
2019-01,10,38,sell,0
2019-02,6,36,sell,0
2019-03,24,18,buy,1
2019-04,23,19,buy,1
2019-05,22,19,buy,1
2019-06,30,12,buy,1
2019-07,20,22,sell,0
2019-08,18,24,sell,0
2019-09,33,9,buy,1
2019-10,26,16,buy,1
2019-11,21,21,buy,1
2019-12,24,18,buy,1
2019-13,18,24,sell,0
2019-14,27,15,buy,1
2019-15,22,20,buy,1
2019-16,25,17,buy,1
2019-17,26,15,buy,1
2019-18,20,22,sell,0
2019-19,18,24,sell,0
2019-20,26,16,buy,1
2019-21,21,21,buy,1
