YearWeek,buy,sell,Action,ActionID
2014-19,22,20,buy,1
2014-20,14,28,sell,0
2014-21,12,30,sell,0
2014-22,26,16,buy,1
2014-23,12,30,sell,0
2014-24,25,17,buy,1
2014-25,22,19,buy,1
2014-26,28,14,buy,1
2014-27,15,27,sell,0
2014-28,25,17,buy,1
2014-29,17,25,sell,0
2014-30,16,26,sell,0
2014-31,19,23,sell,0
2014-32,21,21,buy,1
2014-33,29,13,buy,1
2014-34,9,33,sell,0
2014-35,18,24,sell,0
2014-36,20,22,sell,0
2014-37,19,23,sell,0
2014-38,22,20,buy,1
2014-39,8,34,sell,0
2014-40,6,36,sell,0
2014-41,14,28,sell,0
2014-42,16,26,sell,0
2014-43,23,18,buy,1
2014-44,20,22,sell,0
2014-45,20,20,buy,1
2014-46,12,30,sell,0
2014-47,15,27,sell,0
2014-48,35,7,buy,1
2014-49,26,16,buy,1
2014-50,24,18,buy,1
2014-51,15,27,sell,0
2014-52,22,20,buy,1
2015-01,4,20,sell,0
2015-02,13,29,sell,0
2015-03,14,28,sell,0
2015-04,25,17,buy,1
2015-05,28,14,buy,1
2015-06,23,19,buy,1
2015-07,30,12,buy,1
2015-08,23,19,buy,1
2015-09,17,25,sell,0
2015-10,11,31,sell,0
2015-11,20,22,sell,0
2015-12,30,12,buy,1
2015-13,31,11,buy,1
2015-14,25,17,buy,1
2015-15,15,27,sell,0
2015-16,24,18,buy,1
2015-17,25,17,buy,1
2015-18,34,8,buy,1
2015-19,15,27,sell,0
2015-20,22,20,buy,1
2015-21,5,37,sell,0
2015-22,18,24,sell,0
2015-23,30,12,buy,1
2015-24,15,27,sell,0
2015-25,23,19,buy,1
2015-26,15,27,sell,0
2015-27,22,20,buy,1
2015-28,22,20,buy,1
2015-29,9,33,sell,0
2015-30,26,16,buy,1
2015-31,24,18,buy,1
2015-32,18,24,sell,0
2015-33,23,19,buy,1
2015-34,26,16,buy,1
2015-35,13,29,sell,0
2015-36,22,20,buy,1
2015-37,28,14,buy,1
2015-38,9,33,sell,0
2015-39,18,24,sell,0
2015-40,28,14,buy,1
2015-41,35,7,buy,1
2015-42,28,14,buy,1
2015-43,11,31,sell,0
2015-44,34,8,buy,1
2015-45,15,27,sell,0
2015-46,17,25,sell,0
2015-47,28,14,buy,1
2015-48,17,25,sell,0
2015-49,29,13,buy,1
2015-50,17,25,sell,0
