YearWeek,buy,sell,Action,ActionID
2014-19,16,19,sell,0
2014-20,17,18,sell,0
2014-21,21,14,buy,1
2014-22,12,23,sell,0
2014-23,18,17,buy,1
2014-24,16,19,sell,0
2014-25,18,17,buy,1
2014-26,15,20,sell,0
2014-27,15,20,sell,0
2014-28,17,18,sell,0
2014-29,19,16,buy,1
2014-30,14,21,sell,0
2014-31,16,19,sell,0
2014-32,11,24,sell,0
2014-33,23,12,buy,1
2014-34,20,15,buy,1
2014-35,16,19,sell,0
2014-36,15,20,sell,0
2014-37,18,17,buy,1
2014-38,14,21,sell,0
2014-39,15,20,sell,0
2014-40,18,17,buy,1
2014-41,18,17,buy,1
2014-42,26,9,buy,1
2014-43,23,12,buy,1
2014-44,15,20,sell,0
2014-45,16,19,sell,0
2014-46,20,15,buy,1
2014-47,23,12,buy,1
2014-48,17,18,sell,0
2014-49,14,21,sell,0
2014-50,11,24,sell,0
2014-51,17,18,sell,0
2014-52,15,20,sell,0
2015-01,12,8,buy,1
2015-02,21,14,buy,1
2015-03,16,19,sell,0
2015-04,20,15,buy,1
2015-05,26,9,buy,1
2015-06,18,17,buy,1
2015-07,21,14,buy,1
2015-08,20,15,buy,1
2015-09,21,14,buy,1
2015-10,21,14,buy,1
2015-11,20,15,buy,1
2015-12,12,23,sell,0
2015-13,15,20,sell,0
2015-14,17,18,sell,0
2015-15,19,16,buy,1
2015-16,14,21,sell,0
2015-17,17,18,sell,0
2015-18,20,15,buy,1
2015-19,16,19,sell,0
2015-20,12,23,sell,0
2015-21,11,24,sell,0
2015-22,14,21,sell,0
2015-23,17,18,sell,0
2015-24,18,17,buy,1
2015-25,9,26,sell,0
2015-26,13,22,sell,0
2015-27,24,11,buy,1
2015-28,14,21,sell,0
2015-29,12,23,sell,0
2015-30,17,18,sell,0
2015-31,16,19,sell,0
2015-32,19,16,buy,1
2015-33,20,15,buy,1
2015-34,24,11,buy,1
2015-35,20,15,buy,1
2015-36,19,16,buy,1
2015-37,17,18,sell,0
2015-38,11,24,sell,0
2015-39,15,20,sell,0
2015-40,17,18,sell,0
2015-41,16,19,sell,0
2015-42,19,16,buy,1
2015-43,22,13,buy,1
2015-44,19,16,buy,1
2015-45,20,15,buy,1
2015-46,21,14,buy,1
2015-47,17,18,sell,0
2015-48,22,13,buy,1
2015-49,20,15,buy,1
2015-50,13,22,sell,0
2015-51,11,24,sell,0
2015-52,17,18,sell,0
2015-53,10,10,buy,1
2016-01,19,16,buy,1
2016-02,17,18,sell,0
2016-03,13,22,sell,0
2016-04,18,17,buy,1
2016-05,19,16,buy,1
2016-06,15,20,sell,0
2016-07,19,16,buy,1
2016-08,18,17,buy,1
2016-09,20,15,buy,1
2016-10,20,15,buy,1
2016-11,18,17,buy,1
2016-12,16,19,sell,0
2016-13,19,16,buy,1
2016-14,14,21,sell,0
2016-15,13,22,sell,0
2016-16,14,21,sell,0
2016-17,15,20,sell,0
2016-18,17,18,sell,0
2016-19,15,20,sell,0
2016-20,19,16,buy,1
2016-21,18,17,buy,1
2016-22,15,20,sell,0
2016-23,18,17,buy,1
2016-24,15,20,sell,0
2016-25,20,15,buy,1
2016-26,18,17,buy,1
2016-27,17,18,sell,0
2016-28,20,15,buy,1
2016-29,15,20,sell,0
2016-30,18,17,buy,1
