PlanetSpeedPhase,Planet,SpeedPhase,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_DIR,Ceres,Direct,904,1015,1919,0.47,0.53
CE_RET,Ceres,Retrograde,206,283,489,0.42,0.58
CE_STA,Ceres,Stationary,45,36,81,0.56,0.44
CH_DIR,Chiron,Direct,682,723,1405,0.49,0.51
CH_RET,Chiron,Retrograde,407,525,932,0.44,0.56
CH_STA,Chiron,Stationary,66,86,152,0.43,0.57
JN_DIR,Juno,Direct,830,976,1806,0.46,0.54
JN_RET,Juno,Retrograde,264,313,577,0.46,0.54
JN_STA,Juno,Stationary,61,45,106,0.58,0.42
JU_DIR,Jupiter,Direct,753,873,1626,0.46,0.54
JU_RET,Jupiter,Retrograde,350,390,740,0.47,0.53
JU_STA,Jupiter,Stationary,52,71,123,0.42,0.58
MA_DIR,Mars,Direct,1049,1194,2243,0.47,0.53
MA_RET,Mars,Retrograde,86,109,195,0.44,0.56
MA_STA,Mars,Stationary,20,31,51,0.39,0.61
ME_DIR,Mercury,Direct,897,1027,1924,0.47,0.53
ME_RET,Mercury,Retrograde,225,261,486,0.46,0.54
ME_STA,Mercury,Stationary,33,46,79,0.42,0.58
MO_DIR,Moon,Direct,1155,1334,2489,0.46,0.54
NE_DIR,Neptune,Direct,650,683,1333,0.49,0.51
NE_RET,Neptune,Retrograde,397,507,904,0.44,0.56
NE_STA,Neptune,Stationary,108,144,252,0.43,0.57
NN_DIR,NNode,Direct,1155,1334,2489,0.46,0.54
PA_DIR,Pallas,Direct,860,1015,1875,0.46,0.54
PA_RET,Pallas,Retrograde,253,275,528,0.48,0.52
PA_STA,Pallas,Stationary,42,44,86,0.49,0.51
PH_DIR,Pholus,Direct,591,692,1283,0.46,0.54
PH_RET,Pholus,Retrograde,449,547,996,0.45,0.55
PH_STA,Pholus,Stationary,115,95,210,0.55,0.45
PL_DIR,Pluto,Direct,612,688,1300,0.47,0.53
PL_RET,Pluto,Retrograde,398,517,915,0.43,0.57
PL_STA,Pluto,Stationary,145,129,274,0.53,0.47
SA_DIR,Saturn,Direct,694,774,1468,0.47,0.53
SA_RET,Saturn,Retrograde,383,479,862,0.44,0.56
SA_STA,Saturn,Stationary,78,81,159,0.49,0.51
SN_DIR,SNode,Direct,1155,1334,2489,0.46,0.54
SU_DIR,Sun,Direct,1155,1334,2489,0.46,0.54
UR_DIR,Uranus,Direct,662,746,1408,0.47,0.53
UR_RET,Uranus,Retrograde,421,507,928,0.45,0.55
UR_STA,Uranus,Stationary,72,81,153,0.47,0.53
VE_DIR,Venus,Direct,1056,1221,2277,0.46,0.54
VE_RET,Venus,Retrograde,82,88,170,0.48,0.52
VE_STA,Venus,Stationary,17,25,42,0.4,0.6
VS_DIR,Vesta,Direct,932,1021,1953,0.48,0.52
VS_RET,Vesta,Retrograde,197,260,457,0.43,0.57
VS_STA,Vesta,Stationary,26,53,79,0.33,0.67
