PlanetPolarity,Planet,Polarity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_NEG,Ceres,Negative,353,412,765,0.46,0.54
CE_POS,Ceres,Positive,552,584,1136,0.49,0.51
CH_NEG,Chiron,Negative,146,157,303,0.48,0.52
CH_POS,Chiron,Positive,759,839,1598,0.47,0.53
JN_NEG,Juno,Negative,398,472,870,0.46,0.54
JN_POS,Juno,Positive,507,524,1031,0.49,0.51
JU_NEG,Jupiter,Negative,476,530,1006,0.47,0.53
JU_POS,Jupiter,Positive,429,466,895,0.48,0.52
MA_NEG,Mars,Negative,365,414,779,0.47,0.53
MA_POS,Mars,Positive,540,582,1122,0.48,0.52
ME_NEG,Mercury,Negative,431,466,897,0.48,0.52
ME_POS,Mercury,Positive,474,530,1004,0.47,0.53
MO_NEG,Moon,Negative,455,494,949,0.48,0.52
MO_POS,Moon,Positive,450,502,952,0.47,0.53
NE_NEG,Neptune,Negative,905,996,1901,0.48,0.52
NN_NEG,NNode,Negative,450,516,966,0.47,0.53
NN_POS,NNode,Positive,455,480,935,0.49,0.51
PA_NEG,Pallas,Negative,518,585,1103,0.47,0.53
PA_POS,Pallas,Positive,387,411,798,0.48,0.52
PH_NEG,Pholus,Negative,739,828,1567,0.47,0.53
PH_POS,Pholus,Positive,166,168,334,0.5,0.5
PL_NEG,Pluto,Negative,905,996,1901,0.48,0.52
SA_NEG,Saturn,Negative,459,533,992,0.46,0.54
SA_POS,Saturn,Positive,446,463,909,0.49,0.51
SN_NEG,SNode,Negative,450,516,966,0.47,0.53
SN_POS,SNode,Positive,455,480,935,0.49,0.51
SU_NEG,Sun,Negative,447,509,956,0.47,0.53
SU_POS,Sun,Positive,458,487,945,0.48,0.52
UR_NEG,Uranus,Negative,759,837,1596,0.48,0.52
UR_POS,Uranus,Positive,146,159,305,0.48,0.52
VE_NEG,Venus,Negative,457,503,960,0.48,0.52
VE_POS,Venus,Positive,448,493,941,0.48,0.52
VS_NEG,Vesta,Negative,560,602,1162,0.48,0.52
VS_POS,Vesta,Positive,345,394,739,0.47,0.53
