PlanetsAspect,buy,sell,daysN,BuyDays%,SellDays%
JUNE_a103,2,16,18,0.11,0.89
JUNE_a120,37,49,86,0.43,0.57
JUNE_a135,7,10,17,0.41,0.59
JUNE_a144,4,4,8,0.5,0.5
JUNE_a45,11,8,19,0.58,0.42
JUNE_a60,54,58,112,0.48,0.52
JUNE_a72,7,12,19,0.37,0.63
JUNE_a90,45,42,87,0.52,0.48
JUPL_a0,64,55,119,0.54,0.46
JUPL_a30,72,58,130,0.55,0.45
JUPL_a36,48,70,118,0.41,0.59
JUPL_a45,8,13,21,0.38,0.62
JUPL_a60,62,45,107,0.58,0.42
JUPL_a72,9,12,21,0.43,0.57
JUSA_a0,19,18,37,0.51,0.49
JUSA_a30,70,90,160,0.44,0.56
JUSA_a36,7,24,31,0.23,0.77
JUSA_a45,80,76,156,0.51,0.49
JUSA_a60,9,11,20,0.45,0.55
JUUR_a103,38,49,87,0.44,0.56
JUUR_a120,4,12,16,0.25,0.75
JUUR_a135,39,26,65,0.6,0.4
JUUR_a144,11,20,31,0.35,0.65
JUUR_a150,2,14,16,0.12,0.88
JUUR_a180,7,9,16,0.44,0.56
JUUR_a90,8,3,11,0.73,0.27
MAJU_a0,10,5,15,0.67,0.33
MAJU_a103,11,5,16,0.69,0.31
MAJU_a120,5,10,15,0.33,0.67
MAJU_a135,5,7,12,0.42,0.58
MAJU_a144,7,5,12,0.58,0.42
MAJU_a150,10,2,12,0.83,0.17
MAJU_a180,3,3,6,0.5,0.5
MAJU_a30,13,20,33,0.39,0.61
MAJU_a36,17,15,32,0.53,0.47
MAJU_a45,9,21,30,0.3,0.7
MAJU_a60,14,14,28,0.5,0.5
MAJU_a72,34,35,69,0.49,0.51
MAJU_a90,22,18,40,0.55,0.45
MANE_a0,5,9,14,0.36,0.64
MANE_a103,11,10,21,0.52,0.48
MANE_a120,10,11,21,0.48,0.52
MANE_a135,10,10,20,0.5,0.5
MANE_a144,10,10,20,0.5,0.5
MANE_a150,6,12,18,0.33,0.67
MANE_a180,8,4,12,0.67,0.33
MANE_a30,29,34,63,0.46,0.54
MANE_a36,36,55,91,0.4,0.6
