PlanetQualityCountRange,Quality,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%,Element
"CAR_(5,6]",Cardinal,"(5,6]",78,83,161,0.48,0.52,CAR
"CAR_(6,8]",Cardinal,"(6,8]",169,218,387,0.44,0.56,CAR
"CAR_(8,14]",Cardinal,"(8,14]",253,267,520,0.49,0.51,CAR
"CAR_[0,5]",Cardinal,"[0,5]",141,136,277,0.51,0.49,CAR
"FIX_(5,6]",Fixed,"(5,6]",74,102,176,0.42,0.58,FIX
"FIX_(6,7]",Fixed,"(6,7]",78,82,160,0.49,0.51,FIX
"FIX_(7,14]",Fixed,"(7,14]",77,89,166,0.46,0.54,FIX
"FIX_[0,5]",Fixed,"[0,5]",412,431,843,0.49,0.51,FIX
"MUT_(4,6]",Mutable,"(4,6]",254,299,553,0.46,0.54,MUT
"MUT_(6,7]",Mutable,"(6,7]",88,105,193,0.46,0.54,MUT
"MUT_(7,13]",Mutable,"(7,13]",83,73,156,0.53,0.47,MUT
"MUT_[0,4]",Mutable,"[0,4]",216,227,443,0.49,0.51,MUT
