PlanetPolarity,Planet,Polarity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_NEG,Ceres,Negative,3481,2983,6464,0.54,0.46
CE_POS,Ceres,Positive,3579,2980,6559,0.55,0.45
CH_NEG,Chiron,Negative,3507,2888,6395,0.55,0.45
CH_POS,Chiron,Positive,3553,3075,6628,0.54,0.46
JN_NEG,Juno,Negative,3442,2969,6411,0.54,0.46
JN_POS,Juno,Positive,3618,2994,6612,0.55,0.45
JU_NEG,Jupiter,Negative,3537,3031,6568,0.54,0.46
JU_POS,Jupiter,Positive,3523,2932,6455,0.55,0.45
MA_NEG,Mars,Negative,3449,2959,6408,0.54,0.46
MA_POS,Mars,Positive,3611,3004,6615,0.55,0.45
ME_NEG,Mercury,Negative,3552,2990,6542,0.54,0.46
ME_POS,Mercury,Positive,3508,2973,6481,0.54,0.46
MO_NEG,Moon,Negative,3517,2995,6512,0.54,0.46
MO_POS,Moon,Positive,3543,2968,6511,0.54,0.46
NE_NEG,Neptune,Negative,3448,2680,6128,0.56,0.44
NE_POS,Neptune,Positive,3612,3283,6895,0.52,0.48
NN_NEG,NNode,Negative,3517,2930,6447,0.55,0.45
NN_POS,NNode,Positive,3543,3033,6576,0.54,0.46
PA_NEG,Pallas,Negative,3569,2953,6522,0.55,0.45
PA_POS,Pallas,Positive,3491,3010,6501,0.54,0.46
PH_NEG,Pholus,Negative,3452,2993,6445,0.54,0.46
PH_POS,Pholus,Positive,3608,2970,6578,0.55,0.45
PL_NEG,Pluto,Negative,3746,2973,6719,0.56,0.44
PL_POS,Pluto,Positive,3314,2990,6304,0.53,0.47
SA_NEG,Saturn,Negative,3506,2982,6488,0.54,0.46
SA_POS,Saturn,Positive,3554,2981,6535,0.54,0.46
SN_NEG,SNode,Negative,3517,2930,6447,0.55,0.45
SN_POS,SNode,Positive,3543,3033,6576,0.54,0.46
SU_NEG,Sun,Negative,3498,2970,6468,0.54,0.46
SU_POS,Sun,Positive,3562,2993,6555,0.54,0.46
UR_NEG,Uranus,Negative,3297,2809,6106,0.54,0.46
UR_POS,Uranus,Positive,3763,3154,6917,0.54,0.46
VE_NEG,Venus,Negative,3479,2908,6387,0.54,0.46
VE_POS,Venus,Positive,3581,3055,6636,0.54,0.46
VS_NEG,Vesta,Negative,3460,2920,6380,0.54,0.46
VS_POS,Vesta,Positive,3600,3043,6643,0.54,0.46
