PlanetSpeedPhase,Planet,SpeedPhase,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_DIR,Ceres,Direct,5183,4594,9777,0.53,0.47
CE_RET,Ceres,Retrograde,1436,1236,2672,0.54,0.46
CE_STA,Ceres,Stationary,232,211,443,0.52,0.48
CH_DIR,Chiron,Direct,3963,3494,7457,0.53,0.47
CH_RET,Chiron,Retrograde,2564,2261,4825,0.53,0.47
CH_STA,Chiron,Stationary,324,286,610,0.53,0.47
JN_DIR,Juno,Direct,5159,4562,9721,0.53,0.47
JN_RET,Juno,Retrograde,1429,1238,2667,0.54,0.46
JN_STA,Juno,Stationary,263,241,504,0.52,0.48
JU_DIR,Jupiter,Direct,4564,3904,8468,0.54,0.46
JU_RET,Jupiter,Retrograde,1972,1849,3821,0.52,0.48
JU_STA,Jupiter,Stationary,315,288,603,0.52,0.48
MA_DIR,Mars,Direct,6060,5345,11405,0.53,0.47
MA_RET,Mars,Retrograde,647,552,1199,0.54,0.46
MA_STA,Mars,Stationary,144,144,288,0.5,0.5
ME_DIR,Mercury,Direct,5319,4703,10022,0.53,0.47
ME_RET,Mercury,Retrograde,1320,1152,2472,0.53,0.47
ME_STA,Mercury,Stationary,212,186,398,0.53,0.47
MO_DIR,Moon,Direct,6851,6041,12892,0.53,0.47
NE_DIR,Neptune,Direct,3519,3053,6572,0.54,0.46
NE_RET,Neptune,Retrograde,2656,2378,5034,0.53,0.47
NE_STA,Neptune,Stationary,676,610,1286,0.53,0.47
NN_DIR,NNode,Direct,6851,6041,12892,0.53,0.47
PA_DIR,Pallas,Direct,5138,4469,9607,0.53,0.47
PA_RET,Pallas,Retrograde,1507,1372,2879,0.52,0.48
PA_STA,Pallas,Stationary,206,200,406,0.51,0.49
PH_DIR,Pholus,Direct,3885,3361,7246,0.54,0.46
PH_RET,Pholus,Retrograde,2587,2332,4919,0.53,0.47
PH_STA,Pholus,Stationary,379,348,727,0.52,0.48
PL_DIR,Pluto,Direct,3557,3120,6677,0.53,0.47
PL_RET,Pluto,Retrograde,2607,2334,4941,0.53,0.47
PL_STA,Pluto,Stationary,687,587,1274,0.54,0.46
SA_DIR,Saturn,Direct,4025,3626,7651,0.53,0.47
SA_RET,Saturn,Retrograde,2390,2072,4462,0.54,0.46
SA_STA,Saturn,Stationary,436,343,779,0.56,0.44
SN_DIR,SNode,Direct,6851,6041,12892,0.53,0.47
SU_DIR,Sun,Direct,6851,6041,12892,0.53,0.47
UR_DIR,Uranus,Direct,3769,3296,7065,0.53,0.47
UR_RET,Uranus,Retrograde,2642,2361,5003,0.53,0.47
UR_STA,Uranus,Stationary,440,384,824,0.53,0.47
VE_DIR,Venus,Direct,6257,5470,11727,0.53,0.47
VE_RET,Venus,Retrograde,467,456,923,0.51,0.49
VE_STA,Venus,Stationary,127,115,242,0.52,0.48
VS_DIR,Vesta,Direct,5393,4768,10161,0.53,0.47
VS_RET,Vesta,Retrograde,1246,1078,2324,0.54,0.46
VS_STA,Vesta,Stationary,212,195,407,0.52,0.48
