PlanetZodSign,Planet,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_Z01_ARI,Ceres,Aries,156,128,284,0.55,0.45
CE_Z02_TAU,Ceres,Taurus,126,130,256,0.49,0.51
CE_Z03_GEM,Ceres,Gemini,70,62,132,0.53,0.47
CE_Z04_CAN,Ceres,Cancer,41,35,76,0.54,0.46
CE_Z05_LEO,Ceres,Leo,139,138,277,0.5,0.5
CE_Z06_VIR,Ceres,Virgo,29,41,70,0.41,0.59
CE_Z07_LIB,Ceres,Libra,31,35,66,0.47,0.53
CE_Z08_SCO,Ceres,Scorpio,47,66,113,0.42,0.58
CE_Z09_SAG,Ceres,Sagittarius,173,195,368,0.47,0.53
CE_Z10_CAP,Ceres,Capricorn,126,120,246,0.51,0.49
CE_Z11_AQU,Ceres,Aquarius,176,161,337,0.52,0.48
CE_Z12_PIS,Ceres,Pisces,195,143,338,0.58,0.42
CH_Z01_ARI,Chiron,Aries,567,544,1111,0.51,0.49
CH_Z12_PIS,Chiron,Pisces,742,710,1452,0.51,0.49
JN_Z01_ARI,Juno,Aries,25,39,64,0.39,0.61
JN_Z02_TAU,Juno,Taurus,91,109,200,0.46,0.54
JN_Z03_GEM,Juno,Gemini,51,42,93,0.55,0.45
JN_Z04_CAN,Juno,Cancer,38,42,80,0.48,0.52
JN_Z05_LEO,Juno,Leo,150,179,329,0.46,0.54
JN_Z06_VIR,Juno,Virgo,77,75,152,0.51,0.49
JN_Z07_LIB,Juno,Libra,224,211,435,0.51,0.49
JN_Z08_SCO,Juno,Scorpio,212,175,387,0.55,0.45
JN_Z09_SAG,Juno,Sagittarius,197,177,374,0.53,0.47
JN_Z10_CAP,Juno,Capricorn,181,135,316,0.57,0.43
JN_Z11_AQU,Juno,Aquarius,33,36,69,0.48,0.52
JN_Z12_PIS,Juno,Pisces,30,34,64,0.47,0.53
JU_Z05_LEO,Jupiter,Leo,160,166,326,0.49,0.51
JU_Z06_VIR,Jupiter,Virgo,208,187,395,0.53,0.47
JU_Z07_LIB,Jupiter,Libra,207,189,396,0.52,0.48
JU_Z08_SCO,Jupiter,Scorpio,189,205,394,0.48,0.52
JU_Z09_SAG,Jupiter,Sagittarius,182,207,389,0.47,0.53
JU_Z10_CAP,Jupiter,Capricorn,210,169,379,0.55,0.45
JU_Z11_AQU,Jupiter,Aquarius,119,89,208,0.57,0.43
JU_Z12_PIS,Jupiter,Pisces,34,42,76,0.45,0.55
MA_Z01_ARI,Mars,Aries,174,139,313,0.56,0.44
MA_Z02_TAU,Mars,Taurus,107,80,187,0.57,0.43
MA_Z03_GEM,Mars,Gemini,107,76,183,0.58,0.42
MA_Z04_CAN,Mars,Cancer,97,89,186,0.52,0.48
MA_Z05_LEO,Mars,Leo,91,100,191,0.48,0.52
MA_Z06_VIR,Mars,Virgo,99,90,189,0.52,0.48
MA_Z07_LIB,Mars,Libra,83,78,161,0.52,0.48
MA_Z08_SCO,Mars,Scorpio,102,121,223,0.46,0.54
MA_Z09_SAG,Mars,Sagittarius,148,121,269,0.55,0.45
MA_Z10_CAP,Mars,Capricorn,98,116,214,0.46,0.54
MA_Z11_AQU,Mars,Aquarius,118,158,276,0.43,0.57
MA_Z12_PIS,Mars,Pisces,85,86,171,0.5,0.5
ME_Z01_ARI,Mercury,Aries,101,89,190,0.53,0.47
ME_Z02_TAU,Mercury,Taurus,108,78,186,0.58,0.42
ME_Z03_GEM,Mercury,Gemini,111,102,213,0.52,0.48
ME_Z04_CAN,Mercury,Cancer,97,94,191,0.51,0.49
ME_Z05_LEO,Mercury,Leo,88,113,201,0.44,0.56
ME_Z06_VIR,Mercury,Virgo,106,106,212,0.5,0.5
ME_Z07_LIB,Mercury,Libra,117,123,240,0.49,0.51
ME_Z08_SCO,Mercury,Scorpio,109,129,238,0.46,0.54
ME_Z09_SAG,Mercury,Sagittarius,121,107,228,0.53,0.47
ME_Z10_CAP,Mercury,Capricorn,106,107,213,0.5,0.5
ME_Z11_AQU,Mercury,Aquarius,135,108,243,0.56,0.44
ME_Z12_PIS,Mercury,Pisces,110,98,208,0.53,0.47
MO_Z01_ARI,Moon,Aries,108,108,216,0.5,0.5
MO_Z02_TAU,Moon,Taurus,99,112,211,0.47,0.53
MO_Z03_GEM,Moon,Gemini,112,95,207,0.54,0.46
MO_Z04_CAN,Moon,Cancer,107,99,206,0.52,0.48
MO_Z05_LEO,Moon,Leo,109,98,207,0.53,0.47
MO_Z06_VIR,Moon,Virgo,102,110,212,0.48,0.52
MO_Z07_LIB,Moon,Libra,109,106,215,0.51,0.49
MO_Z08_SCO,Moon,Scorpio,107,111,218,0.49,0.51
MO_Z09_SAG,Moon,Sagittarius,103,112,215,0.48,0.52
MO_Z10_CAP,Moon,Capricorn,116,106,222,0.52,0.48
MO_Z11_AQU,Moon,Aquarius,126,91,217,0.58,0.42
MO_Z12_PIS,Moon,Pisces,111,106,217,0.51,0.49
NE_Z12_PIS,Neptune,Pisces,1309,1254,2563,0.51,0.49
NN_Z03_GEM,NNode,Gemini,264,215,479,0.55,0.45
NN_Z04_CAN,NNode,Cancer,280,286,566,0.49,0.51
NN_Z05_LEO,NNode,Leo,280,286,566,0.49,0.51
NN_Z06_VIR,NNode,Virgo,295,272,567,0.52,0.48
NN_Z07_LIB,NNode,Libra,190,195,385,0.49,0.51
PA_Z01_ARI,Pallas,Aries,89,65,154,0.58,0.42
PA_Z02_TAU,Pallas,Taurus,108,103,211,0.51,0.49
PA_Z03_GEM,Pallas,Gemini,28,24,52,0.54,0.46
PA_Z04_CAN,Pallas,Cancer,19,32,51,0.37,0.63
PA_Z05_LEO,Pallas,Leo,24,31,55,0.44,0.56
PA_Z06_VIR,Pallas,Virgo,28,34,62,0.45,0.55
PA_Z07_LIB,Pallas,Libra,152,172,324,0.47,0.53
PA_Z08_SCO,Pallas,Scorpio,65,78,143,0.45,0.55
PA_Z09_SAG,Pallas,Sagittarius,188,170,358,0.53,0.47
PA_Z10_CAP,Pallas,Capricorn,202,189,391,0.52,0.48
PA_Z11_AQU,Pallas,Aquarius,192,163,355,0.54,0.46
PA_Z12_PIS,Pallas,Pisces,214,193,407,0.53,0.47
PH_Z09_SAG,Pholus,Sagittarius,740,743,1483,0.5,0.5
PH_Z10_CAP,Pholus,Capricorn,569,511,1080,0.53,0.47
PL_Z10_CAP,Pluto,Capricorn,1309,1254,2563,0.51,0.49
SA_Z08_SCO,Saturn,Scorpio,92,99,191,0.48,0.52
SA_Z09_SAG,Saturn,Sagittarius,529,468,997,0.53,0.47
SA_Z10_CAP,Saturn,Capricorn,476,513,989,0.48,0.52
SA_Z11_AQU,Saturn,Aquarius,212,174,386,0.55,0.45
SN_Z01_ARI,SNode,Aries,191,195,386,0.49,0.51
SN_Z09_SAG,SNode,Sagittarius,264,215,479,0.55,0.45
SN_Z10_CAP,SNode,Capricorn,280,286,566,0.49,0.51
SN_Z11_AQU,SNode,Aquarius,280,286,566,0.49,0.51
SN_Z12_PIS,SNode,Pisces,294,272,566,0.52,0.48
SU_Z01_ARI,Sun,Aries,120,92,212,0.57,0.43
SU_Z02_TAU,Sun,Taurus,118,99,217,0.54,0.46
SU_Z03_GEM,Sun,Gemini,115,104,219,0.53,0.47
SU_Z04_CAN,Sun,Cancer,104,117,221,0.47,0.53
SU_Z05_LEO,Sun,Leo,108,110,218,0.5,0.5
SU_Z06_VIR,Sun,Virgo,109,112,221,0.49,0.51
SU_Z07_LIB,Sun,Libra,106,109,215,0.49,0.51
SU_Z08_SCO,Sun,Scorpio,99,111,210,0.47,0.53
SU_Z09_SAG,Sun,Sagittarius,104,103,207,0.5,0.5
SU_Z10_CAP,Sun,Capricorn,103,103,206,0.5,0.5
SU_Z11_AQU,Sun,Aquarius,120,87,207,0.58,0.42
SU_Z12_PIS,Sun,Pisces,103,107,210,0.49,0.51
UR_Z01_ARI,Uranus,Aries,748,706,1454,0.51,0.49
UR_Z02_TAU,Uranus,Taurus,561,548,1109,0.51,0.49
VE_Z01_ARI,Venus,Aries,130,117,247,0.53,0.47
VE_Z02_TAU,Venus,Taurus,96,85,181,0.53,0.47
VE_Z03_GEM,Venus,Gemini,146,129,275,0.53,0.47
VE_Z04_CAN,Venus,Cancer,79,106,185,0.43,0.57
VE_Z05_LEO,Venus,Leo,130,132,262,0.5,0.5
VE_Z06_VIR,Venus,Virgo,110,93,203,0.54,0.46
VE_Z07_LIB,Venus,Libra,111,127,238,0.47,0.53
VE_Z08_SCO,Venus,Scorpio,129,124,253,0.51,0.49
VE_Z09_SAG,Venus,Sagittarius,84,88,172,0.49,0.51
VE_Z10_CAP,Venus,Capricorn,75,98,173,0.43,0.57
VE_Z11_AQU,Venus,Aquarius,101,70,171,0.59,0.41
VE_Z12_PIS,Venus,Pisces,118,85,203,0.58,0.42
VS_Z01_ARI,Vesta,Aries,163,141,304,0.54,0.46
VS_Z02_TAU,Vesta,Taurus,172,183,355,0.48,0.52
VS_Z03_GEM,Vesta,Gemini,80,63,143,0.56,0.44
VS_Z04_CAN,Vesta,Cancer,140,128,268,0.52,0.48
VS_Z05_LEO,Vesta,Leo,118,109,227,0.52,0.48
VS_Z06_VIR,Vesta,Virgo,184,149,333,0.55,0.45
VS_Z07_LIB,Vesta,Libra,72,50,122,0.59,0.41
VS_Z08_SCO,Vesta,Scorpio,42,44,86,0.49,0.51
VS_Z09_SAG,Vesta,Sagittarius,101,131,232,0.44,0.56
VS_Z10_CAP,Vesta,Capricorn,87,115,202,0.43,0.57
VS_Z11_AQU,Vesta,Aquarius,63,58,121,0.52,0.48
VS_Z12_PIS,Vesta,Pisces,87,83,170,0.51,0.49
