MoonPhaseZodSignID,MoonPhase,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
F_01_ARI,Full,Aries,62,49,111,0.56,0.44
F_02_TAU,Full,Taurus,42,49,91,0.46,0.54
F_03_GEM,Full,Gemini,59,58,117,0.5,0.5
F_04_CAN,Full,Cancer,45,43,88,0.51,0.49
F_05_LEO,Full,Leo,71,56,127,0.56,0.44
F_06_VIR,Full,Virgo,27,35,62,0.44,0.56
F_07_LIB,Full,Libra,57,47,104,0.55,0.45
F_08_SCO,Full,Scorpio,38,38,76,0.5,0.5
F_09_SAG,Full,Sagittarius,67,51,118,0.57,0.43
F_10_CAP,Full,Capricorn,35,39,74,0.47,0.53
F_11_AQU,Full,Aquarius,46,55,101,0.46,0.54
F_12_PIS,Full,Pisces,40,50,90,0.44,0.56
N_01_ARI,New,Aries,45,29,74,0.61,0.39
N_02_TAU,New,Taurus,66,47,113,0.58,0.42
N_03_GEM,New,Gemini,40,35,75,0.53,0.47
N_04_CAN,New,Cancer,51,51,102,0.5,0.5
N_05_LEO,New,Leo,41,50,91,0.45,0.55
N_06_VIR,New,Virgo,52,52,104,0.5,0.5
N_07_LIB,New,Libra,56,66,122,0.46,0.54
N_08_SCO,New,Scorpio,55,62,117,0.47,0.53
N_09_SAG,New,Sagittarius,45,46,91,0.49,0.51
N_10_CAP,New,Capricorn,62,70,132,0.47,0.53
N_11_AQU,New,Aquarius,46,28,74,0.62,0.38
N_12_PIS,New,Pisces,33,38,71,0.46,0.54
