PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
VE_CE_a90,1,57,-0.001,0.024,-0.004,-0.003,0.013,-0.063,0.081,0.144,0.73,2.588,0.003
JN_PA_a144,1,63,-0.005,0.023,-0.001,-0.004,0.018,-0.075,0.055,0.13,-0.657,0.855,0.003
ME_UR_a45,1,68,0.017,0.048,0.005,0.007,0.02,-0.03,0.218,0.247,2.948,8.925,0.006
VE_PA_a120,1,71,-0.007,0.036,-0.003,-0.004,0.019,-0.141,0.074,0.215,-1.536,4.873,0.004
SU_CE_a60,1,65,0.002,0.029,0,0,0.019,-0.069,0.132,0.2,1.151,4.771,0.004
VE_PH_a120,1,65,-0.004,0.05,-0.003,-0.005,0.031,-0.166,0.147,0.313,0.122,2.314,0.006
JU_CH_a144,1,101,0,0.03,-0.001,-0.002,0.016,-0.075,0.134,0.209,1.195,4.704,0.003
PA_SN_a103,1,86,0.001,0.037,0,0,0.026,-0.075,0.134,0.209,0.723,1.866,0.004
SN_PH_a103,1,132,0.007,0.057,0.002,0.003,0.018,-0.301,0.216,0.518,0.017,8.565,0.005
SU_PH_a90,1,53,0,0.033,0,0.001,0.024,-0.114,0.086,0.2,-0.442,2.258,0.004
VE_SA_a144,1,46,-0.001,0.032,0.003,-0.001,0.025,-0.071,0.07,0.141,-0.079,-0.129,0.005
ME_SA_a90,1,57,0.004,0.03,0.002,0.002,0.024,-0.06,0.081,0.142,0.511,-0.039,0.004
SU_PA_a90,1,58,0.001,0.035,0.002,0.002,0.019,-0.113,0.069,0.181,-0.51,1.43,0.005
ME_NN_a144,1,36,-0.001,0.032,-0.003,-0.001,0.022,-0.113,0.067,0.18,-0.592,2.645,0.005
ME_SN_a36,1,36,-0.001,0.032,-0.003,-0.001,0.022,-0.113,0.067,0.18,-0.592,2.645,0.005
MA_SA_a135,1,43,0.001,0.069,0.004,-0.004,0.025,-0.128,0.344,0.473,2.698,12.168,0.01
MA_JN_a103,1,44,-0.008,0.029,-0.004,-0.008,0.014,-0.086,0.067,0.153,-0.192,1.226,0.004
PA_JU_a135,1,83,-0.002,0.017,-0.001,-0.001,0.011,-0.075,0.032,0.107,-1.873,5.526,0.002
VS_NN_a135,1,61,-0.005,0.031,-0.002,-0.004,0.024,-0.084,0.064,0.149,-0.223,0.204,0.004
VS_SN_a45,1,61,-0.005,0.031,-0.002,-0.004,0.024,-0.084,0.064,0.149,-0.223,0.204,0.004
VS_PH_a60,1,25,0.012,0.053,0.007,0.007,0.03,-0.075,0.158,0.234,1.132,1.446,0.011
ME_NE_a0,1,38,0.016,0.047,0.007,0.011,0.022,-0.075,0.218,0.293,2.128,7.542,0.008
ME_PH_a72,1,54,0.003,0.031,0.005,0.006,0.02,-0.114,0.068,0.182,-1.382,3.577,0.004
ME_PA_a72,1,83,0.001,0.039,0.001,0.001,0.019,-0.087,0.181,0.268,0.827,4.639,0.004
ME_UR_a36,1,58,0.002,0.036,0.005,0.002,0.037,-0.075,0.082,0.157,-0.061,-0.77,0.005
VS_PA_a60,1,13,-0.014,0.029,-0.008,-0.012,0.021,-0.075,0.018,0.094,-0.98,-0.431,0.008
ME_CE_a45,1,99,-0.005,0.043,-0.001,-0.002,0.03,-0.203,0.114,0.317,-1.303,4.782,0.004
ME_NN_a150,1,35,-0.006,0.044,-0.004,-0.006,0.018,-0.118,0.158,0.277,0.906,4.521,0.007
