
DAILY PLANET SPEED PHASE:

          Date speed  Planet SpeedPhase buy sell daysN BuyDays% SellDays%
29: 2021-02-04    0.96   0.55   1.40         0      23        NA       24 Mercury   Pluto  SemiSextile  16   17    33     0.48      0.52
30: 2021-02-04    0.59   0.55   0.63         0      23        NA       24  Saturn  Pholus  SemiSextile  21   28    49     0.43      0.57
31: 2021-02-04    1.17   0.66   1.68         0      23        NA       24     Sun   NNode        Trine  12   17    29     0.41      0.59
32: 2021-02-04    1.17   0.66   1.68         0      23        NA       24     Sun   SNode      Sextile  12   17    29     0.41      0.59
33: 2021-02-04    0.90   0.68   1.12         0      23        NA       24   Vesta  Pallas     Quincunx  39   35    74     0.53      0.47
34: 2021-02-04    0.86   0.84   0.87         0      23        NA       24  Chiron  Uranus  SemiSextile 514  562  1076     0.48      0.52
35: 2021-02-04    1.45   0.89   2.00         1      23        NA       23   Venus  Pholus  SemiSextile  15   13    28     0.54      0.46
36: 2021-02-04    0.99   0.91   1.06         0      23        NA       24   Vesta Neptune   Opposition  17   12    29     0.59      0.41
37: 2021-02-04    0.96   0.95   0.97         0      23        NA       24  Chiron  Pholus       Square 245  252   497     0.49      0.51
38: 2021-02-04    1.47   0.95   1.99         0      22        NA       23     Sun   Vesta   BiQuintile   6   11    17     0.35      0.65
39: 2021-02-04    1.48   0.96   2.00         0      19        NA       20   Venus   NNode SesquiSquare  12   13    25     0.48      0.52
40: 2021-02-04    1.48   0.96   2.00         0      19        NA       20   Venus   SNode   SemiSquare  12   13    25     0.48      0.52
41: 2021-02-04    1.02   0.98   1.07         0      23        NA       24   NNode  Chiron     Quintile  19   14    33     0.58      0.42
          Date meanOrb minOrb maxOrb startHour endHour exactHour effHours PlanetX PlanetY       Aspect buy sell daysN BuyDays% SellDays%
