PlanetTriplicity,Planet,Triplicity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,131,183,314,0.42,0.58
CE_FIX,Ceres,Fixed,270,288,558,0.48,0.52
CE_MUT,Ceres,Mutable,334,351,685,0.49,0.51
CH_CAR,Chiron,Cardinal,423,455,878,0.48,0.52
CH_MUT,Chiron,Mutable,312,367,679,0.46,0.54
JN_CAR,Juno,Cardinal,387,375,762,0.51,0.49
JN_FIX,Juno,Fixed,187,237,424,0.44,0.56
JN_MUT,Juno,Mutable,161,210,371,0.43,0.57
JU_CAR,Jupiter,Cardinal,352,371,723,0.49,0.51
JU_FIX,Jupiter,Fixed,211,234,445,0.47,0.53
JU_MUT,Jupiter,Mutable,172,217,389,0.44,0.56
MA_CAR,Mars,Cardinal,301,299,600,0.5,0.5
MA_FIX,Mars,Fixed,236,310,546,0.43,0.57
MA_MUT,Mars,Mutable,198,213,411,0.48,0.52
ME_CAR,Mercury,Cardinal,240,275,515,0.47,0.53
ME_FIX,Mercury,Fixed,237,298,535,0.44,0.56
ME_MUT,Mercury,Mutable,258,249,507,0.51,0.49
MO_CAR,Moon,Cardinal,244,280,524,0.47,0.53
MO_FIX,Moon,Fixed,251,267,518,0.48,0.52
MO_MUT,Moon,Mutable,240,275,515,0.47,0.53
NE_MUT,Neptune,Mutable,735,822,1557,0.47,0.53
NN_CAR,NNode,Cardinal,268,298,566,0.47,0.53
NN_FIX,NNode,Fixed,268,298,566,0.47,0.53
NN_MUT,NNode,Mutable,199,226,425,0.47,0.53
PA_CAR,Pallas,Cardinal,388,398,786,0.49,0.51
PA_FIX,Pallas,Fixed,217,276,493,0.44,0.56
PA_MUT,Pallas,Mutable,130,148,278,0.47,0.53
PH_CAR,Pholus,Cardinal,419,428,847,0.49,0.51
PH_MUT,Pholus,Mutable,316,394,710,0.45,0.55
PL_CAR,Pluto,Cardinal,735,822,1557,0.47,0.53
SA_CAR,Saturn,Cardinal,457,532,989,0.46,0.54
SA_FIX,Saturn,Fixed,81,72,153,0.53,0.47
SA_MUT,Saturn,Mutable,197,218,415,0.47,0.53
SN_CAR,SNode,Cardinal,268,298,566,0.47,0.53
SN_FIX,SNode,Fixed,268,298,566,0.47,0.53
SN_MUT,SNode,Mutable,199,226,425,0.47,0.53
SU_CAR,Sun,Cardinal,250,262,512,0.49,0.51
SU_FIX,Sun,Fixed,240,288,528,0.45,0.55
SU_MUT,Sun,Mutable,245,272,517,0.47,0.53
UR_CAR,Uranus,Cardinal,318,363,681,0.47,0.53
UR_FIX,Uranus,Fixed,417,459,876,0.48,0.52
VE_CAR,Venus,Cardinal,243,299,542,0.45,0.55
VE_FIX,Venus,Fixed,236,238,474,0.5,0.5
VE_MUT,Venus,Mutable,256,285,541,0.47,0.53
VS_CAR,Vesta,Cardinal,217,236,453,0.48,0.52
VS_FIX,Vesta,Fixed,294,330,624,0.47,0.53
VS_MUT,Vesta,Mutable,224,256,480,0.47,0.53
