PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
ME_CH_a180,1,22,0.032,0.069,0.03,0.032,0.012,-0.126,0.238,0.364,0.366,2.892,0.015
ME_PA_a135,1,19,0.018,0.064,0.015,0.011,0.032,-0.082,0.238,0.32,1.814,4.751,0.015
VS_NN_a45,1,66,-0.012,0.051,-0.007,-0.011,0.024,-0.166,0.238,0.404,0.989,7.809,0.006
VS_SN_a135,1,66,-0.012,0.051,-0.007,-0.011,0.024,-0.166,0.238,0.404,0.989,7.809,0.006
SU_PA_a144,1,30,0.002,0.055,-0.01,-0.004,0.031,-0.082,0.238,0.32,2.478,8.606,0.01
VE_NE_a180,1,18,0.013,0.068,0.006,0.005,0.041,-0.082,0.238,0.32,1.769,3.905,0.016
VE_UR_a135,1,38,0.003,0.052,0,-0.001,0.033,-0.082,0.238,0.32,2.193,8.191,0.008
VE_JU_a45,1,43,-0.002,0.054,-0.002,-0.004,0.037,-0.105,0.238,0.343,1.727,7.122,0.008
VE_PA_a120,1,29,-0.009,0.055,-0.015,-0.006,0.044,-0.173,0.084,0.257,-0.489,0.912,0.01
VE_MA_a0,1,21,-0.012,0.024,-0.009,-0.013,0.022,-0.049,0.053,0.102,0.644,0.385,0.005
ME_PA_a144,1,49,0.001,0.038,-0.005,0,0.029,-0.083,0.1,0.183,0.335,0.397,0.005
SU_PA_a150,1,30,0.007,0.031,0.006,0.005,0.03,-0.048,0.085,0.134,0.407,-0.076,0.006
VS_SA_a72,1,28,0.008,0.034,0.006,0.005,0.033,-0.052,0.102,0.153,0.711,0.474,0.006
MA_UR_a144,1,33,0.008,0.054,-0.006,0.001,0.024,-0.096,0.207,0.303,1.633,4.092,0.009
ME_PA_a150,1,47,0.012,0.026,0.013,0.012,0.024,-0.057,0.079,0.136,-0.029,0.053,0.004
VE_UR_a144,1,38,-0.005,0.038,-0.015,-0.005,0.038,-0.105,0.063,0.167,-0.138,-0.376,0.006
CE_NE_a144,1,60,0.002,0.031,-0.002,0.001,0.027,-0.061,0.093,0.154,0.594,0.439,0.004
VE_JU_a36,1,67,-0.004,0.053,-0.002,-0.005,0.035,-0.136,0.143,0.279,0.201,0.417,0.006
JU_CH_a144,1,16,-0.009,0.023,-0.012,-0.008,0.024,-0.052,0.025,0.076,-0.251,-0.971,0.006
VE_CH_a180,1,19,-0.01,0.031,-0.006,-0.01,0.024,-0.074,0.044,0.118,-0.175,-0.691,0.007
MA_JU_a36,1,32,0.002,0.036,0.004,0.004,0.03,-0.084,0.068,0.152,-0.225,-0.113,0.006
VE_PA_a135,1,43,0.012,0.04,0.007,0.011,0.034,-0.068,0.121,0.189,0.447,0.229,0.006
VE_UR_a150,1,37,-0.002,0.032,-0.004,-0.002,0.038,-0.074,0.058,0.132,-0.289,-0.535,0.005
MA_PA_a135,1,23,0.015,0.036,0.017,0.014,0.045,-0.056,0.093,0.149,0.166,-0.686,0.008
MA_CH_a180,1,19,0.005,0.02,0.009,0.004,0.018,-0.027,0.051,0.078,0.321,-0.45,0.005
VS_PH_a72,1,25,0.002,0.021,-0.002,0.001,0.02,-0.034,0.052,0.086,0.41,-0.466,0.004
VE_JU_a30,1,46,0.016,0.045,0.008,0.012,0.031,-0.068,0.144,0.212,1.053,1.44,0.007
ME_UR_a180,1,27,-0.001,0.036,0.002,-0.002,0.032,-0.064,0.087,0.152,0.301,-0.431,0.007
MA_UR_a150,1,32,-0.002,0.044,0.006,0.004,0.028,-0.155,0.06,0.215,-1.716,3.655,0.008
JU_NN_a72,1,15,-0.002,0.029,-0.011,-0.003,0.023,-0.047,0.064,0.111,0.661,-0.403,0.007
VE_PA_a144,1,29,-0.009,0.042,-0.009,-0.005,0.033,-0.126,0.069,0.196,-0.943,1.292,0.008
CE_PA_a90,1,63,0.007,0.038,0.007,0.009,0.034,-0.105,0.102,0.207,-0.497,0.765,0.005
ME_JU_a0,1,30,0.021,0.052,0.01,0.012,0.035,-0.062,0.188,0.25,1.54,2.42,0.01
CE_UR_a103,1,60,0.009,0.049,-0.002,0.003,0.037,-0.081,0.167,0.248,1.199,1.603,0.006
SU_UR_a180,1,20,-0.002,0.024,-0.009,-0.004,0.02,-0.047,0.048,0.095,0.492,-0.318,0.005
VS_PL_a90,1,25,-0.011,0.041,-0.013,-0.005,0.033,-0.126,0.04,0.166,-1.256,1.415,0.008
CE_CH_a135,1,53,-0.005,0.057,-0.013,-0.008,0.052,-0.133,0.167,0.301,0.599,0.771,0.008
VE_PA_a150,1,29,-0.002,0.031,0.002,-0.002,0.024,-0.057,0.056,0.113,-0.127,-0.82,0.006
ME_PA_a180,1,10,-0.003,0.028,-0.011,-0.004,0.018,-0.047,0.048,0.095,0.363,-1.044,0.009
MA_PA_a144,1,155,-0.004,0.036,-0.003,-0.004,0.032,-0.098,0.12,0.218,0.253,0.941,0.003
SU_JU_a0,1,21,0.005,0.046,0.001,0.002,0.035,-0.069,0.117,0.186,0.539,-0.08,0.01
MA_JU_a30,1,33,-0.001,0.056,-0.002,-0.005,0.04,-0.089,0.207,0.296,1.265,3.401,0.01
CE_NE_a150,1,54,-0.001,0.05,-0.004,-0.003,0.043,-0.108,0.167,0.275,0.863,2.141,0.007
JU_PL_a72,1,21,0.015,0.032,0.018,0.015,0.036,-0.037,0.065,0.102,-0.044,-1.297,0.007
VS_NN_a60,1,27,-0.002,0.026,-0.005,-0.004,0.018,-0.044,0.064,0.108,0.701,-0.093,0.005
VS_SN_a120,1,27,-0.002,0.026,-0.005,-0.004,0.018,-0.044,0.064,0.108,0.701,-0.093,0.005
JN_NN_a144,1,30,-0.002,0.032,-0.004,-0.004,0.03,-0.057,0.069,0.125,0.437,-0.455,0.006
JN_SN_a36,1,30,-0.002,0.032,-0.004,-0.004,0.03,-0.057,0.069,0.125,0.437,-0.455,0.006
SU_PA_a180,1,16,0.005,0.029,0.005,0.003,0.036,-0.034,0.064,0.098,0.423,-0.944,0.007
MA_PA_a150,1,75,-0.007,0.05,-0.008,-0.008,0.044,-0.133,0.129,0.263,0.184,0.574,0.006
VE_VS_a0,1,41,0.006,0.039,0.003,0.005,0.034,-0.077,0.121,0.198,0.399,0.568,0.006
VS_SA_a60,1,21,0.01,0.023,0.013,0.01,0.029,-0.037,0.046,0.083,-0.109,-1.053,0.005
JU_SN_a103,1,15,0.02,0.034,0.033,0.021,0.035,-0.04,0.065,0.105,-0.288,-1.531,0.009
VE_UR_a180,1,36,-0.002,0.042,-0.008,-0.003,0.033,-0.11,0.117,0.227,0.339,1.159,0.007
VS_UR_a180,1,16,0.021,0.023,0.024,0.021,0.029,-0.022,0.058,0.08,-0.231,-1.104,0.006
VS_PH_a60,1,25,0.003,0.033,-0.003,0.003,0.031,-0.049,0.065,0.114,0.155,-1.087,0.007
VE_PA_a180,1,14,0.004,0.029,0.001,0.006,0.029,-0.06,0.046,0.106,-0.401,-0.561,0.008
CE_PA_a103,1,16,0.01,0.05,0.028,0.015,0.044,-0.108,0.065,0.173,-0.796,-0.498,0.012
VE_JU_a0,1,18,0.022,0.066,-0.001,0.02,0.049,-0.074,0.154,0.228,0.618,-0.78,0.016
