MoonPhaseZodSignID,MoonPhase,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
F_Z01_ARI,Full,Aries,31,37,68,0.46,0.54
F_Z02_TAU,Full,Taurus,25,34,59,0.42,0.58
F_Z03_GEM,Full,Gemini,37,50,87,0.43,0.57
F_Z04_CAN,Full,Cancer,29,28,57,0.51,0.49
F_Z05_LEO,Full,Leo,37,51,88,0.42,0.58
F_Z06_VIR,Full,Virgo,28,33,61,0.46,0.54
F_Z07_LIB,Full,Libra,50,40,90,0.56,0.44
F_Z08_SCO,Full,Scorpio,32,29,61,0.52,0.48
F_Z09_SAG,Full,Sagittarius,47,45,92,0.51,0.49
F_Z10_CAP,Full,Capricorn,26,34,60,0.43,0.57
F_Z11_AQU,Full,Aquarius,22,38,60,0.37,0.63
F_Z12_PIS,Full,Pisces,24,33,57,0.42,0.58
N_Z01_ARI,New,Aries,36,22,58,0.62,0.38
N_Z02_TAU,New,Taurus,54,59,113,0.48,0.52
N_Z03_GEM,New,Gemini,21,22,43,0.49,0.51
N_Z04_CAN,New,Cancer,36,35,71,0.51,0.49
N_Z05_LEO,New,Leo,26,34,60,0.43,0.57
N_Z06_VIR,New,Virgo,31,28,59,0.53,0.47
N_Z07_LIB,New,Libra,33,43,76,0.43,0.57
N_Z08_SCO,New,Scorpio,36,38,74,0.49,0.51
N_Z09_SAG,New,Sagittarius,41,35,76,0.54,0.46
N_Z10_CAP,New,Capricorn,34,42,76,0.45,0.55
N_Z11_AQU,New,Aquarius,39,36,75,0.52,0.48
N_Z12_PIS,New,Pisces,33,39,72,0.46,0.54
