PlanetElement,Planet,Element,buy,sell,daysN,BuyDays%,SellDays%
CE_AIR,Ceres,Air,130,134,264,0.49,0.51
CE_EAR,Ceres,Earth,115,115,230,0.5,0.5
CE_FIR,Ceres,Fire,291,377,668,0.44,0.56
CE_WAT,Ceres,Water,185,195,380,0.49,0.51
CH_FIR,Chiron,Fire,415,448,863,0.48,0.52
CH_WAT,Chiron,Water,306,373,679,0.45,0.55
JN_AIR,Juno,Air,239,244,483,0.49,0.51
JN_EAR,Juno,Earth,280,309,589,0.48,0.52
JN_FIR,Juno,Fire,91,158,249,0.37,0.63
JN_WAT,Juno,Water,111,110,221,0.5,0.5
JU_AIR,Juno,Air,165,211,376,0.44,0.56
JU_EAR,Juno,Earth,197,186,383,0.51,0.49
JU_FIR,Juno,Fire,174,215,389,0.45,0.55
JU_WAT,Juno,Water,185,209,394,0.47,0.53
MA_AIR,Mars,Air,200,222,422,0.47,0.53
MA_EAR,Mars,Earth,153,184,337,0.45,0.55
MA_FIR,Mars,Fire,214,251,465,0.46,0.54
MA_WAT,Mars,Water,154,164,318,0.48,0.52
ME_AIR,Mercury,Air,117,127,244,0.48,0.52
ME_EAR,Mercury,Earth,151,174,325,0.46,0.54
ME_FIR,Mercury,Fire,232,259,491,0.47,0.53
ME_WAT,Mercury,Water,221,261,482,0.46,0.54
MO_AIR,Moon,Air,163,219,382,0.43,0.57
MO_EAR,Moon,Earth,196,190,386,0.51,0.49
MO_FIR,Moon,Fire,180,207,387,0.47,0.53
MO_WAT,Moon,Water,182,205,387,0.47,0.53
NE_WAT,Neptune,Water,721,821,1542,0.47,0.53
NN_AIR,North Node,Air,115,115,230,0.5,0.5
NN_EAR,North Node,Earth,67,112,179,0.37,0.63
NN_FIR,North Node,Fire,269,297,566,0.48,0.52
NN_WAT,North Node,Water,270,297,567,0.48,0.52
PA_AIR,Pallas,Air,218,262,480,0.45,0.55
PA_EAR,Pallas,Earth,265,299,564,0.47,0.53
PA_FIR,Pallas,Fire,149,131,280,0.53,0.47
PA_WAT,Pallas,Water,89,129,218,0.41,0.59
PH_EAR,Pholus,Earth,403,429,832,0.48,0.52
PH_FIR,Pholus,Fire,318,392,710,0.45,0.55
PL_EAR,Pluto,Earth,721,821,1542,0.47,0.53
SA_AIR,Saturn,Air,70,65,135,0.52,0.48
SA_EAR,Saturn,Earth,461,531,992,0.46,0.54
SA_FIR,Saturn,Fire,190,225,415,0.46,0.54
SN_AIR,South Node,Air,269,297,566,0.48,0.52
SN_EAR,South Node,Earth,270,297,567,0.48,0.52
SN_FIR,South Node,Fire,115,115,230,0.5,0.5
SN_WAT,South Node,Water,67,112,179,0.37,0.63
SU_AIR,Sun,Air,173,192,365,0.47,0.53
SU_EAR,Sun,Earth,191,204,395,0.48,0.52
SU_FIR,Sun,Fire,192,203,395,0.49,0.51
SU_WAT,Sun,Water,165,222,387,0.43,0.57
UR_EAR,Uranus,Earth,417,444,861,0.48,0.52
UR_FIR,Uranus,Fire,304,377,681,0.45,0.55
VE_AIR,Venus,Air,217,222,439,0.49,0.51
VE_EAR,Venus,Earth,155,164,319,0.49,0.51
VE_FIR,Venus,Fire,161,226,387,0.42,0.58
VE_WAT,Venus,Water,188,209,397,0.47,0.53
VS_AIR,Vesta,Air,96,99,195,0.49,0.51
VS_EAR,Vesta,Earth,281,304,585,0.48,0.52
VS_FIR,Vesta,Fire,197,263,460,0.43,0.57
VS_WAT,Vesta,Water,147,155,302,0.49,0.51
