MoonPhaseZodSignID,MoonPhase,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
F_10_CAP,Full,Capricorn,262,191,453,0.58,0.42
F_11_AQU,Full,Aquarius,228,212,440,0.52,0.48
F_12_PIS,Full,Pisces,195,169,364,0.54,0.46
F_1_ARI,Full,Aries,206,168,374,0.55,0.45
F_2_TAU,Full,Taurus,254,178,432,0.59,0.41
F_3_GEM,Full,Gemini,235,193,428,0.55,0.45
F_4_CAN,Full,Cancer,220,169,389,0.57,0.43
F_5_LEO,Full,Leo,255,180,435,0.59,0.41
F_6_VIR,Full,Virgo,277,211,488,0.57,0.43
F_7_LIB,Full,Libra,244,170,414,0.59,0.41
F_8_SCO,Full,Scorpio,273,200,473,0.58,0.42
F_9_SAG,Full,Sagittarius,251,222,473,0.53,0.47
N_10_CAP,New,Capricorn,261,179,440,0.59,0.41
N_11_AQU,New,Aquarius,252,166,418,0.6,0.4
N_12_PIS,New,Pisces,174,171,345,0.5,0.5
N_1_ARI,New,Aries,194,161,355,0.55,0.45
N_2_TAU,New,Taurus,276,196,472,0.58,0.42
N_3_GEM,New,Gemini,248,222,470,0.53,0.47
N_4_CAN,New,Cancer,254,201,455,0.56,0.44
N_5_LEO,New,Leo,253,195,448,0.56,0.44
N_6_VIR,New,Virgo,269,222,491,0.55,0.45
N_7_LIB,New,Libra,263,216,479,0.55,0.45
N_8_SCO,New,Scorpio,243,162,405,0.6,0.4
N_9_SAG,New,Sagittarius,225,196,421,0.53,0.47
