PlanetZodSign,Planet,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_Z01_ARI,Ceres,Aries,616,460,1076,0.57,0.43
CE_Z02_TAU,Ceres,Taurus,583,473,1056,0.55,0.45
CE_Z03_GEM,Ceres,Gemini,577,442,1019,0.57,0.43
CE_Z04_CAN,Ceres,Cancer,542,412,954,0.57,0.43
CE_Z05_LEO,Ceres,Leo,537,429,966,0.56,0.44
CE_Z06_VIR,Ceres,Virgo,524,386,910,0.58,0.42
CE_Z07_LIB,Ceres,Libra,525,393,918,0.57,0.43
CE_Z08_SCO,Ceres,Scorpio,496,442,938,0.53,0.47
CE_Z09_SAG,Ceres,Sagittarius,695,515,1210,0.57,0.43
CE_Z10_CAP,Ceres,Capricorn,643,496,1139,0.56,0.44
CE_Z11_AQU,Ceres,Aquarius,630,529,1159,0.54,0.46
CE_Z12_PIS,Ceres,Pisces,721,548,1269,0.57,0.43
CH_Z01_ARI,Chiron,Aries,1149,918,2067,0.56,0.44
CH_Z02_TAU,Chiron,Taurus,1057,706,1763,0.6,0.4
CH_Z03_GEM,Chiron,Gemini,679,492,1171,0.58,0.42
CH_Z04_CAN,Chiron,Cancer,446,332,778,0.57,0.43
CH_Z05_LEO,Chiron,Leo,308,231,539,0.57,0.43
CH_Z06_VIR,Chiron,Virgo,297,211,508,0.58,0.42
CH_Z07_LIB,Chiron,Libra,254,181,435,0.58,0.42
CH_Z08_SCO,Chiron,Scorpio,269,216,485,0.55,0.45
CH_Z09_SAG,Chiron,Sagittarius,338,318,656,0.52,0.48
CH_Z10_CAP,Chiron,Capricorn,458,434,892,0.51,0.49
CH_Z11_AQU,Chiron,Aquarius,747,604,1351,0.55,0.45
CH_Z12_PIS,Chiron,Pisces,1087,882,1969,0.55,0.45
JN_Z01_ARI,Juno,Aries,393,289,682,0.58,0.42
JN_Z02_TAU,Juno,Taurus,321,261,582,0.55,0.45
JN_Z03_GEM,Juno,Gemini,344,262,606,0.57,0.43
JN_Z04_CAN,Juno,Cancer,407,328,735,0.55,0.45
JN_Z05_LEO,Juno,Leo,492,390,882,0.56,0.44
JN_Z06_VIR,Juno,Virgo,668,490,1158,0.58,0.42
JN_Z07_LIB,Juno,Libra,921,690,1611,0.57,0.43
JN_Z08_SCO,Juno,Scorpio,931,733,1664,0.56,0.44
JN_Z09_SAG,Juno,Sagittarius,852,720,1572,0.54,0.46
JN_Z10_CAP,Juno,Capricorn,741,556,1297,0.57,0.43
JN_Z11_AQU,Juno,Aquarius,592,454,1046,0.57,0.43
JN_Z12_PIS,Juno,Pisces,427,352,779,0.55,0.45
JU_Z01_ARI,Jupiter,Aries,499,349,848,0.59,0.41
JU_Z02_TAU,Jupiter,Taurus,445,372,817,0.54,0.46
JU_Z03_GEM,Jupiter,Gemini,501,412,913,0.55,0.45
JU_Z04_CAN,Jupiter,Cancer,582,441,1023,0.57,0.43
JU_Z05_LEO,Jupiter,Leo,584,460,1044,0.56,0.44
JU_Z06_VIR,Jupiter,Virgo,605,485,1090,0.56,0.44
JU_Z07_LIB,Jupiter,Libra,655,442,1097,0.6,0.4
JU_Z08_SCO,Jupiter,Scorpio,613,544,1157,0.53,0.47
JU_Z09_SAG,Jupiter,Sagittarius,755,544,1299,0.58,0.42
JU_Z10_CAP,Jupiter,Capricorn,700,579,1279,0.55,0.45
JU_Z11_AQU,Jupiter,Aquarius,601,481,1082,0.56,0.44
JU_Z12_PIS,Jupiter,Pisces,549,416,965,0.57,0.43
MA_Z01_ARI,Mars,Aries,601,413,1014,0.59,0.41
MA_Z02_TAU,Mars,Taurus,571,433,1004,0.57,0.43
MA_Z03_GEM,Mars,Gemini,588,467,1055,0.56,0.44
MA_Z04_CAN,Mars,Cancer,644,499,1143,0.56,0.44
MA_Z05_LEO,Mars,Leo,675,557,1232,0.55,0.45
MA_Z06_VIR,Mars,Virgo,681,539,1220,0.56,0.44
MA_Z07_LIB,Mars,Libra,671,533,1204,0.56,0.44
MA_Z08_SCO,Mars,Scorpio,581,486,1067,0.54,0.46
MA_Z09_SAG,Mars,Sagittarius,540,424,964,0.56,0.44
MA_Z10_CAP,Mars,Capricorn,520,392,912,0.57,0.43
MA_Z11_AQU,Mars,Aquarius,515,424,939,0.55,0.45
MA_Z12_PIS,Mars,Pisces,502,358,860,0.58,0.42
ME_Z01_ARI,Mercury,Aries,583,452,1035,0.56,0.44
ME_Z02_TAU,Mercury,Taurus,553,385,938,0.59,0.41
ME_Z03_GEM,Mercury,Gemini,478,436,914,0.52,0.48
ME_Z04_CAN,Mercury,Cancer,572,430,1002,0.57,0.43
ME_Z05_LEO,Mercury,Leo,589,456,1045,0.56,0.44
ME_Z06_VIR,Mercury,Virgo,572,491,1063,0.54,0.46
ME_Z07_LIB,Mercury,Libra,598,501,1099,0.54,0.46
ME_Z08_SCO,Mercury,Scorpio,648,537,1185,0.55,0.45
ME_Z09_SAG,Mercury,Sagittarius,666,465,1131,0.59,0.41
ME_Z10_CAP,Mercury,Capricorn,618,441,1059,0.58,0.42
ME_Z11_AQU,Mercury,Aquarius,631,455,1086,0.58,0.42
ME_Z12_PIS,Mercury,Pisces,581,476,1057,0.55,0.45
MO_Z01_ARI,Moon,Aries,582,475,1057,0.55,0.45
MO_Z02_TAU,Moon,Taurus,593,459,1052,0.56,0.44
MO_Z03_GEM,Moon,Gemini,585,463,1048,0.56,0.44
MO_Z04_CAN,Moon,Cancer,593,454,1047,0.57,0.43
MO_Z05_LEO,Moon,Leo,588,464,1052,0.56,0.44
MO_Z06_VIR,Moon,Virgo,620,426,1046,0.59,0.41
MO_Z07_LIB,Moon,Libra,587,452,1039,0.56,0.44
MO_Z08_SCO,Moon,Scorpio,580,462,1042,0.56,0.44
MO_Z09_SAG,Moon,Sagittarius,563,484,1047,0.54,0.46
MO_Z10_CAP,Moon,Capricorn,599,466,1065,0.56,0.44
MO_Z11_AQU,Moon,Aquarius,606,454,1060,0.57,0.43
MO_Z12_PIS,Moon,Pisces,593,466,1059,0.56,0.44
NE_Z09_SAG,Neptune,Sagittarius,1928,1448,3376,0.57,0.43
NE_Z10_CAP,Neptune,Capricorn,2026,1482,3508,0.58,0.42
NE_Z11_AQU,Neptune,Aquarius,1809,1565,3374,0.54,0.46
NE_Z12_PIS,Neptune,Pisces,1326,1030,2356,0.56,0.44
NN_Z01_ARI,NNode,Aries,434,350,784,0.55,0.45
NN_Z02_TAU,NNode,Taurus,445,336,781,0.57,0.43
NN_Z03_GEM,NNode,Gemini,498,459,957,0.52,0.48
NN_Z04_CAN,NNode,Cancer,618,550,1168,0.53,0.47
NN_Z05_LEO,NNode,Leo,696,479,1175,0.59,0.41
NN_Z06_VIR,NNode,Virgo,700,474,1174,0.6,0.4
NN_Z07_LIB,NNode,Libra,674,501,1175,0.57,0.43
NN_Z08_SCO,NNode,Scorpio,663,508,1171,0.57,0.43
NN_Z09_SAG,NNode,Sagittarius,643,535,1178,0.55,0.45
NN_Z10_CAP,NNode,Capricorn,642,530,1172,0.55,0.45
NN_Z11_AQU,NNode,Aquarius,605,492,1097,0.55,0.45
NN_Z12_PIS,NNode,Pisces,471,311,782,0.6,0.4
PA_Z01_ARI,Pallas,Aries,695,541,1236,0.56,0.44
PA_Z02_TAU,Pallas,Taurus,518,371,889,0.58,0.42
PA_Z03_GEM,Pallas,Gemini,359,290,649,0.55,0.45
PA_Z04_CAN,Pallas,Cancer,293,212,505,0.58,0.42
PA_Z05_LEO,Pallas,Leo,400,309,709,0.56,0.44
PA_Z06_VIR,Pallas,Virgo,468,351,819,0.57,0.43
PA_Z07_LIB,Pallas,Libra,552,504,1056,0.52,0.48
PA_Z08_SCO,Pallas,Scorpio,604,453,1057,0.57,0.43
PA_Z09_SAG,Pallas,Sagittarius,623,482,1105,0.56,0.44
PA_Z10_CAP,Pallas,Capricorn,790,614,1404,0.56,0.44
PA_Z11_AQU,Pallas,Aquarius,905,711,1616,0.56,0.44
PA_Z12_PIS,Pallas,Pisces,882,687,1569,0.56,0.44
PH_Z01_ARI,Pholus,Aries,644,517,1161,0.55,0.45
PH_Z02_TAU,Pholus,Taurus,454,283,737,0.62,0.38
PH_Z03_GEM,Pholus,Gemini,323,223,546,0.59,0.41
PH_Z04_CAN,Pholus,Cancer,224,204,428,0.52,0.48
PH_Z05_LEO,Pholus,Leo,283,201,484,0.58,0.42
PH_Z06_VIR,Pholus,Virgo,355,259,614,0.58,0.42
PH_Z07_LIB,Pholus,Libra,484,367,851,0.57,0.43
PH_Z08_SCO,Pholus,Scorpio,788,725,1513,0.52,0.48
PH_Z09_SAG,Pholus,Sagittarius,1791,1471,3262,0.55,0.45
PH_Z10_CAP,Pholus,Capricorn,353,236,589,0.6,0.4
PH_Z11_AQU,Pholus,Aquarius,41,30,71,0.58,0.42
PH_Z12_PIS,Pholus,Pisces,1349,1009,2358,0.57,0.43
PL_Z06_VIR,Pluto,Virgo,137,100,237,0.58,0.42
PL_Z07_LIB,Pluto,Libra,1750,1302,3052,0.57,0.43
