PlanetVedicMansion,Planet,VedicMansion,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_VM01,Ceres,Aswini,288,220,508,0.57,0.43
CE_VM02,Ceres,Bharani,256,228,484,0.53,0.47
CE_VM03,Ceres,Krittica,306,245,551,0.56,0.44
CE_VM04,Ceres,Rohini,331,230,561,0.59,0.41
CE_VM05,Ceres,Mrigashira,256,205,461,0.56,0.44
CE_VM06,Ceres,Ardra,240,187,427,0.56,0.44
CE_VM07,Ceres,Punavasu,301,190,491,0.61,0.39
CE_VM08,Ceres,Pushya,225,187,412,0.55,0.45
CE_VM09,Ceres,Ashlesha,307,229,536,0.57,0.43
CE_VM10,Ceres,Magha,221,174,395,0.56,0.44
CE_VM11,Ceres,PurvaPhalguni,236,171,407,0.58,0.42
CE_VM12,Ceres,UttaraPhalguni,240,184,424,0.57,0.43
CE_VM13,Ceres,Hasta,211,167,378,0.56,0.44
CE_VM14,Ceres,Chitra,251,200,451,0.56,0.44
CE_VM15,Ceres,Swati,225,167,392,0.57,0.43
CE_VM16,Ceres,Vishakha,230,238,468,0.49,0.51
CE_VM17,Ceres,Anuradha,286,229,515,0.56,0.44
CE_VM18,Ceres,Jyeshtha,309,229,538,0.57,0.43
CE_VM19,Ceres,Mula,267,210,477,0.56,0.44
CE_VM20,Ceres,PurvaAshada,274,205,479,0.57,0.43
CE_VM21,Ceres,UttaraAshada,309,222,531,0.58,0.42
CE_VM22,Ceres,Shravana,292,225,517,0.56,0.44
CE_VM23,Ceres,Danishtha,284,251,535,0.53,0.47
CE_VM24,Ceres,Shatabhisha,360,277,637,0.57,0.43
CE_VM25,Ceres,PurvaBhadrapada,263,241,504,0.52,0.48
CE_VM26,Ceres,UttaraBhadrapada,296,221,517,0.57,0.43
CE_VM27,Ceres,Revati,294,213,507,0.58,0.42
CH_VM01,Chiron,Aswini,515,383,898,0.57,0.43
CH_VM02,Chiron,Bharani,489,291,780,0.63,0.37
CH_VM03,Chiron,Krittica,375,317,692,0.54,0.46
CH_VM04,Chiron,Rohini,331,213,544,0.61,0.39
