PlanetQuality,Planet,Quality,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,2392,1820,4212,0.57,0.43
CE_FIX,Ceres,Fixed,2336,1923,4259,0.55,0.45
CE_MUT,Ceres,Mutable,2630,2002,4632,0.57,0.43
CH_CAR,Chiron,Cardinal,2563,2098,4661,0.55,0.45
CH_FIX,Chiron,Fixed,2361,1777,4138,0.57,0.43
CH_MUT,Chiron,Mutable,2434,1870,4304,0.57,0.43
JN_CAR,Juno,Cardinal,2508,1877,4385,0.57,0.43
JN_FIX,Juno,Fixed,2376,1852,4228,0.56,0.44
JN_MUT,Juno,Mutable,2474,2016,4490,0.55,0.45
JU_CAR,Jupiter,Cardinal,2472,1916,4388,0.56,0.44
JU_FIX,Jupiter,Fixed,2373,1896,4269,0.56,0.44
JU_MUT,Jupiter,Mutable,2513,1933,4446,0.57,0.43
MA_CAR,Mars,Cardinal,2498,1897,4395,0.57,0.43
MA_FIX,Mars,Fixed,2423,1957,4380,0.55,0.45
MA_MUT,Mars,Mutable,2437,1891,4328,0.56,0.44
ME_CAR,Mercury,Cardinal,2449,1930,4379,0.56,0.44
ME_FIX,Mercury,Fixed,2484,1911,4395,0.57,0.43
ME_MUT,Mercury,Mutable,2425,1904,4329,0.56,0.44
MO_CAR,Moon,Cardinal,2438,1924,4362,0.56,0.44
MO_FIX,Moon,Fixed,2472,1910,4382,0.56,0.44
MO_MUT,Moon,Mutable,2448,1911,4359,0.56,0.44
NE_CAR,Neptune,Cardinal,2021,1487,3508,0.58,0.42
NE_FIX,Neptune,Fixed,1793,1581,3374,0.53,0.47
NE_MUT,Neptune,Mutable,3544,2677,6221,0.57,0.43
NN_CAR,NNode,Cardinal,2371,1928,4299,0.55,0.45
NN_FIX,NNode,Fixed,2580,1916,4496,0.57,0.43
NN_MUT,NNode,Mutable,2407,1901,4308,0.56,0.44
PA_CAR,Pallas,Cardinal,2423,1926,4349,0.56,0.44
PA_FIX,Pallas,Fixed,2450,1879,4329,0.57,0.43
PA_MUT,Pallas,Mutable,2485,1940,4425,0.56,0.44
PH_CAR,Pholus,Cardinal,1953,1565,3518,0.56,0.44
PH_FIX,Pholus,Fixed,1573,1232,2805,0.56,0.44
PH_MUT,Pholus,Mutable,3832,2948,6780,0.57,0.43
PL_CAR,Pluto,Cardinal,3820,2891,6711,0.57,0.43
PL_FIX,Pluto,Fixed,1657,1246,2903,0.57,0.43
PL_MUT,Pluto,Mutable,1881,1608,3489,0.54,0.46
SA_CAR,Saturn,Cardinal,2452,1906,4358,0.56,0.44
SA_FIX,Saturn,Fixed,2503,1960,4463,0.56,0.44
SA_MUT,Saturn,Mutable,2403,1879,4282,0.56,0.44
SN_CAR,SNode,Cardinal,2371,1928,4299,0.55,0.45
SN_FIX,SNode,Fixed,2580,1916,4496,0.57,0.43
SN_MUT,SNode,Mutable,2407,1901,4308,0.56,0.44
SU_CAR,Sun,Cardinal,2442,1858,4300,0.57,0.43
SU_FIX,Sun,Fixed,2482,1977,4459,0.56,0.44
SU_MUT,Sun,Mutable,2434,1910,4344,0.56,0.44
UR_CAR,Uranus,Cardinal,2706,2100,4806,0.56,0.44
UR_FIX,Uranus,Fixed,2679,1996,4675,0.57,0.43
UR_MUT,Uranus,Mutable,1973,1649,3622,0.54,0.46
VE_CAR,Venus,Cardinal,2480,1941,4421,0.56,0.44
VE_FIX,Venus,Fixed,2470,1922,4392,0.56,0.44
VE_MUT,Venus,Mutable,2408,1882,4290,0.56,0.44
VS_CAR,Vesta,Cardinal,2412,1925,4337,0.56,0.44
VS_FIX,Vesta,Fixed,2399,1877,4276,0.56,0.44
VS_MUT,Vesta,Mutable,2547,1943,4490,0.57,0.43
