PlanetPolarity,Planet,Polarity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_NEG,Ceres,Negative,398,407,805,0.49,0.51
CE_POS,Ceres,Positive,523,521,1044,0.5,0.5
CH_NEG,Chiron,Negative,357,419,776,0.46,0.54
CH_POS,Chiron,Positive,564,509,1073,0.53,0.47
JN_NEG,Juno,Negative,432,472,904,0.48,0.52
JN_POS,Juno,Positive,489,456,945,0.52,0.48
JU_NEG,Jupiter,Negative,448,446,894,0.5,0.5
JU_POS,Jupiter,Positive,473,482,955,0.5,0.5
MA_NEG,Mars,Negative,392,420,812,0.48,0.52
MA_POS,Mars,Positive,529,508,1037,0.51,0.49
ME_NEG,Mercury,Negative,471,472,943,0.5,0.5
ME_POS,Mercury,Positive,450,456,906,0.5,0.5
MO_NEG,Moon,Negative,475,451,926,0.51,0.49
MO_POS,Moon,Positive,446,477,923,0.48,0.52
NE_NEG,Neptune,Negative,921,928,1849,0.5,0.5
NN_NEG,NNode,Negative,414,428,842,0.49,0.51
NN_POS,NNode,Positive,507,500,1007,0.5,0.5
PA_NEG,Pallas,Negative,473,490,963,0.49,0.51
PA_POS,Pallas,Positive,448,438,886,0.51,0.49
PH_NEG,Pholus,Negative,535,507,1042,0.51,0.49
PH_POS,Pholus,Positive,386,421,807,0.48,0.52
PL_NEG,Pluto,Negative,921,928,1849,0.5,0.5
SA_NEG,Saturn,Negative,483,506,989,0.49,0.51
SA_POS,Saturn,Positive,438,422,860,0.51,0.49
SN_NEG,SNode,Negative,414,428,842,0.49,0.51
SN_POS,SNode,Positive,507,500,1007,0.5,0.5
SU_NEG,Sun,Negative,441,473,914,0.48,0.52
SU_POS,Sun,Positive,480,455,935,0.51,0.49
UR_NEG,Uranus,Negative,556,515,1071,0.52,0.48
UR_POS,Uranus,Positive,365,413,778,0.47,0.53
VE_NEG,Venus,Negative,441,434,875,0.5,0.5
VE_POS,Venus,Positive,480,494,974,0.49,0.51
VS_NEG,Vesta,Negative,567,586,1153,0.49,0.51
VS_POS,Vesta,Positive,354,342,696,0.51,0.49
