PlanetQuality,Planet,Quality,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,207,201,408,0.51,0.49
CE_FIX,Ceres,Fixed,334,387,721,0.46,0.54
CE_MUT,Ceres,Mutable,395,363,758,0.52,0.48
CH_CAR,Chiron,Cardinal,579,532,1111,0.52,0.48
CH_MUT,Chiron,Mutable,357,419,776,0.46,0.54
JN_CAR,Juno,Cardinal,404,358,762,0.53,0.47
JN_FIX,Juno,Fixed,241,280,521,0.46,0.54
JN_MUT,Juno,Mutable,291,313,604,0.48,0.52
JU_CAR,Jupiter,Cardinal,382,393,775,0.49,0.51
JU_FIX,Jupiter,Fixed,317,285,602,0.53,0.47
JU_MUT,Jupiter,Mutable,237,273,510,0.46,0.54
MA_CAR,Mars,Cardinal,336,362,698,0.48,0.52
MA_FIX,Mars,Fixed,322,303,625,0.52,0.48
MA_MUT,Mars,Mutable,278,286,564,0.49,0.51
ME_CAR,Mercury,Cardinal,289,305,594,0.49,0.51
ME_FIX,Mercury,Fixed,300,310,610,0.49,0.51
ME_MUT,Mercury,Mutable,347,336,683,0.51,0.49
MO_CAR,Moon,Cardinal,311,321,632,0.49,0.51
MO_FIX,Moon,Fixed,309,320,629,0.49,0.51
MO_MUT,Moon,Mutable,316,310,626,0.5,0.5
NE_MUT,Neptune,Mutable,936,951,1887,0.5,0.5
NN_CAR,NNode,Cardinal,291,275,566,0.51,0.49
NN_FIX,NNode,Fixed,283,283,566,0.5,0.5
NN_MUT,NNode,Mutable,362,393,755,0.48,0.52
PA_CAR,Pallas,Cardinal,407,379,786,0.52,0.48
PA_FIX,Pallas,Fixed,271,329,600,0.45,0.55
PA_MUT,Pallas,Mutable,258,243,501,0.51,0.49
PH_CAR,Pholus,Cardinal,550,530,1080,0.51,0.49
PH_MUT,Pholus,Mutable,386,421,807,0.48,0.52
PL_CAR,Pluto,Cardinal,936,951,1887,0.5,0.5
SA_CAR,Saturn,Cardinal,483,506,989,0.49,0.51
SA_FIX,Saturn,Fixed,204,182,386,0.53,0.47
SA_MUT,Saturn,Mutable,249,263,512,0.49,0.51
SN_CAR,SNode,Cardinal,291,275,566,0.51,0.49
SN_FIX,SNode,Fixed,283,283,566,0.5,0.5
SN_MUT,SNode,Mutable,362,393,755,0.48,0.52
SU_CAR,Sun,Cardinal,290,320,610,0.48,0.52
SU_FIX,Sun,Fixed,326,310,636,0.51,0.49
SU_MUT,Sun,Mutable,320,321,641,0.5,0.5
UR_CAR,Uranus,Cardinal,365,413,778,0.47,0.53
UR_FIX,Uranus,Fixed,571,538,1109,0.51,0.49
VE_CAR,Venus,Cardinal,308,332,640,0.48,0.52
VE_FIX,Venus,Fixed,304,290,594,0.51,0.49
VE_MUT,Venus,Mutable,324,329,653,0.5,0.5
VS_CAR,Vesta,Cardinal,294,308,602,0.49,0.51
VS_FIX,Vesta,Fixed,310,334,644,0.48,0.52
VS_MUT,Vesta,Mutable,332,309,641,0.52,0.48
