PlanetQualityCountRange,Quality,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%,Element
"CAR_(5,6]",Cardinal,"(5,6]",147,131,278,0.53,0.47,CAR
"CAR_(6,8]",Cardinal,"(6,8]",261,298,559,0.47,0.53,CAR
"CAR_(8,14]",Cardinal,"(8,14]",279,254,533,0.52,0.48,CAR
"CAR_[0,5]",Cardinal,"[0,5]",234,245,479,0.49,0.51,CAR
"FIX_(5,6]",Fixed,"(5,6]",105,117,222,0.47,0.53,FIX
"FIX_(6,7]",Fixed,"(6,7]",93,75,168,0.55,0.45,FIX
"FIX_(7,14]",Fixed,"(7,14]",87,79,166,0.52,0.48,FIX
"FIX_[0,5]",Fixed,"[0,5]",636,657,1293,0.49,0.51,FIX
"MUT_(4,6]",Mutable,"(4,6]",314,312,626,0.5,0.5,MUT
"MUT_(6,7]",Mutable,"(6,7]",159,151,310,0.51,0.49,MUT
"MUT_(7,13]",Mutable,"(7,13]",224,246,470,0.48,0.52,MUT
"MUT_[0,4]",Mutable,"[0,4]",224,219,443,0.51,0.49,MUT
