
DAILY PLANET SPEED PHASE:

          Date Speed  Planet SpeedPhase  Buy Sell DaysN BuyDays% SellDays%
28: 2021-02-06    0.97   0.39   1.56         0      23        NA       24   Venus  Pholus  SemiSextile   64   55   119     0.54      0.46
29: 2021-02-06    0.97   0.46   1.48         0      23        NA       24     Sun   NNode        Trine   45   60   105     0.43      0.57
30: 2021-02-06    0.97   0.46   1.48         0      23        NA       24     Sun   SNode      Sextile   45   60   105     0.43      0.57
31: 2021-02-06    0.70   0.56   0.85         0      23        NA       24  Pallas Neptune  SemiSextile   86   89   175     0.49      0.51
32: 2021-02-06    0.66   0.57   0.74         0      23        NA       24   Vesta Neptune   Opposition   38   29    67     0.57      0.43
33: 2021-02-06    0.81   0.68   0.95         0      23        NA       24    Mars    Juno     Quincunx   38   44    82     0.46      0.54
34: 2021-02-06    0.82   0.70   0.95         0      23        NA       24   Vesta  Saturn SesquiSquare  104   84   188     0.55      0.45
35: 2021-02-06    0.77   0.73   0.81         0      23        NA       24  Saturn  Pholus  SemiSextile   80   68   148     0.54      0.46
36: 2021-02-06    1.28   0.74   1.81         0      23        NA       24 Mercury  Chiron   SemiSquare   50   51   101     0.50      0.50
37: 2021-02-06    0.92   0.75   1.08         0      23        NA       24   Ceres   Pluto      Sextile   57   50   107     0.53      0.47
38: 2021-02-06    0.81   0.80   0.83         0      23        NA       24  Chiron  Uranus  SemiSextile 1341 1349  2690     0.50      0.50
39: 2021-02-06    0.99   0.85   1.13         0      23        NA       24  Pallas  Chiron   SemiSquare   42   41    83     0.51      0.49
40: 2021-02-06    0.99   0.98   0.99         0      23        NA       24  Chiron  Pholus       Square  256  279   535     0.48      0.52
41: 2021-02-06    1.03   0.98   1.08         0      23        NA       24  Saturn  Uranus       Square    1    2     3     0.33      0.67
          Date meanOrb minOrb maxOrb startHour endHour exactHour effHours PlanetX PlanetY       Aspect  Buy Sell DaysN BuyDays% SellDays%
