PlanetZodSign,buy,sell,daysN,BuyDays%,SellDays%
CE_AQU,426,409,835,0.51,0.49
CE_ARI,383,378,761,0.5,0.5
CE_CAN,318,293,611,0.52,0.48
CE_CAP,430,395,825,0.52,0.48
CE_GEM,371,298,669,0.55,0.45
CE_LEO,338,286,624,0.54,0.46
CE_LIB,355,321,676,0.53,0.47
CE_PIS,511,421,932,0.55,0.45
CE_SAG,507,392,899,0.56,0.44
CE_SCO,330,310,640,0.52,0.48
CE_TAU,353,333,686,0.51,0.49
CE_VIR,332,295,627,0.53,0.47
CH_AQU,720,631,1351,0.53,0.47
CH_ARI,344,255,599,0.57,0.43
CH_CAN,434,344,778,0.56,0.44
CH_CAP,437,455,892,0.49,0.51
CH_GEM,310,263,573,0.54,0.46
CH_LEO,273,266,539,0.51,0.49
CH_LIB,239,196,435,0.55,0.45
CH_PIS,1039,930,1969,0.53,0.47
CH_SAG,307,349,656,0.47,0.53
CH_SCO,276,209,485,0.57,0.43
CH_VIR,275,233,508,0.54,0.46
EM_AQU,537,440,977,0.55,0.45
EM_ARI,500,437,937,0.53,0.47
EM_CAN,229,216,445,0.51,0.49
EM_CAP,367,372,739,0.5,0.5
EM_GEM,364,380,744,0.49,0.51
EM_LEO,517,422,939,0.55,0.45
EM_LIB,475,362,837,0.57,0.43
EM_PIS,375,311,686,0.55,0.45
EM_SAG,399,359,758,0.53,0.47
EM_SCO,263,249,512,0.51,0.49
EM_TAU,238,253,491,0.48,0.52
EM_VIR,390,330,720,0.54,0.46
ES_AQU,374,319,693,0.54,0.46
ES_ARI,384,358,742,0.52,0.48
ES_CAN,602,520,1122,0.54,0.46
ES_CAP,498,441,939,0.53,0.47
ES_GEM,257,256,513,0.5,0.5
ES_LEO,341,349,690,0.49,0.51
ES_LIB,256,209,465,0.55,0.45
ES_PIS,547,434,981,0.56,0.44
ES_SAG,232,255,487,0.48,0.52
ES_SCO,370,353,723,0.51,0.49
ES_TAU,284,211,495,0.57,0.43
ES_VIR,509,426,935,0.54,0.46
JN_AQU,434,373,807,0.54,0.46
JN_ARI,276,222,498,0.55,0.45
JN_CAN,237,213,450,0.53,0.47
JN_CAP,507,453,960,0.53,0.47
JN_GEM,232,212,444,0.52,0.48
JN_LEO,339,354,693,0.49,0.51
JN_LIB,571,441,1012,0.56,0.44
JN_PIS,269,237,506,0.53,0.47
JN_SAG,546,543,1089,0.5,0.5
JN_SCO,612,557,1169,0.52,0.48
JN_TAU,218,183,401,0.54,0.46
JN_VIR,413,343,756,0.55,0.45
JU_AQU,319,225,544,0.59,0.41
JU_ARI,291,297,588,0.49,0.51
JU_CAN,414,380,794,0.52,0.48
JU_CAP,425,369,794,0.54,0.46
JU_GEM,359,350,709,0.51,0.49
JU_LEO,428,382,810,0.53,0.47
JU_LIB,418,405,823,0.51,0.49
JU_PIS,373,316,689,0.54,0.46
JU_SAG,429,372,801,0.54,0.46
JU_SCO,450,368,818,0.55,0.45
JU_TAU,314,284,598,0.53,0.47
JU_VIR,434,383,817,0.53,0.47
MA_AQU,338,282,620,0.55,0.45
MA_ARI,386,354,740,0.52,0.48
MA_CAN,428,364,792,0.54,0.46
MA_CAP,335,348,683,0.49,0.51
MA_GEM,395,316,711,0.56,0.44
MA_LEO,444,401,845,0.53,0.47
MA_LIB,445,368,813,0.55,0.45
MA_PIS,334,300,634,0.53,0.47
MA_SAG,355,353,708,0.5,0.5
MA_SCO,375,324,699,0.54,0.46
MA_TAU,347,339,686,0.51,0.49
MA_VIR,472,382,854,0.55,0.45
ME_AQU,355,390,745,0.48,0.52
ME_ARI,345,347,692,0.5,0.5
ME_CAN,370,355,725,0.51,0.49
ME_CAP,428,309,737,0.58,0.42
ME_GEM,341,308,649,0.53,0.47
ME_LEO,405,313,718,0.56,0.44
ME_LIB,418,359,777,0.54,0.46
ME_PIS,400,344,744,0.54,0.46
ME_SAG,408,361,769,0.53,0.47
ME_SCO,444,404,848,0.52,0.48
ME_TAU,364,288,652,0.56,0.44
ME_VIR,376,353,729,0.52,0.48
MO_AQU,406,329,735,0.55,0.45
MO_ARI,393,345,738,0.53,0.47
MO_CAN,389,346,735,0.53,0.47
MO_CAP,393,346,739,0.53,0.47
MO_GEM,400,331,731,0.55,0.45
MO_LEO,394,337,731,0.54,0.46
MO_LIB,361,365,726,0.5,0.5
MO_PIS,377,357,734,0.51,0.49
MO_SAG,367,360,727,0.5,0.5
MO_SCO,366,356,722,0.51,0.49
MO_TAU,403,329,732,0.55,0.45
MO_VIR,405,330,735,0.55,0.45
NE_AQU,1711,1663,3374,0.51,0.49
NE_CAP,1665,1405,3070,0.54,0.46
NE_PIS,1278,1063,2341,0.55,0.45
NN_AQU,412,371,783,0.53,0.47
NN_ARI,389,395,784,0.5,0.5
NN_CAN,401,375,776,0.52,0.48
NN_CAP,427,356,783,0.55,0.45
NN_GEM,275,274,549,0.5,0.5
NN_LEO,419,364,783,0.54,0.46
NN_LIB,423,360,783,0.54,0.46
NN_PIS,435,347,782,0.56,0.44
NN_SAG,392,394,786,0.5,0.5
NN_SCO,425,355,780,0.54,0.46
NN_TAU,217,197,414,0.52,0.48
NN_VIR,439,343,782,0.56,0.44
PA_AQU,630,566,1196,0.53,0.47
PA_ARI,486,362,848,0.57,0.43
PA_CAN,171,160,331,0.52,0.48
PA_CAP,527,463,990,0.53,0.47
PA_GEM,204,184,388,0.53,0.47
PA_LEO,255,223,478,0.53,0.47
PA_LIB,382,336,718,0.53,0.47
PA_PIS,528,508,1036,0.51,0.49
PA_SAG,426,364,790,0.54,0.46
PA_SCO,411,384,795,0.52,0.48
PA_TAU,285,273,558,0.51,0.49
PA_VIR,349,308,657,0.53,0.47
PH_CAN,221,207,428,0.52,0.48
PH_CAP,338,236,574,0.59,0.41
PH_GEM,314,232,546,0.58,0.42
PH_LEO,256,228,484,0.53,0.47
PH_LIB,474,377,851,0.56,0.44
PH_SAG,1710,1552,3262,0.52,0.48
PH_SCO,744,769,1513,0.49,0.51
PH_TAU,273,240,513,0.53,0.47
PH_VIR,324,290,614,0.53,0.47
PL_CAP,1717,1438,3155,0.54,0.46
PL_SAG,1660,1592,3252,0.51,0.49
PL_SCO,1277,1101,2378,0.54,0.46
SA_AQU,430,391,821,0.52,0.48
SA_ARI,359,276,635,0.57,0.43
SA_CAN,268,265,533,0.5,0.5
SA_CAP,761,567,1328,0.57,0.43
SA_GEM,263,312,575,0.46,0.54
SA_LEO,281,255,536,0.52,0.48
SA_LIB,347,320,667,0.52,0.48
SA_PIS,308,270,578,0.53,0.47
SA_SAG,678,600,1278,0.53,0.47
SA_SCO,345,279,624,0.55,0.45
SA_TAU,299,293,592,0.51,0.49
SA_VIR,315,303,618,0.51,0.49
SN_AQU,419,364,783,0.54,0.46
SN_ARI,423,360,783,0.54,0.46
SN_CAN,427,356,783,0.55,0.45
SN_CAP,401,375,776,0.52,0.48
SN_GEM,392,394,786,0.5,0.5
SN_LEO,412,371,783,0.53,0.47
SN_LIB,389,395,784,0.5,0.5
SN_PIS,439,343,782,0.56,0.44
SN_SAG,275,274,549,0.5,0.5
SN_SCO,217,197,414,0.52,0.48
SN_TAU,425,355,780,0.54,0.46
SN_VIR,435,347,782,0.56,0.44
SU_AQU,353,344,697,0.51,0.49
SU_ARI,382,346,728,0.52,0.48
SU_CAN,401,351,752,0.53,0.47
