PlanetElement,buy,sell,daysN,BuyDays%,SellDays%
CE_AIR,807,780,1587,0.51,0.49
CE_EAR,814,772,1586,0.51,0.49
CE_FIR,747,730,1477,0.51,0.49
CE_WAT,814,815,1629,0.5,0.5
CH_AIR,782,737,1519,0.51,0.49
CH_EAR,443,480,923,0.48,0.52
CH_FIR,670,632,1302,0.51,0.49
CH_WAT,1287,1248,2535,0.51,0.49
EM_AIR,751,774,1525,0.49,0.51
EM_EAR,815,779,1594,0.51,0.49
EM_FIR,879,833,1712,0.51,0.49
EM_WAT,737,711,1448,0.51,0.49
ES_AIR,682,637,1319,0.52,0.48
ES_EAR,753,721,1474,0.51,0.49
ES_FIR,771,826,1597,0.48,0.52
ES_WAT,976,913,1889,0.52,0.48
JN_AIR,899,847,1746,0.51,0.49
JN_EAR,787,746,1533,0.51,0.49
JN_FIR,835,746,1581,0.53,0.47
JN_WAT,661,758,1419,0.47,0.53
JU_AIR,872,790,1662,0.52,0.48
JU_EAR,754,841,1595,0.47,0.53
JU_FIR,750,698,1448,0.52,0.48
JU_WAT,806,768,1574,0.51,0.49
MA_AIR,790,776,1566,0.5,0.5
MA_EAR,840,730,1570,0.54,0.46
MA_FIR,828,793,1621,0.51,0.49
MA_WAT,724,798,1522,0.48,0.52
ME_AIR,733,740,1473,0.5,0.5
ME_EAR,777,769,1546,0.5,0.5
ME_FIR,824,818,1642,0.5,0.5
ME_WAT,848,770,1618,0.52,0.48
MO_AIR,807,756,1563,0.52,0.48
MO_EAR,795,778,1573,0.51,0.49
MO_FIR,769,800,1569,0.49,0.51
MO_WAT,811,763,1574,0.52,0.48
NE_AIR,1748,1726,3474,0.5,0.5
NE_EAR,206,174,380,0.54,0.46
NE_WAT,1228,1197,2425,0.51,0.49
NN_AIR,733,703,1436,0.51,0.49
NN_EAR,789,826,1615,0.49,0.51
NN_FIR,809,804,1613,0.5,0.5
NN_WAT,851,764,1615,0.53,0.47
PA_AIR,829,843,1672,0.5,0.5
PA_EAR,795,756,1551,0.51,0.49
PA_FIR,785,794,1579,0.5,0.5
PA_WAT,773,704,1477,0.52,0.48
PH_AIR,397,361,758,0.52,0.48
PH_EAR,298,300,598,0.5,0.5
PH_FIR,1706,1650,3356,0.51,0.49
PH_WAT,781,786,1567,0.5,0.5
PL_EAR,1638,1628,3266,0.5,0.5
PL_FIR,1544,1469,3013,0.51,0.49
SA_AIR,671,719,1390,0.48,0.52
SA_EAR,957,978,1935,0.49,0.51
SA_FIR,933,824,1757,0.53,0.47
SA_WAT,621,576,1197,0.52,0.48
SN_AIR,809,804,1613,0.5,0.5
SN_EAR,851,764,1615,0.53,0.47
SN_FIR,733,703,1436,0.51,0.49
SN_WAT,789,826,1615,0.49,0.51
SU_AIR,800,768,1568,0.51,0.49
SU_EAR,794,790,1584,0.5,0.5
SU_FIR,791,771,1562,0.51,0.49
SU_WAT,797,768,1565,0.51,0.49
UR_AIR,871,848,1719,0.51,0.49
UR_EAR,303,315,618,0.49,0.51
UR_FIR,1016,993,2009,0.51,0.49
UR_WAT,992,941,1933,0.51,0.49
VE_AIR,773,827,1600,0.48,0.52
VE_EAR,794,728,1522,0.52,0.48
VE_FIR,849,796,1645,0.52,0.48
VE_WAT,766,746,1512,0.51,0.49
VS_AIR,812,803,1615,0.5,0.5
VS_EAR,811,797,1608,0.5,0.5
VS_FIR,868,832,1700,0.51,0.49
VS_WAT,691,665,1356,0.51,0.49
