PlanetZodSign,buy,sell,daysN,BuyDays%,SellDays%
CE_AQU,605,567,1172,0.52,0.48
CE_ARI,612,593,1205,0.51,0.49
CE_CAN,491,463,954,0.51,0.49
CE_CAP,579,560,1139,0.51,0.49
CE_GEM,534,485,1019,0.52,0.48
CE_LEO,492,474,966,0.51,0.49
CE_LIB,467,451,918,0.51,0.49
CE_PIS,698,610,1308,0.53,0.47
CE_SAG,652,558,1210,0.54,0.46
CE_SCO,474,464,938,0.51,0.49
CE_TAU,560,579,1139,0.49,0.51
CE_VIR,451,459,910,0.5,0.5
CH_AQU,700,651,1351,0.52,0.48
CH_ARI,1208,1123,2331,0.52,0.48
CH_CAN,389,389,778,0.5,0.5
CH_CAP,480,412,892,0.54,0.46
CH_GEM,614,557,1171,0.52,0.48
CH_LEO,281,258,539,0.52,0.48
CH_LIB,236,199,435,0.54,0.46
CH_PIS,1027,942,1969,0.52,0.48
CH_SAG,303,353,656,0.46,0.54
CH_SCO,248,237,485,0.51,0.49
CH_TAU,855,908,1763,0.48,0.52
CH_VIR,274,234,508,0.54,0.46
EM_AQU,681,683,1364,0.5,0.5
EM_ARI,597,496,1093,0.55,0.45
EM_CAN,369,424,793,0.47,0.53
EM_CAP,633,577,1210,0.52,0.48
EM_GEM,579,511,1090,0.53,0.47
EM_LEO,660,650,1310,0.5,0.5
EM_LIB,579,501,1080,0.54,0.46
EM_PIS,521,510,1031,0.51,0.49
EM_SAG,563,567,1130,0.5,0.5
EM_SCO,406,370,776,0.52,0.48
EM_TAU,498,435,933,0.53,0.47
EM_VIR,529,539,1068,0.5,0.5
ES_AQU,492,547,1039,0.47,0.53
ES_ARI,514,474,988,0.52,0.48
ES_CAN,759,733,1492,0.51,0.49
ES_CAP,686,620,1306,0.53,0.47
ES_GEM,452,449,901,0.5,0.5
ES_LEO,565,595,1160,0.49,0.51
ES_LIB,442,367,809,0.55,0.45
ES_PIS,689,642,1331,0.52,0.48
ES_SAG,482,475,957,0.5,0.5
ES_SCO,507,424,931,0.54,0.46
ES_TAU,452,412,864,0.52,0.48
ES_VIR,575,525,1100,0.52,0.48
JN_AQU,561,522,1083,0.52,0.48
JN_ARI,384,343,727,0.53,0.47
JN_CAN,375,360,735,0.51,0.49
JN_CAP,665,632,1297,0.51,0.49
JN_GEM,339,267,606,0.56,0.44
JN_LEO,458,424,882,0.52,0.48
JN_LIB,836,775,1611,0.52,0.48
JN_PIS,411,412,823,0.5,0.5
JN_SAG,768,790,1558,0.49,0.51
JN_SCO,835,829,1664,0.5,0.5
JN_TAU,387,347,734,0.53,0.47
JN_VIR,596,562,1158,0.51,0.49
JU_AQU,570,498,1068,0.53,0.47
JU_ARI,461,387,848,0.54,0.46
JU_CAN,524,499,1023,0.51,0.49
JU_CAP,616,663,1279,0.48,0.52
JU_GEM,457,456,913,0.5,0.5
JU_LEO,522,522,1044,0.5,0.5
JU_LIB,619,553,1172,0.53,0.47
JU_PIS,492,473,965,0.51,0.49
JU_SAG,693,624,1317,0.53,0.47
JU_SCO,697,645,1342,0.52,0.48
JU_TAU,405,412,817,0.5,0.5
JU_VIR,559,531,1090,0.51,0.49
MA_AQU,446,493,939,0.47,0.53
MA_ARI,535,508,1043,0.51,0.49
MA_CAN,587,588,1175,0.5,0.5
MA_CAP,467,445,912,0.51,0.49
MA_GEM,556,531,1087,0.51,0.49
MA_LEO,630,636,1266,0.5,0.5
MA_LIB,656,580,1236,0.53,0.47
MA_PIS,472,401,873,0.54,0.46
MA_SAG,490,486,976,0.5,0.5
MA_SCO,572,528,1100,0.52,0.48
MA_TAU,538,481,1019,0.53,0.47
MA_VIR,666,586,1252,0.53,0.47
