PlanetZodSign,buy,sell,daysN,BuyDays%,SellDays%
CE_AQU,599,548,1147,0.52,0.48
CE_ARI,616,561,1177,0.52,0.48
CE_CAN,499,438,937,0.53,0.47
CE_CAP,557,552,1109,0.5,0.5
CE_GEM,531,460,991,0.54,0.46
CE_LEO,492,454,946,0.52,0.48
CE_LIB,492,398,890,0.55,0.45
CE_PIS,681,588,1269,0.54,0.46
CE_SAG,634,537,1171,0.54,0.46
CE_SCO,485,426,911,0.53,0.47
CE_TAU,585,534,1119,0.52,0.48
CE_VIR,486,407,893,0.54,0.46
CH_AQU,688,624,1312,0.52,0.48
CH_ARI,1272,985,2257,0.56,0.44
CH_CAN,395,366,761,0.52,0.48
CH_CAP,461,407,868,0.53,0.47
CH_GEM,660,489,1149,0.57,0.43
CH_LEO,256,270,526,0.49,0.51
CH_LIB,205,222,427,0.48,0.52
CH_PIS,1003,916,1919,0.52,0.48
CH_SAG,311,333,644,0.48,0.52
CH_SCO,218,254,472,0.46,0.54
CH_TAU,957,770,1727,0.55,0.45
CH_VIR,231,267,498,0.46,0.54
EM_AQU,708,607,1315,0.54,0.46
EM_ARI,586,469,1055,0.56,0.44
EM_CAN,385,388,773,0.5,0.5
EM_CAP,584,594,1178,0.5,0.5
EM_GEM,570,478,1048,0.54,0.46
EM_LEO,717,572,1289,0.56,0.44
EM_LIB,553,510,1063,0.52,0.48
EM_PIS,547,443,990,0.55,0.45
EM_SAG,532,590,1122,0.47,0.53
EM_SCO,426,339,765,0.56,0.44
EM_TAU,496,407,903,0.55,0.45
EM_VIR,553,506,1059,0.52,0.48
ES_AQU,521,507,1028,0.51,0.49
ES_ARI,530,440,970,0.55,0.45
ES_CAN,741,708,1449,0.51,0.49
ES_CAP,660,608,1268,0.52,0.48
ES_GEM,450,446,896,0.5,0.5
ES_LEO,580,539,1119,0.52,0.48
ES_LIB,449,335,784,0.57,0.43
ES_PIS,694,620,1314,0.53,0.47
ES_SAG,512,412,924,0.55,0.45
ES_SCO,502,401,903,0.56,0.44
ES_TAU,423,428,851,0.5,0.5
ES_VIR,595,459,1054,0.56,0.44
JN_AQU,554,498,1052,0.53,0.47
JN_ARI,378,332,710,0.53,0.47
JN_CAN,364,355,719,0.51,0.49
JN_CAP,680,574,1254,0.54,0.46
JN_GEM,331,268,599,0.55,0.45
JN_LEO,446,415,861,0.52,0.48
JN_LIB,861,714,1575,0.55,0.45
JN_PIS,401,399,800,0.5,0.5
JN_SAG,790,735,1525,0.52,0.48
JN_SCO,833,785,1618,0.51,0.49
JN_TAU,403,315,718,0.56,0.44
JN_VIR,616,513,1129,0.55,0.45
JU_AQU,543,498,1041,0.52,0.48
JU_ARI,453,373,826,0.55,0.45
JU_CAN,515,491,1006,0.51,0.49
JU_CAP,664,577,1241,0.54,0.46
JU_GEM,467,430,897,0.52,0.48
JU_LEO,549,470,1019,0.54,0.46
JU_LIB,615,526,1141,0.54,0.46
JU_PIS,487,451,938,0.52,0.48
JU_SAG,713,562,1275,0.56,0.44
JU_SCO,695,623,1318,0.53,0.47
JU_TAU,421,377,798,0.53,0.47
JU_VIR,535,525,1060,0.5,0.5
MA_AQU,464,439,903,0.51,0.49
MA_ARI,584,434,1018,0.57,0.43
MA_CAN,580,573,1153,0.5,0.5
MA_CAP,522,369,891,0.59,0.41
MA_GEM,593,471,1064,0.56,0.44
MA_LEO,607,632,1239,0.49,0.51
MA_LIB,619,589,1208,0.51,0.49
MA_PIS,471,378,849,0.55,0.45
MA_SAG,487,455,942,0.52,0.48
MA_SCO,557,509,1066,0.52,0.48
MA_TAU,531,469,1000,0.53,0.47
MA_VIR,642,585,1227,0.52,0.48
ME_AQU,585,501,1086,0.54,0.46
ME_ARI,532,452,984,0.54,0.46
ME_CAN,529,492,1021,0.52,0.48
ME_CAP,568,469,1037,0.55,0.45
ME_GEM,475,468,943,0.5,0.5
ME_LEO,559,504,1063,0.53,0.47
ME_LIB,537,506,1043,0.51,0.49
ME_PIS,616,450,1066,0.58,0.42
ME_SAG,588,523,1111,0.53,0.47
ME_SCO,600,565,1165,0.52,0.48
ME_TAU,510,439,949,0.54,0.46
ME_VIR,558,534,1092,0.51,0.49
MO_AQU,536,514,1050,0.51,0.49
MO_ARI,536,511,1047,0.51,0.49
MO_CAN,570,483,1053,0.54,0.46
MO_CAP,566,488,1054,0.54,0.46
MO_GEM,566,473,1039,0.54,0.46
MO_LEO,551,497,1048,0.53,0.47
MO_LIB,575,480,1055,0.55,0.45
MO_PIS,558,492,1050,0.53,0.47
MO_SAG,549,484,1033,0.53,0.47
MO_SCO,545,498,1043,0.52,0.48
MO_TAU,555,497,1052,0.53,0.47
MO_VIR,550,486,1036,0.53,0.47
NE_AQU,1674,1614,3288,0.51,0.49
NE_CAP,1765,1664,3429,0.51,0.49
NE_PIS,1219,1061,2280,0.53,0.47
NE_SAG,1922,1511,3433,0.56,0.44
NE_SCO,77,53,130,0.59,0.41
NN_AQU,621,522,1143,0.54,0.46
NN_ARI,454,313,767,0.59,0.41
NN_CAN,562,576,1138,0.49,0.51
NN_CAP,597,543,1140,0.52,0.48
NN_GEM,480,442,922,0.52,0.48
NN_LEO,624,528,1152,0.54,0.46
NN_LIB,617,527,1144,0.54,0.46
NN_PIS,536,417,953,0.56,0.44
NN_SAG,571,574,1145,0.5,0.5
NN_SCO,577,567,1144,0.5,0.5
NN_TAU,422,343,765,0.55,0.45
NN_VIR,596,551,1147,0.52,0.48
PA_AQU,912,762,1674,0.54,0.46
PA_ARI,642,574,1216,0.53,0.47
PA_CAN,258,243,501,0.51,0.49
PA_CAP,678,681,1359,0.5,0.5
PA_GEM,327,301,628,0.52,0.48
PA_LEO,379,316,695,0.55,0.45
PA_LIB,545,488,1033,0.53,0.47
PA_PIS,898,787,1685,0.53,0.47
PA_SAG,566,513,1079,0.52,0.48
PA_SCO,538,482,1020,0.53,0.47
PA_TAU,479,395,874,0.55,0.45
PA_VIR,435,361,796,0.55,0.45
PH_AQU,160,106,266,0.6,0.4
PH_ARI,625,517,1142,0.55,0.45
PH_CAN,190,231,421,0.45,0.55
PH_CAP,294,261,555,0.53,0.47
PH_GEM,296,234,530,0.56,0.44
PH_LEO,239,231,470,0.51,0.49
PH_LIB,394,435,829,0.48,0.52
PH_PIS,1336,1031,2367,0.56,0.44
PH_SAG,1670,1505,3175,0.53,0.47
PH_SCO,752,727,1479,0.51,0.49
PH_TAU,422,301,723,0.58,0.42
PH_VIR,279,324,603,0.46,0.54
PL_CAP,1622,1443,3065,0.53,0.47
PL_LIB,1642,1339,2981,0.55,0.45
PL_SAG,1587,1593,3180,0.5,0.5
PL_SCO,1498,1336,2834,0.53,0.47
PL_VIR,308,192,500,0.62,0.38
SA_AQU,402,400,802,0.5,0.5
SA_ARI,285,335,620,0.46,0.54
SA_CAN,558,511,1069,0.52,0.48
SA_CAP,684,604,1288,0.53,0.47
SA_GEM,609,518,1127,0.54,0.46
SA_LEO,622,477,1099,0.57,0.43
SA_LIB,643,628,1271,0.51,0.49
SA_PIS,273,295,568,0.48,0.52
SA_SAG,746,579,1325,0.56,0.44
SA_SCO,702,566,1268,0.55,0.45
SA_TAU,520,444,964,0.54,0.46
SA_VIR,613,546,1159,0.53,0.47
SN_AQU,624,528,1152,0.54,0.46
SN_ARI,617,527,1144,0.54,0.46
SN_CAN,597,543,1140,0.52,0.48
SN_CAP,562,576,1138,0.49,0.51
SN_GEM,571,574,1145,0.5,0.5
SN_LEO,621,522,1143,0.54,0.46
SN_LIB,454,313,767,0.59,0.41
SN_PIS,596,551,1147,0.52,0.48
SN_SAG,480,442,922,0.52,0.48
SN_SCO,422,343,765,0.55,0.45
SN_TAU,577,567,1144,0.5,0.5
SN_VIR,536,417,953,0.56,0.44
SU_AQU,561,481,1042,0.54,0.46
SU_ARI,608,477,1085,0.56,0.44
SU_CAN,573,543,1116,0.51,0.49
SU_CAP,487,346,833,0.58,0.42
SU_GEM,599,541,1140,0.53,0.47
SU_LEO,578,555,1133,0.51,0.49
SU_LIB,539,502,1041,0.52,0.48
SU_PIS,581,489,1070,0.54,0.46
SU_SAG,550,484,1034,0.53,0.47
SU_SCO,527,518,1045,0.5,0.5
SU_TAU,517,449,966,0.54,0.46
SU_VIR,537,518,1055,0.51,0.49
UR_AQU,888,991,1879,0.47,0.53
UR_ARI,997,894,1891,0.53,0.47
UR_CAP,891,885,1776,0.5,0.5
UR_LIB,737,553,1290,0.57,0.43
UR_PIS,982,853,1835,0.54,0.46
UR_SAG,944,757,1701,0.55,0.45
UR_SCO,910,699,1609,0.57,0.43
UR_TAU,308,271,579,0.53,0.47
VE_AQU,517,446,963,0.54,0.46
VE_ARI,689,530,1219,0.57,0.43
VE_CAN,508,480,988,0.51,0.49
VE_CAP,579,502,1081,0.54,0.46
VE_GEM,685,616,1301,0.53,0.47
VE_LEO,609,532,1141,0.53,0.47
VE_LIB,478,452,930,0.51,0.49
VE_PIS,518,407,925,0.56,0.44
VE_SAG,450,385,835,0.54,0.46
VE_SCO,623,613,1236,0.5,0.5
VE_TAU,465,429,894,0.52,0.48
VE_VIR,536,511,1047,0.51,0.49
VS_AQU,530,432,962,0.55,0.45
VS_ARI,576,481,1057,0.54,0.46
