PlanetTriplicity,buy,sell,daysN,BuyDays%,SellDays%
CE_CAR,79,65,144,0.55,0.45
CE_FIX,241,237,478,0.5,0.5
CE_MUT,317,277,594,0.53,0.47
CH_CAR,452,411,863,0.52,0.48
CH_MUT,185,168,353,0.52,0.48
EM_CAR,251,222,473,0.53,0.47
EM_FIX,340,322,662,0.51,0.49
EM_MUT,46,35,81,0.57,0.43
ES_CAR,390,348,738,0.53,0.47
ES_FIX,225,216,441,0.51,0.49
ES_MUT,22,15,37,0.59,0.41
JN_CAR,285,247,532,0.54,0.46
JN_FIX,215,206,421,0.51,0.49
JN_MUT,137,126,263,0.52,0.48
JU_CAR,232,169,401,0.58,0.42
JU_FIX,217,209,426,0.51,0.49
JU_MUT,188,201,389,0.48,0.52
MA_CAR,281,227,508,0.55,0.45
MA_FIX,198,200,398,0.5,0.5
MA_MUT,158,152,310,0.51,0.49
ME_CAR,222,177,399,0.56,0.44
ME_FIX,209,209,418,0.5,0.5
ME_MUT,206,193,399,0.52,0.48
MO_CAR,219,189,408,0.54,0.46
MO_FIX,217,190,407,0.53,0.47
MO_MUT,201,200,401,0.5,0.5
NE_MUT,637,579,1216,0.52,0.48
NN_CAR,292,275,567,0.51,0.49
NN_FIX,214,205,419,0.51,0.49
NN_MUT,131,99,230,0.57,0.43
PA_CAR,372,329,701,0.53,0.47
PA_FIX,158,172,330,0.48,0.52
PA_MUT,107,78,185,0.58,0.42
PH_CAR,452,380,832,0.54,0.46
PH_MUT,185,199,384,0.48,0.52
PL_CAR,637,579,1216,0.52,0.48
SA_CAR,506,486,992,0.51,0.49
SA_FIX,83,52,135,0.61,0.39
SA_MUT,48,41,89,0.54,0.46
SN_CAR,292,275,567,0.51,0.49
SN_FIX,214,205,419,0.51,0.49
SN_MUT,131,99,230,0.57,0.43
SU_CAR,240,186,426,0.56,0.44
SU_FIX,220,176,396,0.56,0.44
SU_MUT,177,217,394,0.45,0.55
UR_CAR,185,170,355,0.52,0.48
UR_FIX,452,409,861,0.52,0.48
VE_CAR,187,195,382,0.49,0.51
VE_FIX,207,180,387,0.53,0.47
VE_MUT,243,204,447,0.54,0.46
VS_CAR,185,152,337,0.55,0.45
VS_FIX,238,242,480,0.5,0.5
VS_MUT,214,185,399,0.54,0.46
