PlanetTriplicity,buy,sell,daysN,BuyDays%,SellDays%
CE_CAR,70,72,142,0.49,0.51
CE_FIX,215,254,469,0.46,0.54
CE_MUT,307,287,594,0.52,0.48
CH_CAR,432,431,863,0.5,0.5
CH_MUT,160,182,342,0.47,0.53
EM_CAR,251,222,473,0.53,0.47
EM_FIX,297,354,651,0.46,0.54
EM_MUT,44,37,81,0.54,0.46
ES_CAR,381,357,738,0.52,0.48
ES_FIX,190,240,430,0.44,0.56
ES_MUT,21,16,37,0.57,0.43
JN_CAR,267,254,521,0.51,0.49
JN_FIX,189,232,421,0.45,0.55
JN_MUT,136,127,263,0.52,0.48
JU_CAR,211,179,390,0.54,0.46
JU_FIX,191,235,426,0.45,0.55
JU_MUT,190,199,389,0.49,0.51
MA_CAR,248,260,508,0.49,0.51
MA_FIX,201,197,398,0.51,0.49
MA_MUT,143,156,299,0.48,0.52
ME_CAR,201,194,395,0.51,0.49
ME_FIX,188,230,418,0.45,0.55
ME_MUT,203,189,392,0.52,0.48
MO_CAR,204,201,405,0.5,0.5
MO_FIX,200,202,402,0.5,0.5
MO_MUT,188,210,398,0.47,0.53
NE_MUT,592,613,1205,0.49,0.51
NN_CAR,295,272,567,0.52,0.48
NN_FIX,179,229,408,0.44,0.56
NN_MUT,118,112,230,0.51,0.49
PA_CAR,349,352,701,0.5,0.5
PA_FIX,150,169,319,0.47,0.53
PA_MUT,93,92,185,0.5,0.5
PH_CAR,420,412,832,0.5,0.5
PH_MUT,172,201,373,0.46,0.54
PL_CAR,592,613,1205,0.49,0.51
SA_CAR,463,529,992,0.47,0.53
SA_FIX,84,51,135,0.62,0.38
SA_MUT,45,33,78,0.58,0.42
SN_CAR,295,272,567,0.52,0.48
SN_FIX,179,229,408,0.44,0.56
SN_MUT,118,112,230,0.51,0.49
SU_CAR,226,189,415,0.54,0.46
SU_FIX,181,215,396,0.46,0.54
SU_MUT,185,209,394,0.47,0.53
UR_CAR,158,186,344,0.46,0.54
UR_FIX,434,427,861,0.5,0.5
VE_CAR,168,214,382,0.44,0.56
VE_FIX,196,191,387,0.51,0.49
VE_MUT,228,208,436,0.52,0.48
VS_CAR,155,171,326,0.48,0.52
VS_FIX,238,242,480,0.5,0.5
VS_MUT,199,200,399,0.5,0.5
