PlanetsAspect,buy,sell,daysN,BuyDays%,SellDays%
JUNE_a0,57,43,100,0.57,0.43
JUNE_a103,59,42,101,0.58,0.42
JUNE_a120,90,90,180,0.5,0.5
JUNE_a135,53,46,99,0.54,0.46
JUNE_a150,91,94,185,0.49,0.51
JUNE_a180,47,43,90,0.52,0.48
JUNE_a30,51,78,129,0.4,0.6
JUNE_a45,31,26,57,0.54,0.46
JUNE_a60,85,91,176,0.48,0.52
JUNE_a90,112,104,216,0.52,0.48
JUPL_a0,50,49,99,0.51,0.49
JUPL_a103,73,83,156,0.47,0.53
JUPL_a120,95,102,197,0.48,0.52
JUPL_a135,59,53,112,0.53,0.47
JUPL_a150,115,87,202,0.57,0.43
JUPL_a180,61,65,126,0.48,0.52
JUPL_a30,56,64,120,0.47,0.53
JUPL_a45,87,81,168,0.52,0.48
JUPL_a60,67,47,114,0.59,0.41
JUPL_a90,78,101,179,0.44,0.56
JUSA_a0,23,32,55,0.42,0.58
JUSA_a103,82,79,161,0.51,0.49
JUSA_a120,81,82,163,0.5,0.5
JUSA_a135,48,42,90,0.53,0.47
JUSA_a150,40,34,74,0.54,0.46
JUSA_a180,25,25,50,0.5,0.5
JUSA_a30,122,118,240,0.51,0.49
JUSA_a45,127,122,249,0.51,0.49
JUSA_a60,117,105,222,0.53,0.47
JUSA_a90,51,73,124,0.41,0.59
JUUR_a0,39,62,101,0.39,0.61
JUUR_a103,96,84,180,0.53,0.47
JUUR_a120,73,54,127,0.57,0.43
JUUR_a135,78,69,147,0.53,0.47
JUUR_a150,81,66,147,0.55,0.45
JUUR_a180,37,44,81,0.46,0.54
JUUR_a30,104,80,184,0.57,0.43
JUUR_a45,64,65,129,0.5,0.5
JUUR_a60,81,79,160,0.51,0.49
JUUR_a90,96,70,166,0.58,0.42
MAJU_a0,41,27,68,0.6,0.4
MAJU_a103,48,62,110,0.44,0.56
MAJU_a120,64,54,118,0.54,0.46
MAJU_a135,69,59,128,0.54,0.46
MAJU_a150,94,68,162,0.58,0.42
MAJU_a180,72,65,137,0.53,0.47
MAJU_a30,69,62,131,0.53,0.47
MAJU_a45,57,61,118,0.48,0.52
MAJU_a60,54,59,113,0.48,0.52
MAJU_a90,63,60,123,0.51,0.49
MANE_a0,21,35,56,0.38,0.62
MANE_a103,64,74,138,0.46,0.54
MANE_a120,74,60,134,0.55,0.45
MANE_a135,77,83,160,0.48,0.52
MANE_a150,65,65,130,0.5,0.5
MANE_a180,34,40,74,0.46,0.54
MANE_a30,83,67,150,0.55,0.45
MANE_a45,93,81,174,0.53,0.47
MANE_a60,70,45,115,0.61,0.39
MANE_a90,74,77,151,0.49,0.51
MAPL_a0,37,24,61,0.61,0.39
MAPL_a103,61,58,119,0.51,0.49
MAPL_a120,68,56,124,0.55,0.45
MAPL_a135,87,91,178,0.49,0.51
MAPL_a150,86,77,163,0.53,0.47
MAPL_a180,33,40,73,0.45,0.55
MAPL_a30,82,72,154,0.53,0.47
MAPL_a45,77,82,159,0.48,0.52
MAPL_a60,70,76,146,0.48,0.52
MAPL_a90,74,79,153,0.48,0.52
MASA_a0,32,34,66,0.48,0.52
MASA_a103,59,41,100,0.59,0.41
MASA_a120,67,54,121,0.55,0.45
MASA_a135,55,41,96,0.57,0.43
MASA_a150,50,47,97,0.52,0.48
MASA_a180,46,47,93,0.49,0.51
MASA_a30,91,94,185,0.49,0.51
MASA_a45,108,77,185,0.58,0.42
MASA_a60,99,76,175,0.57,0.43
MASA_a90,79,85,164,0.48,0.52
MAUR_a0,45,39,84,0.54,0.46
MAUR_a103,76,81,157,0.48,0.52
MAUR_a120,81,65,146,0.55,0.45
MAUR_a135,71,102,173,0.41,0.59
MAUR_a150,86,92,178,0.48,0.52
MAUR_a180,27,41,68,0.4,0.6
MAUR_a30,61,48,109,0.56,0.44
MAUR_a45,45,64,109,0.41,0.59
MAUR_a60,68,89,157,0.43,0.57
MAUR_a90,72,74,146,0.49,0.51
MEJU_a0,57,42,99,0.58,0.42
MEJU_a103,62,69,131,0.47,0.53
MEJU_a120,56,58,114,0.49,0.51
MEJU_a135,66,73,139,0.47,0.53
MEJU_a150,67,68,135,0.5,0.5
MEJU_a180,22,25,47,0.47,0.53
MEJU_a30,85,79,164,0.52,0.48
MEJU_a45,118,94,212,0.56,0.44
MEJU_a60,73,67,140,0.52,0.48
MEJU_a90,71,92,163,0.44,0.56
MEMA_a0,63,57,120,0.52,0.48
MEMA_a103,73,90,163,0.45,0.55
MEMA_a120,31,39,70,0.44,0.56
MEMA_a135,27,44,71,0.38,0.62
MEMA_a150,38,20,58,0.66,0.34
MEMA_a180,17,8,25,0.68,0.32
MEMA_a30,124,93,217,0.57,0.43
MEMA_a45,125,157,282,0.44,0.56
MEMA_a60,74,97,171,0.43,0.57
MEMA_a90,64,93,157,0.41,0.59
MENE_a0,44,34,78,0.56,0.44
MENE_a103,67,66,133,0.5,0.5
MENE_a120,80,62,142,0.56,0.44
MENE_a135,97,85,182,0.53,0.47
MENE_a150,51,68,119,0.43,0.57
MENE_a180,29,47,76,0.38,0.62
MENE_a30,91,74,165,0.55,0.45
MENE_a45,72,82,154,0.47,0.53
MENE_a60,67,67,134,0.5,0.5
