PlanetZodSign,buy,sell,daysN,BuyDays%,SellDays%
CE_AQU,619,553,1172,0.53,0.47
CE_ARI,647,558,1205,0.54,0.46
CE_CAN,533,421,954,0.56,0.44
CE_CAP,600,539,1139,0.53,0.47
CE_GEM,554,465,1019,0.54,0.46
CE_LEO,521,445,966,0.54,0.46
CE_LIB,491,427,918,0.53,0.47
CE_PIS,698,609,1307,0.53,0.47
CE_SAG,692,518,1210,0.57,0.43
CE_SCO,484,454,938,0.52,0.48
CE_TAU,604,535,1139,0.53,0.47
CE_VIR,509,401,910,0.56,0.44
CH_AQU,716,635,1351,0.53,0.47
CH_ARI,1203,1127,2330,0.52,0.48
CH_CAN,413,365,778,0.53,0.47
CH_CAP,478,414,892,0.54,0.46
CH_GEM,662,509,1171,0.57,0.43
CH_LEO,275,264,539,0.51,0.49
CH_LIB,254,181,435,0.58,0.42
CH_PIS,1113,856,1969,0.57,0.43
CH_SAG,332,324,656,0.51,0.49
CH_SCO,280,205,485,0.58,0.42
CH_TAU,928,835,1763,0.53,0.47
CH_VIR,298,210,508,0.59,0.41
EM_AQU,721,643,1364,0.53,0.47
EM_ARI,613,480,1093,0.56,0.44
EM_CAN,414,379,793,0.52,0.48
EM_CAP,639,571,1210,0.53,0.47
EM_GEM,577,512,1089,0.53,0.47
EM_LEO,706,604,1310,0.54,0.46
EM_LIB,625,455,1080,0.58,0.42
EM_PIS,571,460,1031,0.55,0.45
EM_SAG,566,564,1130,0.5,0.5
EM_SCO,428,348,776,0.55,0.45
EM_TAU,526,407,933,0.56,0.44
EM_VIR,566,502,1068,0.53,0.47
ES_AQU,539,500,1039,0.52,0.48
ES_ARI,536,452,988,0.54,0.46
ES_CAN,779,713,1492,0.52,0.48
ES_CAP,687,619,1306,0.53,0.47
ES_GEM,456,445,901,0.51,0.49
ES_LEO,610,550,1160,0.53,0.47
ES_LIB,443,366,809,0.55,0.45
ES_PIS,736,595,1331,0.55,0.45
ES_SAG,520,436,956,0.54,0.46
ES_SCO,556,375,931,0.6,0.4
ES_TAU,488,376,864,0.56,0.44
ES_VIR,602,498,1100,0.55,0.45
JN_AQU,588,495,1083,0.54,0.46
JN_ARI,396,331,727,0.54,0.46
JN_CAN,374,361,735,0.51,0.49
JN_CAP,694,603,1297,0.54,0.46
JN_GEM,341,265,606,0.56,0.44
JN_LEO,482,400,882,0.55,0.45
JN_LIB,885,726,1611,0.55,0.45
JN_PIS,423,400,823,0.51,0.49
JN_SAG,834,723,1557,0.54,0.46
JN_SCO,878,786,1664,0.53,0.47
JN_TAU,416,318,734,0.57,0.43
JN_VIR,641,517,1158,0.55,0.45
JU_AQU,588,479,1067,0.55,0.45
JU_ARI,463,385,848,0.55,0.45
JU_CAN,549,474,1023,0.54,0.46
JU_CAP,663,616,1279,0.52,0.48
JU_GEM,478,435,913,0.52,0.48
JU_LEO,555,489,1044,0.53,0.47
JU_LIB,629,543,1172,0.54,0.46
JU_PIS,539,426,965,0.56,0.44
JU_SAG,749,568,1317,0.57,0.43
JU_SCO,717,625,1342,0.53,0.47
JU_TAU,435,382,817,0.53,0.47
JU_VIR,587,503,1090,0.54,0.46
MA_AQU,502,437,939,0.53,0.47
MA_ARI,593,450,1043,0.57,0.43
MA_CAN,595,580,1175,0.51,0.49
MA_CAP,505,407,912,0.55,0.45
MA_GEM,582,505,1087,0.54,0.46
MA_LEO,667,599,1266,0.53,0.47
MA_LIB,691,545,1236,0.56,0.44
MA_PIS,486,387,873,0.56,0.44
MA_SAG,511,465,976,0.52,0.48
MA_SCO,590,510,1100,0.54,0.46
MA_TAU,536,482,1018,0.53,0.47
MA_VIR,694,558,1252,0.55,0.45
ME_AQU,614,472,1086,0.57,0.43
ME_ARI,563,482,1045,0.54,0.46
ME_CAN,535,476,1011,0.53,0.47
ME_CAP,631,491,1122,0.56,0.44
ME_GEM,469,457,926,0.51,0.49
ME_LEO,580,478,1058,0.55,0.45
ME_LIB,578,533,1111,0.52,0.48
ME_PIS,579,489,1068,0.54,0.46
ME_SAG,633,520,1153,0.55,0.45
ME_SCO,637,563,1200,0.53,0.47
ME_TAU,554,433,987,0.56,0.44
ME_VIR,579,531,1110,0.52,0.48
MO_AQU,586,493,1079,0.54,0.46
MO_ARI,564,517,1081,0.52,0.48
MO_CAN,575,495,1070,0.54,0.46
MO_CAP,577,510,1087,0.53,0.47
MO_GEM,576,493,1069,0.54,0.46
MO_LEO,597,482,1079,0.55,0.45
MO_LIB,604,460,1064,0.57,0.43
MO_PIS,568,510,1078,0.53,0.47
MO_SAG,540,527,1067,0.51,0.49
MO_SCO,571,489,1060,0.54,0.46
MO_TAU,607,471,1078,0.56,0.44
MO_VIR,587,478,1065,0.55,0.45
NE_AQU,1798,1576,3374,0.53,0.47
NE_CAP,1950,1558,3508,0.56,0.44
NE_PIS,1329,1012,2341,0.57,0.43
NE_SAG,1807,1714,3521,0.51,0.49
NE_SCO,68,65,133,0.51,0.49
NN_AQU,606,570,1176,0.52,0.48
NN_ARI,439,345,784,0.56,0.44
NN_CAN,612,556,1168,0.52,0.48
NN_CAP,615,557,1172,0.52,0.48
NN_GEM,480,462,942,0.51,0.49
NN_LEO,647,528,1175,0.55,0.45
NN_LIB,652,523,1175,0.55,0.45
NN_PIS,524,457,981,0.53,0.47
NN_SAG,607,571,1178,0.52,0.48
NN_SCO,661,510,1171,0.56,0.44
NN_TAU,451,330,781,0.58,0.42
NN_VIR,658,516,1174,0.56,0.44
PA_AQU,915,802,1717,0.53,0.47
PA_ARI,706,530,1236,0.57,0.43
PA_CAN,271,234,505,0.54,0.46
PA_CAP,745,659,1404,0.53,0.47
PA_GEM,338,311,649,0.52,0.48
PA_LEO,378,331,709,0.53,0.47
PA_LIB,560,496,1056,0.53,0.47
PA_PIS,923,808,1731,0.53,0.47
PA_SAG,571,534,1105,0.52,0.48
PA_SCO,601,456,1057,0.57,0.43
PA_TAU,494,395,889,0.56,0.44
PA_VIR,450,369,819,0.55,0.45
PH_AQU,151,123,274,0.55,0.45
PH_ARI,605,556,1161,0.52,0.48
PH_CAN,202,226,428,0.47,0.53
PH_CAP,332,242,574,0.58,0.42
PH_GEM,303,243,546,0.55,0.45
PH_LEO,255,229,484,0.53,0.47
PH_LIB,494,357,851,0.58,0.42
PH_PIS,1219,1214,2433,0.5,0.5
PH_SAG,1789,1473,3262,0.55,0.45
PH_SCO,796,717,1513,0.53,0.47
PH_TAU,446,291,737,0.61,0.39
PH_VIR,360,254,614,0.59,0.41
PL_CAP,1786,1369,3155,0.57,0.43
PL_LIB,1568,1484,3052,0.51,0.49
PL_SAG,1745,1507,3252,0.54,0.46
PL_SCO,1589,1314,2903,0.55,0.45
PL_VIR,264,251,515,0.51,0.49
SA_AQU,434,387,821,0.53,0.47
SA_ARI,374,261,635,0.59,0.41
SA_CAN,560,539,1099,0.51,0.49
SA_CAP,738,590,1328,0.56,0.44
SA_GEM,566,584,1150,0.49,0.51
SA_LEO,593,534,1127,0.53,0.47
SA_LIB,706,590,1296,0.54,0.46
SA_PIS,339,239,578,0.59,0.41
SA_SAG,778,582,1360,0.57,0.43
SA_SCO,727,572,1299,0.56,0.44
SA_TAU,522,468,990,0.53,0.47
SA_VIR,615,579,1194,0.52,0.48
SN_AQU,647,528,1175,0.55,0.45
SN_ARI,652,523,1175,0.55,0.45
SN_CAN,615,557,1172,0.52,0.48
SN_CAP,612,556,1168,0.52,0.48
SN_GEM,607,571,1178,0.52,0.48
SN_LEO,606,570,1176,0.52,0.48
SN_LIB,439,345,784,0.56,0.44
SN_PIS,658,516,1174,0.56,0.44
SN_SAG,480,462,942,0.51,0.49
SN_SCO,451,330,781,0.58,0.42
SN_TAU,661,510,1171,0.56,0.44
SN_VIR,524,457,981,0.53,0.47
SU_AQU,583,463,1046,0.56,0.44
SU_ARI,577,485,1062,0.54,0.46
SU_CAN,568,526,1094,0.52,0.48
SU_CAP,560,405,965,0.58,0.42
SU_GEM,597,493,1090,0.55,0.45
SU_LEO,604,535,1139,0.53,0.47
SU_LIB,582,524,1106,0.53,0.47
SU_PIS,585,485,1070,0.55,0.45
SU_SAG,561,471,1032,0.54,0.46
SU_SCO,581,495,1076,0.54,0.46
SU_TAU,602,524,1126,0.53,0.47
SU_VIR,552,519,1071,0.52,0.48
UR_AQU,1042,880,1922,0.54,0.46
UR_ARI,1102,837,1939,0.57,0.43
UR_CAP,985,837,1822,0.54,0.46
UR_LIB,647,676,1323,0.49,0.51
UR_PIS,1013,876,1889,0.54,0.46
UR_SAG,953,780,1733,0.55,0.45
UR_SCO,870,782,1652,0.53,0.47
UR_TAU,340,257,597,0.57,0.43
VE_AQU,552,463,1015,0.54,0.46
VE_ARI,674,580,1254,0.54,0.46
VE_CAN,523,446,969,0.54,0.46
VE_CAP,618,498,1116,0.55,0.45
VE_GEM,720,612,1332,0.54,0.46
VE_LEO,604,538,1142,0.53,0.47
VE_LIB,505,437,942,0.54,0.46
VE_PIS,542,383,925,0.59,0.41
VE_SAG,473,406,879,0.54,0.46
VE_SCO,708,594,1302,0.54,0.46
VE_TAU,471,441,912,0.52,0.48
VE_VIR,562,527,1089,0.52,0.48
VS_AQU,524,471,995,0.53,0.47
VS_ARI,582,503,1085,0.54,0.46
VS_CAN,649,588,1237,0.52,0.48
VS_CAP,491,428,919,0.53,0.47
VS_GEM,725,612,1337,0.54,0.46
VS_LEO,645,555,1200,0.54,0.46
VS_LIB,555,498,1053,0.53,0.47
VS_PIS,579,425,1004,0.58,0.42
VS_SAG,538,411,949,0.57,0.43
VS_SCO,423,351,774,0.55,0.45
VS_TAU,685,618,1303,0.53,0.47
VS_VIR,556,465,1021,0.54,0.46
