PlanetTriplicity,buy,sell,daysN,BuyDays%,SellDays%
CE_CAR,530,512,1042,0.51,0.49
CE_FIX,680,662,1342,0.51,0.49
CE_MUT,792,645,1437,0.55,0.45
CH_CAR,301,319,620,0.49,0.51
CH_FIX,652,510,1162,0.56,0.44
CH_MUT,1049,990,2039,0.51,0.49
EM_CAR,685,667,1352,0.51,0.49
EM_FIX,511,498,1009,0.51,0.49
EM_MUT,806,654,1460,0.55,0.45
ES_CAR,629,576,1205,0.52,0.48
ES_FIX,666,659,1325,0.5,0.5
ES_MUT,707,584,1291,0.55,0.45
JN_CAR,675,591,1266,0.53,0.47
JN_FIX,725,627,1352,0.54,0.46
JN_MUT,602,601,1203,0.5,0.5
JU_CAR,681,582,1263,0.54,0.46
JU_FIX,640,619,1259,0.51,0.49
JU_MUT,681,618,1299,0.52,0.48
MA_CAR,709,616,1325,0.54,0.46
MA_FIX,662,605,1267,0.52,0.48
MA_MUT,631,598,1229,0.51,0.49
ME_CAR,676,604,1280,0.53,0.47
ME_FIX,681,618,1299,0.52,0.48
ME_MUT,645,597,1242,0.52,0.48
MO_CAR,655,624,1279,0.51,0.49
MO_FIX,698,573,1271,0.55,0.45
MO_MUT,649,622,1271,0.51,0.49
NE_FIX,774,623,1397,0.55,0.45
NE_MUT,1228,1196,2424,0.51,0.49
NN_CAR,612,624,1236,0.5,0.5
NN_FIX,620,586,1206,0.51,0.49
NN_MUT,770,609,1379,0.56,0.44
PA_CAR,668,620,1288,0.52,0.48
PA_FIX,648,568,1216,0.53,0.47
PA_MUT,686,631,1317,0.52,0.48
PH_CAR,289,309,598,0.48,0.52
PH_FIX,22,15,37,0.59,0.41
PH_MUT,1691,1495,3186,0.53,0.47
PL_CAR,1695,1570,3265,0.52,0.48
PL_MUT,307,249,556,0.55,0.45
SA_CAR,713,684,1397,0.51,0.49
SA_FIX,569,513,1082,0.53,0.47
SA_MUT,720,622,1342,0.54,0.46
SN_CAR,612,624,1236,0.5,0.5
SN_FIX,620,586,1206,0.51,0.49
SN_MUT,770,609,1379,0.56,0.44
SU_CAR,718,558,1276,0.56,0.44
SU_FIX,615,653,1268,0.49,0.51
SU_MUT,669,608,1277,0.52,0.48
UR_CAR,1040,968,2008,0.52,0.48
UR_FIX,304,314,618,0.49,0.51
UR_MUT,658,537,1195,0.55,0.45
VE_CAR,670,610,1280,0.52,0.48
VE_FIX,665,600,1265,0.53,0.47
VE_MUT,667,609,1276,0.52,0.48
VS_CAR,615,553,1168,0.53,0.47
VS_FIX,693,681,1374,0.5,0.5
VS_MUT,694,585,1279,0.54,0.46
