PlanetZodSign,buy,sell,daysN,BuyDays%,SellDays%
CE_AQU,337,303,640,0.53,0.47
CE_ARI,279,274,553,0.5,0.5
CE_CAN,212,234,446,0.48,0.52
CE_CAP,323,295,618,0.52,0.48
CE_GEM,251,246,497,0.51,0.49
CE_LEO,186,209,395,0.47,0.53
CE_LIB,219,231,450,0.49,0.51
CE_PIS,354,379,733,0.48,0.52
CE_SAG,282,247,529,0.53,0.47
CE_SCO,248,202,450,0.55,0.45
CE_TAU,266,254,520,0.51,0.49
CE_VIR,225,223,448,0.5,0.5
CH_AQU,710,668,1378,0.52,0.48
CH_ARI,311,309,620,0.5,0.5
CH_CAP,443,480,923,0.48,0.52
CH_LIB,72,69,141,0.51,0.49
CH_PIS,1026,1014,2040,0.5,0.5
CH_SAG,359,323,682,0.53,0.47
CH_SCO,261,234,495,0.53,0.47
EM_AQU,305,341,646,0.47,0.53
EM_ARI,316,261,577,0.55,0.45
EM_CAN,232,231,463,0.5,0.5
EM_CAP,365,376,741,0.49,0.51
EM_GEM,201,197,398,0.51,0.49
EM_LEO,373,363,736,0.51,0.49
EM_LIB,245,236,481,0.51,0.49
EM_PIS,305,283,588,0.52,0.48
EM_SAG,190,209,399,0.48,0.52
EM_SCO,200,197,397,0.5,0.5
EM_TAU,180,201,381,0.47,0.53
EM_VIR,270,202,472,0.57,0.43
ES_AQU,303,283,586,0.52,0.48
ES_ARI,202,178,380,0.53,0.47
ES_CAN,371,408,779,0.48,0.52
ES_CAP,314,296,610,0.51,0.49
ES_GEM,190,211,401,0.47,0.53
ES_LEO,328,374,702,0.47,0.53
ES_LIB,189,143,332,0.57,0.43
ES_PIS,396,354,750,0.53,0.47
ES_SAG,241,274,515,0.47,0.53
ES_SCO,209,151,360,0.58,0.42
ES_TAU,129,123,252,0.51,0.49
ES_VIR,310,302,612,0.51,0.49
JN_AQU,295,273,568,0.52,0.48
JN_ARI,184,142,326,0.56,0.44
JN_CAN,115,138,253,0.45,0.55
JN_CAP,308,315,623,0.49,0.51
JN_GEM,203,173,376,0.54,0.46
JN_LEO,299,260,559,0.53,0.47
JN_LIB,401,401,802,0.5,0.5
JN_PIS,159,151,310,0.51,0.49
JN_SAG,352,344,696,0.51,0.49
JN_SCO,387,469,856,0.45,0.55
JN_TAU,175,158,333,0.53,0.47
JN_VIR,304,273,577,0.53,0.47
JU_AQU,291,268,559,0.52,0.48
JU_ARI,161,179,340,0.47,0.53
JU_CAN,271,278,549,0.49,0.51
JU_CAP,285,296,581,0.49,0.51
JU_GEM,293,248,541,0.54,0.46
JU_LEO,294,264,558,0.53,0.47
JU_LIB,288,274,562,0.51,0.49
JU_PIS,240,222,462,0.52,0.48
JU_SAG,295,255,550,0.54,0.46
JU_SCO,295,268,563,0.52,0.48
JU_TAU,208,241,449,0.46,0.54
JU_VIR,261,304,565,0.46,0.54
MA_AQU,246,217,463,0.53,0.47
MA_ARI,252,241,493,0.51,0.49
MA_CAN,227,249,476,0.48,0.52
MA_CAP,244,181,425,0.57,0.43
MA_GEM,226,215,441,0.51,0.49
MA_LEO,274,272,546,0.5,0.5
MA_LIB,318,344,662,0.48,0.52
MA_PIS,240,237,477,0.5,0.5
MA_SAG,302,280,582,0.52,0.48
MA_SCO,257,312,569,0.45,0.55
MA_TAU,255,238,493,0.52,0.48
MA_VIR,341,311,652,0.52,0.48
ME_AQU,265,251,516,0.51,0.49
ME_ARI,255,255,510,0.5,0.5
ME_CAN,253,240,493,0.51,0.49
ME_CAP,292,278,570,0.51,0.49
ME_GEM,217,228,445,0.49,0.51
ME_LEO,250,274,524,0.48,0.52
ME_LIB,251,261,512,0.49,0.51
ME_PIS,298,236,534,0.56,0.44
ME_SAG,319,289,608,0.52,0.48
ME_SCO,297,294,591,0.5,0.5
ME_TAU,232,231,463,0.5,0.5
ME_VIR,253,260,513,0.49,0.51
MO_AQU,269,256,525,0.51,0.49
MO_ARI,252,273,525,0.48,0.52
MO_CAN,283,245,528,0.54,0.46
MO_CAP,269,261,530,0.51,0.49
MO_GEM,251,261,512,0.49,0.51
MO_LEO,249,268,517,0.48,0.52
MO_LIB,287,239,526,0.55,0.45
MO_PIS,273,252,525,0.52,0.48
MO_SAG,268,259,527,0.51,0.49
MO_SCO,255,266,521,0.49,0.51
MO_TAU,264,255,519,0.51,0.49
MO_VIR,262,262,524,0.5,0.5
NE_AQU,1748,1726,3474,0.5,0.5
NE_CAP,206,174,380,0.54,0.46
NE_PIS,1228,1197,2425,0.51,0.49
NN_AQU,191,194,385,0.5,0.5
NN_ARI,228,175,403,0.57,0.43
NN_CAN,415,394,809,0.51,0.49
NN_CAP,193,212,405,0.48,0.52
NN_GEM,272,300,572,0.48,0.52
NN_LEO,392,414,806,0.49,0.51
NN_LIB,270,209,479,0.56,0.44
NN_PIS,217,185,402,0.54,0.46
NN_SAG,189,215,404,0.47,0.53
NN_SCO,219,185,404,0.54,0.46
NN_TAU,180,224,404,0.45,0.55
NN_VIR,416,390,806,0.52,0.48
PA_AQU,405,451,856,0.47,0.53
PA_ARI,301,333,634,0.47,0.53
PA_CAN,103,118,221,0.47,0.53
PA_CAP,433,398,831,0.52,0.48
PA_GEM,154,159,313,0.49,0.51
PA_LEO,179,187,366,0.49,0.51
PA_LIB,270,233,503,0.54,0.46
PA_PIS,414,383,797,0.52,0.48
PA_SAG,305,274,579,0.53,0.47
PA_SCO,256,203,459,0.56,0.44
PA_TAU,171,159,330,0.52,0.48
PA_VIR,191,199,390,0.49,0.51
PH_CAP,298,300,598,0.5,0.5
PH_LIB,397,361,758,0.52,0.48
PH_SAG,1706,1650,3356,0.51,0.49
PH_SCO,781,786,1567,0.5,0.5
PL_CAP,1638,1628,3266,0.5,0.5
PL_SAG,1544,1469,3013,0.51,0.49
SA_AQU,49,52,101,0.49,0.51
SA_ARI,277,217,494,0.56,0.44
SA_CAN,266,285,551,0.48,0.52
SA_CAP,350,357,707,0.5,0.5
SA_GEM,294,305,599,0.49,0.51
SA_LEO,306,248,554,0.55,0.45
SA_LIB,328,362,690,0.48,0.52
SA_SAG,350,359,709,0.49,0.51
SA_SCO,355,291,646,0.55,0.45
SA_TAU,306,305,611,0.5,0.5
SA_VIR,301,316,617,0.49,0.51
SN_AQU,392,414,806,0.49,0.51
SN_ARI,270,209,479,0.56,0.44
SN_CAN,193,212,405,0.48,0.52
SN_CAP,415,394,809,0.51,0.49
SN_GEM,189,215,404,0.47,0.53
SN_LEO,191,194,385,0.5,0.5
SN_LIB,228,175,403,0.57,0.43
SN_PIS,416,390,806,0.52,0.48
SN_SAG,272,300,572,0.48,0.52
SN_SCO,180,224,404,0.45,0.55
SN_TAU,219,185,404,0.54,0.46
SN_VIR,217,185,402,0.54,0.46
SU_AQU,275,237,512,0.54,0.46
SU_ARI,258,260,518,0.5,0.5
SU_CAN,270,266,536,0.5,0.5
SU_CAP,253,272,525,0.48,0.52
SU_GEM,261,274,535,0.49,0.51
SU_LEO,243,278,521,0.47,0.53
SU_LIB,264,257,521,0.51,0.49
SU_PIS,267,242,509,0.52,0.48
SU_SAG,290,233,523,0.55,0.45
SU_SCO,260,260,520,0.5,0.5
SU_TAU,279,253,532,0.52,0.48
SU_VIR,262,265,527,0.5,0.5
UR_AQU,871,848,1719,0.51,0.49
UR_ARI,1016,993,2009,0.51,0.49
UR_PIS,992,941,1933,0.51,0.49
UR_TAU,303,315,618,0.49,0.51
VE_AQU,240,223,463,0.52,0.48
VE_ARI,330,279,609,0.54,0.46
VE_CAN,240,202,442,0.54,0.46
VE_CAP,329,275,604,0.54,0.46
VE_GEM,301,347,648,0.46,0.54
VE_LEO,278,308,586,0.47,0.53
VE_LIB,232,257,489,0.47,0.53
VE_PIS,231,235,466,0.5,0.5
VE_SAG,241,209,450,0.54,0.46
VE_SCO,295,309,604,0.49,0.51
VE_TAU,227,211,438,0.52,0.48
VE_VIR,238,242,480,0.5,0.5
VS_AQU,241,231,472,0.51,0.49
VS_ARI,302,288,590,0.51,0.49
VS_CAN,295,304,599,0.49,0.51
VS_CAP,235,230,465,0.51,0.49
VS_GEM,333,300,633,0.53,0.47
VS_LEO,323,316,639,0.51,0.49
VS_LIB,238,272,510,0.47,0.53
VS_PIS,251,243,494,0.51,0.49
VS_SAG,243,228,471,0.52,0.48
VS_SCO,145,118,263,0.55,0.45
VS_TAU,365,332,697,0.52,0.48
VS_VIR,211,235,446,0.47,0.53
