PlanetTriplicity,buy,sell,daysN,BuyDays%,SellDays%
CE_CAR,1033,1034,2067,0.5,0.5
CE_FIX,1037,968,2005,0.52,0.48
CE_MUT,1112,1095,2207,0.5,0.5
CH_CAR,826,858,1684,0.49,0.51
CH_FIX,971,902,1873,0.52,0.48
CH_MUT,1385,1337,2722,0.51,0.49
EM_CAR,1158,1104,2262,0.51,0.49
EM_FIX,1058,1102,2160,0.49,0.51
EM_MUT,966,891,1857,0.52,0.48
ES_CAR,1076,1025,2101,0.51,0.49
ES_FIX,969,931,1900,0.51,0.49
ES_MUT,1137,1141,2278,0.5,0.5
JN_CAR,1008,996,2004,0.5,0.5
JN_FIX,1156,1160,2316,0.5,0.5
JN_MUT,1018,941,1959,0.52,0.48
JU_CAR,1005,1027,2032,0.49,0.51
JU_FIX,1088,1041,2129,0.51,0.49
JU_MUT,1089,1029,2118,0.51,0.49
MA_CAR,1041,1015,2056,0.51,0.49
MA_FIX,1032,1039,2071,0.5,0.5
MA_MUT,1109,1043,2152,0.52,0.48
ME_CAR,1051,1034,2085,0.5,0.5
ME_FIX,1044,1050,2094,0.5,0.5
ME_MUT,1087,1013,2100,0.52,0.48
MO_CAR,1091,1018,2109,0.52,0.48
MO_FIX,1037,1045,2082,0.5,0.5
MO_MUT,1054,1034,2088,0.5,0.5
NE_CAR,206,174,380,0.54,0.46
NE_FIX,1748,1726,3474,0.5,0.5
NE_MUT,1228,1197,2425,0.51,0.49
NN_CAR,1106,990,2096,0.53,0.47
NN_FIX,982,1017,1999,0.49,0.51
NN_MUT,1094,1090,2184,0.5,0.5
PA_CAR,1107,1082,2189,0.51,0.49
PA_FIX,1011,1000,2011,0.5,0.5
PA_MUT,1064,1015,2079,0.51,0.49
PH_CAR,695,661,1356,0.51,0.49
PH_FIX,781,786,1567,0.5,0.5
PH_MUT,1706,1650,3356,0.51,0.49
PL_CAR,1638,1628,3266,0.5,0.5
PL_MUT,1544,1469,3013,0.51,0.49
SA_CAR,1221,1221,2442,0.5,0.5
SA_FIX,1016,896,1912,0.53,0.47
SA_MUT,945,980,1925,0.49,0.51
SN_CAR,1106,990,2096,0.53,0.47
SN_FIX,982,1017,1999,0.49,0.51
SN_MUT,1094,1090,2184,0.5,0.5
SU_CAR,1045,1055,2100,0.5,0.5
SU_FIX,1057,1028,2085,0.51,0.49
SU_MUT,1080,1014,2094,0.52,0.48
UR_CAR,1016,993,2009,0.51,0.49
UR_FIX,1174,1163,2337,0.5,0.5
UR_MUT,992,941,1933,0.51,0.49
VE_CAR,1131,1013,2144,0.53,0.47
VE_FIX,1040,1051,2091,0.5,0.5
VE_MUT,1011,1033,2044,0.49,0.51
VS_CAR,1070,1094,2164,0.49,0.51
VS_FIX,1074,997,2071,0.52,0.48
VS_MUT,1038,1006,2044,0.51,0.49
