PlanetTriplicity,buy,sell,daysN,BuyDays%,SellDays%
CE_CAR,1486,1387,2873,0.52,0.48
CE_FIX,1447,1338,2785,0.52,0.48
CE_MUT,1722,1406,3128,0.55,0.45
CH_CAR,1455,1250,2705,0.54,0.46
CH_FIX,1269,1106,2375,0.53,0.47
CH_MUT,1931,1775,3706,0.52,0.48
EM_CAR,1571,1387,2958,0.53,0.47
EM_FIX,1555,1364,2919,0.53,0.47
EM_MUT,1529,1380,2909,0.53,0.47
ES_CAR,1740,1528,3268,0.53,0.47
ES_FIX,1369,1232,2601,0.53,0.47
ES_MUT,1546,1371,2917,0.53,0.47
JN_CAR,1591,1329,2920,0.54,0.46
JN_FIX,1603,1467,3070,0.52,0.48
JN_MUT,1461,1335,2796,0.52,0.48
JU_CAR,1548,1451,2999,0.52,0.48
JU_FIX,1512,1259,2771,0.55,0.45
JU_MUT,1595,1421,3016,0.53,0.47
MA_CAR,1594,1434,3028,0.53,0.47
MA_FIX,1505,1346,2851,0.53,0.47
MA_MUT,1556,1351,2907,0.54,0.46
ME_CAR,1561,1370,2931,0.53,0.47
ME_FIX,1569,1395,2964,0.53,0.47
ME_MUT,1525,1366,2891,0.53,0.47
MO_CAR,1536,1402,2938,0.52,0.48
MO_FIX,1569,1351,2920,0.54,0.46
MO_MUT,1550,1378,2928,0.53,0.47
NE_CAR,1665,1405,3070,0.54,0.46
NE_FIX,1711,1663,3374,0.51,0.49
NE_MUT,1279,1063,2342,0.55,0.45
NN_CAR,1640,1486,3126,0.52,0.48
NN_FIX,1473,1287,2760,0.53,0.47
NN_MUT,1542,1358,2900,0.53,0.47
PA_CAR,1566,1321,2887,0.54,0.46
PA_FIX,1582,1446,3028,0.52,0.48
PA_MUT,1507,1364,2871,0.52,0.48
PH_CAR,1034,820,1854,0.56,0.44
PH_FIX,1273,1237,2510,0.51,0.49
PH_MUT,2348,2074,4422,0.53,0.47
PL_CAR,1718,1438,3156,0.54,0.46
PL_FIX,1277,1101,2378,0.54,0.46
PL_MUT,1660,1592,3252,0.51,0.49
SA_CAR,1735,1428,3163,0.55,0.45
SA_FIX,1356,1218,2574,0.53,0.47
SA_MUT,1564,1485,3049,0.51,0.49
SN_CAR,1640,1486,3126,0.52,0.48
SN_FIX,1473,1287,2760,0.53,0.47
SN_MUT,1542,1358,2900,0.53,0.47
SU_CAR,1537,1353,2890,0.53,0.47
SU_FIX,1537,1455,2992,0.51,0.49
SU_MUT,1581,1323,2904,0.54,0.46
UR_CAR,2023,1738,3761,0.54,0.46
UR_FIX,1333,1187,2520,0.53,0.47
UR_MUT,1299,1206,2505,0.52,0.48
VE_CAR,1541,1373,2914,0.53,0.47
VE_FIX,1582,1386,2968,0.53,0.47
VE_MUT,1532,1372,2904,0.53,0.47
VS_CAR,1576,1435,3011,0.52,0.48
VS_FIX,1533,1364,2897,0.53,0.47
VS_MUT,1546,1332,2878,0.54,0.46
