PlanetsAspect,buy,sell,daysN,BuyDays%,SellDays%
JUNE_a0,62,51,113,0.55,0.45
JUNE_a103,167,103,270,0.62,0.38
JUNE_a120,131,102,233,0.56,0.44
JUNE_a135,121,86,207,0.58,0.42
JUNE_a150,155,139,294,0.53,0.47
JUNE_a180,87,69,156,0.56,0.44
JUNE_a30,106,67,173,0.61,0.39
JUNE_a45,129,106,235,0.55,0.45
JUNE_a60,116,101,217,0.53,0.47
JUNE_a90,138,118,256,0.54,0.46
JUPL_a0,82,52,134,0.61,0.39
JUPL_a103,185,107,292,0.63,0.37
JUPL_a120,134,84,218,0.61,0.39
JUPL_a135,150,94,244,0.61,0.39
JUPL_a150,114,104,218,0.52,0.48
JUPL_a180,75,62,137,0.55,0.45
JUPL_a30,106,76,182,0.58,0.42
JUPL_a45,207,151,358,0.58,0.42
JUPL_a60,69,78,147,0.47,0.53
JUPL_a90,111,92,203,0.55,0.45
JUSA_a0,115,78,193,0.6,0.4
JUSA_a103,133,112,245,0.54,0.46
JUSA_a120,135,104,239,0.56,0.44
JUSA_a135,104,96,200,0.52,0.48
JUSA_a150,71,70,141,0.5,0.5
JUSA_a180,91,69,160,0.57,0.43
JUSA_a30,129,126,255,0.51,0.49
JUSA_a45,155,110,265,0.58,0.42
JUSA_a60,166,129,295,0.56,0.44
JUSA_a90,132,105,237,0.56,0.44
JUUR_a0,136,80,216,0.63,0.37
JUUR_a103,134,105,239,0.56,0.44
JUUR_a120,142,112,254,0.56,0.44
JUUR_a135,107,86,193,0.55,0.45
JUUR_a150,127,112,239,0.53,0.47
JUUR_a180,84,40,124,0.68,0.32
JUUR_a30,196,176,372,0.53,0.47
JUUR_a45,130,113,243,0.53,0.47
JUUR_a60,153,120,273,0.56,0.44
JUUR_a90,129,102,231,0.56,0.44
MAJU_a0,67,76,143,0.47,0.53
MAJU_a103,100,113,213,0.47,0.53
MAJU_a120,126,100,226,0.56,0.44
MAJU_a135,113,104,217,0.52,0.48
MAJU_a150,153,85,238,0.64,0.36
MAJU_a180,100,75,175,0.57,0.43
MAJU_a30,143,113,256,0.56,0.44
MAJU_a45,142,122,264,0.54,0.46
MAJU_a60,169,132,301,0.56,0.44
MAJU_a90,151,112,263,0.57,0.43
MANE_a0,48,49,97,0.49,0.51
MANE_a103,137,101,238,0.58,0.42
MANE_a120,116,110,226,0.51,0.49
MANE_a135,179,110,289,0.62,0.38
MANE_a150,136,136,272,0.5,0.5
