PlanetZodSign,buy,sell,daysN,BuyDays%,SellDays%
CE_AQU,160,181,341,0.47,0.53
CE_ARI,114,94,208,0.55,0.45
CE_CAN,48,28,76,0.63,0.37
CE_CAP,108,138,246,0.44,0.56
CE_GEM,39,33,72,0.54,0.46
CE_LEO,132,145,277,0.48,0.52
CE_LIB,32,34,66,0.48,0.52
CE_PIS,160,146,306,0.52,0.48
CE_SAG,174,194,368,0.47,0.53
CE_SCO,42,71,113,0.37,0.63
CE_TAU,90,82,172,0.52,0.48
CE_VIR,28,42,70,0.4,0.6
CH_ARI,409,454,863,0.47,0.53
CH_PIS,718,734,1452,0.49,0.51
EM_AQU,177,207,384,0.46,0.54
EM_ARI,171,184,355,0.48,0.52
EM_CAN,76,71,147,0.52,0.48
EM_CAP,150,176,326,0.46,0.54
EM_GEM,25,26,51,0.49,0.51
EM_LEO,280,251,531,0.53,0.47
EM_LIB,160,184,344,0.47,0.53
EM_PIS,77,70,147,0.52,0.48
EM_SAG,11,19,30,0.37,0.63
ES_AQU,64,84,148,0.43,0.57
ES_CAN,167,215,382,0.44,0.56
ES_CAP,188,168,356,0.53,0.47
ES_LEO,160,165,325,0.49,0.51
ES_PIS,268,262,530,0.51,0.49
ES_SAG,18,19,37,0.49,0.51
ES_SCO,67,81,148,0.45,0.55
ES_TAU,12,22,34,0.35,0.65
ES_VIR,183,172,355,0.52,0.48
JN_AQU,33,36,69,0.48,0.52
JN_ARI,23,41,64,0.36,0.64
JN_CAN,42,38,80,0.52,0.48
JN_CAP,180,136,316,0.57,0.43
JN_GEM,51,42,93,0.55,0.45
JN_LEO,140,189,329,0.43,0.57
JN_LIB,207,229,436,0.47,0.53
JN_PIS,32,32,64,0.5,0.5
JN_SAG,68,54,122,0.56,0.44
JN_SCO,205,185,390,0.53,0.47
JN_TAU,84,116,200,0.42,0.58
JN_VIR,62,90,152,0.41,0.59
JU_AQU,14,18,32,0.44,0.56
JU_CAP,193,190,383,0.5,0.5
JU_LEO,141,185,326,0.43,0.57
JU_LIB,218,178,396,0.55,0.45
JU_SAG,178,211,389,0.46,0.54
JU_SCO,187,207,394,0.47,0.53
JU_VIR,196,199,395,0.5,0.5
MA_AQU,117,160,277,0.42,0.58
MA_ARI,168,148,316,0.53,0.47
MA_CAN,73,64,137,0.53,0.47
MA_CAP,99,115,214,0.46,0.54
MA_GEM,72,61,133,0.54,0.46
MA_LEO,64,79,143,0.45,0.55
MA_LIB,81,65,146,0.55,0.45
MA_PIS,86,85,171,0.5,0.5
MA_SAG,132,137,269,0.49,0.51
MA_SCO,110,113,223,0.49,0.51
MA_TAU,66,78,144,0.46,0.54
MA_VIR,59,83,142,0.42,0.58
ME_AQU,98,91,189,0.52,0.48
ME_ARI,84,92,176,0.48,0.52
ME_CAN,94,80,174,0.54,0.46
ME_CAP,115,98,213,0.54,0.46
ME_GEM,72,73,145,0.5,0.5
ME_LEO,82,105,187,0.44,0.56
ME_LIB,78,132,210,0.37,0.63
ME_PIS,106,82,188,0.56,0.44
ME_SAG,115,113,228,0.5,0.5
ME_SCO,108,133,241,0.45,0.55
ME_TAU,76,95,171,0.44,0.56
ME_VIR,99,94,193,0.51,0.49
MO_AQU,101,97,198,0.51,0.49
MO_ARI,96,97,193,0.5,0.5
