PlanetZodSign,buy,sell,daysN,BuyDays%,SellDays%
CE_AQU,67,59,126,0.53,0.47
CE_CAN,1,1,2,0.5,0.5
CE_CAP,38,38,76,0.5,0.5
CE_LEO,138,139,277,0.5,0.5
CE_LIB,40,26,66,0.61,0.39
CE_PIS,137,92,229,0.6,0.4
CE_SAG,147,148,295,0.5,0.5
CE_SCO,36,39,75,0.48,0.52
CE_VIR,33,37,70,0.47,0.53
CH_ARI,452,411,863,0.52,0.48
CH_PIS,185,168,353,0.52,0.48
EM_AQU,163,146,309,0.53,0.47
EM_CAN,87,60,147,0.59,0.41
EM_CAP,164,162,326,0.5,0.5
EM_GEM,29,22,51,0.57,0.43
EM_LEO,177,176,353,0.5,0.5
EM_SAG,17,13,30,0.57,0.43
ES_AQU,71,77,148,0.48,0.52
ES_CAN,187,195,382,0.49,0.51
ES_CAP,203,153,356,0.57,0.43
ES_LEO,154,139,293,0.53,0.47
ES_SAG,22,15,37,0.59,0.41
JN_AQU,35,34,69,0.51,0.49
JN_ARI,27,37,64,0.42,0.58
JN_CAN,35,27,62,0.56,0.44
JN_CAP,45,40,85,0.53,0.47
JN_GEM,50,43,93,0.54,0.46
JN_LEO,31,32,63,0.49,0.51
JN_LIB,178,143,321,0.55,0.45
JN_PIS,35,29,64,0.55,0.45
JN_SAG,20,13,33,0.61,0.39
JN_SCO,50,39,89,0.56,0.44
JN_TAU,99,101,200,0.5,0.5
JN_VIR,32,41,73,0.44,0.56
JU_AQU,19,13,32,0.59,0.41
JU_CAP,220,163,383,0.57,0.43
JU_LIB,12,6,18,0.67,0.33
JU_SAG,188,201,389,0.48,0.52
JU_SCO,198,196,394,0.5,0.5
MA_AQU,101,97,198,0.51,0.49
MA_ARI,134,102,236,0.57,0.43
MA_CAN,29,17,46,0.63,0.37
MA_CAP,71,61,132,0.54,0.46
MA_GEM,26,20,46,0.57,0.43
MA_LEO,20,28,48,0.42,0.58
MA_LIB,47,47,94,0.5,0.5
MA_PIS,47,46,93,0.51,0.49
MA_SAG,52,42,94,0.55,0.45
MA_SCO,45,48,93,0.48,0.52
MA_TAU,32,27,59,0.54,0.46
MA_VIR,33,44,77,0.43,0.57
ME_AQU,41,36,77,0.53,0.47
ME_ARI,62,41,103,0.6,0.4
ME_CAN,75,56,131,0.57,0.43
ME_CAP,40,36,76,0.53,0.47
ME_GEM,20,25,45,0.44,0.56
ME_LEO,58,67,125,0.46,0.54
ME_LIB,45,44,89,0.51,0.49
ME_PIS,70,68,138,0.51,0.49
ME_SAG,88,73,161,0.55,0.45
ME_SCO,84,87,171,0.49,0.51
ME_TAU,26,19,45,0.58,0.42
ME_VIR,28,27,55,0.51,0.49
MO_AQU,61,50,111,0.55,0.45
MO_ARI,55,54,109,0.5,0.5
MO_CAN,55,39,94,0.59,0.41
MO_CAP,65,44,109,0.6,0.4
MO_GEM,49,49,98,0.5,0.5
MO_LEO,40,53,93,0.43,0.57
MO_LIB,43,52,95,0.45,0.55
MO_PIS,53,57,110,0.48,0.52
MO_SAG,58,44,102,0.57,0.43
MO_SCO,56,44,100,0.56,0.44
MO_TAU,60,43,103,0.58,0.42
MO_VIR,42,50,92,0.46,0.54
NE_PIS,637,579,1216,0.52,0.48
NN_CAN,292,275,567,0.51,0.49
NN_GEM,131,99,230,0.57,0.43
NN_LEO,214,205,419,0.51,0.49
PA_AQU,46,31,77,0.6,0.4
PA_ARI,39,26,65,0.6,0.4
PA_CAN,18,33,51,0.35,0.65
PA_CAP,166,125,291,0.57,0.43
PA_GEM,36,16,52,0.69,0.31
PA_LEO,26,29,55,0.47,0.53
PA_LIB,149,145,294,0.51,0.49
PA_SAG,35,36,71,0.49,0.51
PA_SCO,33,41,74,0.45,0.55
PA_TAU,53,71,124,0.43,0.57
PA_VIR,36,26,62,0.58,0.42
PH_CAP,452,380,832,0.54,0.46
PH_SAG,185,199,384,0.48,0.52
PL_CAP,637,579,1216,0.52,0.48
SA_AQU,83,52,135,0.61,0.39
SA_CAP,506,486,992,0.51,0.49
SA_SAG,48,41,89,0.54,0.46
SN_AQU,214,205,419,0.51,0.49
SN_CAP,292,275,567,0.51,0.49
SN_SAG,131,99,230,0.57,0.43
SU_AQU,52,37,89,0.58,0.42
SU_ARI,57,35,92,0.62,0.38
SU_CAN,49,46,95,0.52,0.48
SU_CAP,69,49,118,0.58,0.42
SU_GEM,44,49,93,0.47,0.53
SU_LEO,52,42,94,0.55,0.45
SU_LIB,65,56,121,0.54,0.46
SU_PIS,34,56,90,0.38,0.62
SU_SAG,61,57,118,0.52,0.48
SU_SCO,60,60,120,0.5,0.5
SU_TAU,56,37,93,0.6,0.4
SU_VIR,38,55,93,0.41,0.59
UR_ARI,185,170,355,0.52,0.48
UR_TAU,452,409,861,0.52,0.48
VE_AQU,38,34,72,0.53,0.47
VE_ARI,41,36,77,0.53,0.47
VE_CAN,30,50,80,0.38,0.62
VE_CAP,46,41,87,0.53,0.47
VE_GEM,112,63,175,0.64,0.36
VE_LEO,32,45,77,0.42,0.58
VE_LIB,70,68,138,0.51,0.49
VE_PIS,40,34,74,0.54,0.46
VE_SAG,48,51,99,0.48,0.52
VE_SCO,90,70,160,0.56,0.44
VE_TAU,47,31,78,0.6,0.4
VE_VIR,43,56,99,0.43,0.57
VS_AQU,31,31,62,0.5,0.5
VS_ARI,37,30,67,0.55,0.45
VS_CAN,44,25,69,0.64,0.36
VS_CAP,78,68,146,0.53,0.47
VS_GEM,47,27,74,0.64,0.36
VS_LEO,33,39,72,0.46,0.54
VS_LIB,26,29,55,0.47,0.53
VS_PIS,33,28,61,0.54,0.46
VS_SAG,79,95,174,0.45,0.55
VS_SCO,36,24,60,0.6,0.4
VS_TAU,138,148,286,0.48,0.52
VS_VIR,55,35,90,0.61,0.39
