PlanetsAspect,buy,sell
JUNE_a0,117,63
JUNE_a103,265,212
JUNE_a120,278,214
JUNE_a135,252,156
JUNE_a150,284,258
JUNE_a180,176,181
JUNE_a30,197,126
JUNE_a45,243,147
JUNE_a60,232,205
JUNE_a90,261,190
JUPL_a0,143,117
JUPL_a103,290,217
JUPL_a120,256,177
JUPL_a135,231,204
JUPL_a150,254,191
JUPL_a180,137,131
JUPL_a30,157,96
JUPL_a45,290,245
JUPL_a60,136,116
JUPL_a90,258,156
JUSA_a0,84,57
JUSA_a103,260,203
JUSA_a120,262,194
JUSA_a135,252,219
JUSA_a150,159,155
JUSA_a180,190,162
JUSA_a30,228,209
JUSA_a45,232,150
JUSA_a60,238,177
JUSA_a90,316,191
JUUR_a0,142,95
JUUR_a103,272,227
JUUR_a120,252,214
JUUR_a135,198,192
JUUR_a150,222,230
JUUR_a180,186,118
JUUR_a30,191,119
JUUR_a45,180,170
JUUR_a60,231,174
JUUR_a90,252,189
MAJU_a0,139,104
MAJU_a103,228,199
MAJU_a120,228,169
MAJU_a135,205,157
MAJU_a150,251,145
MAJU_a180,198,188
MAJU_a30,213,154
MAJU_a45,209,135
MAJU_a60,284,216
MAJU_a90,255,185
MANE_a0,111,88
MANE_a103,239,162
MANE_a120,200,206
MANE_a135,289,211
MANE_a150,262,227
MANE_a180,166,141
MANE_a30,260,158
MANE_a45,243,174
MANE_a60,187,139
MANE_a90,269,232
MAPL_a0,143,104
MAPL_a103,220,192
MAPL_a120,246,187
MAPL_a135,263,220
MAPL_a150,260,235
MAPL_a180,124,131
MAPL_a30,226,172
MAPL_a45,244,183
MAPL_a60,218,176
MAPL_a90,294,202
MASA_a0,133,98
MASA_a103,201,161
MASA_a120,226,168
MASA_a135,233,158
MASA_a150,241,182
MASA_a180,199,104
MASA_a30,277,222
MASA_a45,298,204
MASA_a60,274,170
MASA_a90,265,177
MAUR_a0,152,89
MAUR_a103,240,224
MAUR_a120,237,192
MAUR_a135,249,245
MAUR_a150,282,243
MAUR_a180,172,130
MAUR_a30,212,178
MAUR_a45,175,157
MAUR_a60,229,183
MAUR_a90,251,188
MEJU_a0,160,145
MEJU_a103,244,206
MEJU_a120,225,150
MEJU_a135,233,189
MEJU_a150,213,201
MEJU_a180,115,83
MEJU_a30,295,221
MEJU_a45,293,210
MEJU_a60,285,209
MEJU_a90,281,184
MEMA_a0,275,187
MEMA_a103,232,210
MEMA_a120,121,97
MEMA_a135,122,81
MEMA_a150,100,75
MEMA_a180,52,50
MEMA_a30,378,317
MEMA_a45,426,313
MEMA_a60,305,235
MEMA_a90,274,203
MENE_a0,165,130
MENE_a103,224,203
MENE_a120,242,183
MENE_a135,268,237
MENE_a150,244,163
MENE_a180,156,130
MENE_a30,273,208
MENE_a45,277,203
MENE_a60,276,182
MENE_a90,270,225
MEPL_a0,194,119
MEPL_a103,261,213
MEPL_a120,271,184
MEPL_a135,212,179
MEPL_a150,255,185
MEPL_a180,109,102
MEPL_a30,286,208
MEPL_a45,274,212
MEPL_a60,250,229
MEPL_a90,264,181
MESA_a0,187,104
MESA_a103,259,224
MESA_a120,248,170
MESA_a135,254,182
MESA_a150,217,187
MESA_a180,144,99
MESA_a30,267,206
MESA_a45,313,222
MESA_a60,265,179
MESA_a90,261,176
MESU_a0,838,631
MESU_a30,277,219
MEUR_a0,174,126
MEUR_a103,246,220
MEUR_a120,230,228
MEUR_a135,246,204
MEUR_a150,228,212
MEUR_a180,167,113
MEUR_a30,258,195
MEUR_a45,258,218
MEUR_a60,300,202
MEUR_a90,254,193
MEVE_a0,486,336
MEVE_a30,838,588
MEVE_a45,538,478
MEVE_a60,452,316
MOJU_a0,294,247
MOJU_a103,562,472
MOJU_a120,604,481
MOJU_a135,610,469
MOJU_a150,598,451
MOJU_a180,322,216
MOJU_a30,605,451
MOJU_a45,623,448
MOJU_a60,584,450
MOJU_a90,550,448
MOMA_a0,303,240
MOMA_a103,547,475
MOMA_a120,576,443
MOMA_a135,556,452
MOMA_a150,549,463
MOMA_a180,303,253
MOMA_a30,584,436
MOMA_a45,612,419
MOMA_a60,599,429
MOMA_a90,561,469
MOME_a0,316,230
MOME_a103,555,427
MOME_a120,551,471
MOME_a135,542,426
MOME_a150,526,433
MOME_a180,280,241
MOME_a30,572,434
MOME_a45,579,418
MOME_a60,564,423
MOME_a90,576,411
MONE_a0,324,251
MONE_a103,610,441
MONE_a120,589,443
MONE_a135,587,455
MONE_a150,567,463
MONE_a180,329,242
MONE_a30,575,460
MONE_a45,586,445
MONE_a60,619,430
MONE_a90,595,433
MOPL_a0,326,240
MOPL_a103,564,473
MOPL_a120,588,449
MOPL_a135,619,427
MOPL_a150,614,433
MOPL_a180,307,263
MOPL_a30,572,454
MOPL_a45,560,476
MOPL_a60,600,444
MOPL_a90,576,458
MOSA_a0,330,253
MOSA_a103,593,457
MOSA_a120,592,472
MOSA_a135,581,466
MOSA_a150,584,455
MOSA_a180,314,246
MOSA_a30,588,451
MOSA_a45,576,456
MOSA_a60,626,405
MOSA_a90,569,465
MOSU_a0,307,239
MOSU_a103,564,440
MOSU_a120,563,451
MOSU_a135,543,440
MOSU_a150,535,434
MOSU_a180,308,225
MOSU_a30,552,418
MOSU_a45,563,443
MOSU_a60,570,430
MOSU_a90,567,441
MOUR_a0,320,258
MOUR_a103,609,434
MOUR_a120,562,487
MOUR_a135,566,474
MOUR_a150,598,437
MOUR_a180,298,270
MOUR_a30,574,469
MOUR_a45,596,431
MOUR_a60,599,435
MOUR_a90,603,441
MOVE_a0,338,208
MOVE_a103,511,468
MOVE_a120,560,450
MOVE_a135,540,424
MOVE_a150,555,431
MOVE_a180,306,230
MOVE_a30,571,418
MOVE_a45,570,423
MOVE_a60,560,431
MOVE_a90,516,484
NEPL_a60,1129,842
SANE_a0,159,111
SANE_a103,212,188
SANE_a120,214,201
SANE_a135,165,147
SANE_a150,222,180
SANE_a180,144,90
SANE_a30,277,174
SANE_a45,153,109
SANE_a60,265,168
SANE_a90,243,200
SAPL_a0,150,127
SAPL_a103,211,191
SAPL_a120,243,172
SAPL_a135,215,166
SAPL_a150,190,181
SAPL_a180,102,130
SAPL_a30,279,166
SAPL_a45,238,199
SAPL_a60,242,191
SAPL_a90,247,173
SAUR_a0,162,139
SAUR_a103,277,228
SAUR_a120,295,224
SAUR_a135,283,231
SAUR_a150,293,186
SAUR_a180,142,138
SAUR_a30,143,126
SAUR_a45,152,110
SAUR_a60,126,104
SAUR_a90,116,110
SUJU_a0,168,146
SUJU_a103,272,155
SUJU_a120,239,174
SUJU_a135,217,166
SUJU_a150,202,178
SUJU_a180,125,99
SUJU_a30,290,226
SUJU_a45,289,214
SUJU_a60,270,221
SUJU_a90,235,215
SUMA_a0,249,179
SUMA_a103,203,145
SUMA_a120,169,113
SUMA_a135,133,84
SUMA_a150,90,101
SUMA_a180,44,54
SUMA_a30,355,305
SUMA_a45,360,272
SUMA_a60,305,263
SUMA_a90,238,187
SUNE_a0,151,113
SUNE_a103,242,219
SUNE_a120,257,195
SUNE_a135,233,234
SUNE_a150,244,205
SUNE_a180,141,130
SUNE_a30,272,168
SUNE_a45,246,193
SUNE_a60,268,176
SUNE_a90,290,164
SUPL_a0,161,103
SUPL_a103,249,205
SUPL_a120,268,183
SUPL_a135,252,216
SUPL_a150,244,211
SUPL_a180,155,115
SUPL_a30,249,198
SUPL_a45,251,198
SUPL_a60,247,205
SUPL_a90,259,198
SUSA_a0,156,126
SUSA_a103,248,193
SUSA_a120,227,213
SUSA_a135,225,210
SUSA_a150,247,180
SUSA_a180,164,94
SUSA_a30,269,206
SUSA_a45,287,200
SUSA_a60,245,225
SUSA_a90,272,186
SUUR_a0,161,116
SUUR_a103,241,201
SUUR_a120,231,218
SUUR_a135,267,184
SUUR_a150,244,196
SUUR_a180,167,106
SUUR_a30,256,194
SUUR_a45,263,186
SUUR_a60,260,195
SUUR_a90,242,207
URNE_a0,757,557
URNE_a30,673,503
URNE_a45,615,433
URPL_a103,369,270
URPL_a45,614,439
URPL_a60,752,531
URPL_a90,590,448
VEJU_a0,206,140
VEJU_a103,256,148
VEJU_a120,226,184
VEJU_a135,239,168
VEJU_a150,228,173
VEJU_a180,145,118
VEJU_a30,290,195
VEJU_a45,256,209
VEJU_a60,293,187
VEJU_a90,240,212
VEMA_a0,293,223
VEMA_a103,280,220
VEMA_a120,237,141
VEMA_a135,103,83
VEMA_a150,106,72
VEMA_a180,53,50
VEMA_a30,302,236
VEMA_a45,362,230
VEMA_a60,295,282
VEMA_a90,277,168
VENE_a0,137,125
VENE_a103,272,190
VENE_a120,233,213
VENE_a135,243,221
VENE_a150,235,203
VENE_a180,148,118
VENE_a30,255,187
VENE_a45,275,173
VENE_a60,240,200
VENE_a90,280,192
