PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
SUSA_a0,1,120,0.001,0.008,0,0.001,0.006,-0.026,0.021,0.047,-0.257,1.364,0.001
MEUR_a0,1,123,0,0.006,0.001,0,0.005,-0.031,0.021,0.053,-0.787,4.584,0.001
MEMA_a45,1,389,-0.001,0.008,-0.001,-0.001,0.006,-0.058,0.026,0.083,-1.171,7.479,0
MAPL_a90,1,236,0,0.007,0,0,0.006,-0.03,0.03,0.06,-0.275,2.207,0
MAUR_a60,1,209,0.001,0.007,0.001,0.001,0.006,-0.017,0.021,0.038,0.035,0.076,0
SUMA_a60,1,298,-0.001,0.008,0,0,0.007,-0.035,0.024,0.059,-0.381,1.845,0
SUUR_a0,1,114,0.002,0.007,0.001,0.001,0.008,-0.016,0.022,0.039,0.351,0.272,0.001
MAPL_a103,1,195,-0.001,0.007,0,-0.001,0.005,-0.029,0.021,0.05,-0.651,2.703,0
VESU_a45,1,1967,0,0.008,0,0,0.006,-0.066,0.067,0.132,-0.521,7.99,0
MASA_a90,1,237,0,0.007,0.001,0,0.006,-0.035,0.033,0.068,-0.248,4.195,0
MEVE_a45,1,466,0.001,0.009,0,0,0.007,-0.044,0.065,0.109,0.753,7.243,0
MEVE_a60,1,410,0,0.007,0,0,0.005,-0.048,0.025,0.073,-0.582,5.132,0
SUNE_a0,1,108,-0.001,0.01,0.001,0,0.006,-0.058,0.019,0.077,-2.332,9.562,0.001
MAPL_a120,1,203,0.001,0.007,0.001,0.001,0.006,-0.035,0.022,0.057,-0.638,3.061,0.001
MASA_a103,1,177,0.001,0.008,0.002,0.001,0.006,-0.035,0.032,0.067,-0.497,3.056,0.001
MAUR_a90,1,209,0.001,0.008,0.001,0.001,0.006,-0.031,0.036,0.068,0.142,4.069,0.001
SUJU_a0,1,121,0.001,0.012,0.001,0.001,0.008,-0.048,0.05,0.098,-0.282,4.314,0.001
MAPL_a135,1,265,0,0.008,0.001,0.001,0.006,-0.035,0.026,0.06,-0.766,3.072,0
VEMA_a0,1,224,-0.001,0.008,0,-0.001,0.007,-0.041,0.026,0.066,-0.604,2.425,0.001
MASA_a120,1,193,0.001,0.008,0.001,0.001,0.006,-0.026,0.036,0.062,0.374,3.235,0.001
MEJU_a0,1,120,0.001,0.009,0,0,0.006,-0.021,0.05,0.071,1.663,8.273,0.001
SUMA_a45,1,316,0,0.009,0,0,0.006,-0.041,0.042,0.083,-0.195,3.698,0.001
MAUR_a103,1,243,0,0.009,0,0,0.007,-0.035,0.05,0.085,0.75,6.151,0.001
MANE_a90,1,225,-0.001,0.012,0,-0.001,0.006,-0.103,0.029,0.132,-4.944,38.809,0.001
MAPL_a150,1,254,0,0.007,0,0,0.006,-0.025,0.024,0.049,0.096,0.836,0
JUUR_a45,1,230,-0.001,0.01,-0.001,0,0.008,-0.035,0.025,0.06,-0.193,0.69,0.001
JUNE_a30,1,155,0.001,0.01,0.001,0.001,0.006,-0.044,0.05,0.094,0.349,6.393,0.001
MASA_a135,1,187,0.001,0.007,0.001,0.001,0.007,-0.02,0.027,0.047,-0.112,0.602,0.001
JUPL_a90,1,202,0.001,0.006,0.001,0.001,0.006,-0.014,0.022,0.036,0.128,0.367,0
MANE_a103,1,189,0,0.01,0.001,0.001,0.006,-0.064,0.065,0.129,-0.348,17.34,0.001
MAUR_a120,1,206,0.002,0.009,0.001,0.002,0.006,-0.031,0.046,0.077,0.703,5.933,0.001
URPL_a45,1,594,0,0.011,0.001,0.001,0.007,-0.103,0.044,0.147,-2.841,24.083,0
MEMA_a30,1,344,0,0.011,0,0,0.007,-0.064,0.065,0.129,-0.097,9.262,0.001
MASA_a150,1,191,-0.001,0.008,0,0,0.006,-0.04,0.024,0.064,-0.767,4.046,0.001
