PlanetZodSign,buy,sell,daysN,BuyDays%,SellDays%
CE_AQU,265,253,518,0.51,0.49
CE_ARI,141,141,282,0.5,0.5
CE_CAN,171,141,312,0.55,0.45
CE_CAP,157,192,349,0.45,0.55
CE_GEM,123,134,257,0.48,0.52
CE_LEO,164,184,348,0.47,0.53
CE_LIB,157,153,310,0.51,0.49
CE_PIS,260,214,474,0.55,0.45
CE_SAG,227,244,471,0.48,0.52
CE_SCO,188,211,399,0.47,0.53
CE_TAU,211,177,388,0.54,0.46
CE_VIR,177,160,337,0.53,0.47
CH_AQU,712,666,1378,0.52,0.48
CH_ARI,311,309,620,0.5,0.5
CH_CAP,208,199,407,0.51,0.49
CH_PIS,1010,1030,2040,0.5,0.5
EM_AQU,246,253,499,0.49,0.51
EM_ARI,230,257,487,0.47,0.53
EM_CAN,105,126,231,0.45,0.55
EM_CAP,206,176,382,0.54,0.46
EM_GEM,210,188,398,0.53,0.47
EM_LEO,237,246,483,0.49,0.51
EM_LIB,176,182,358,0.49,0.51
EM_PIS,193,162,355,0.54,0.46
EM_SAG,191,187,378,0.51,0.49
EM_SCO,128,144,272,0.47,0.53
EM_TAU,121,114,235,0.51,0.49
EM_VIR,198,169,367,0.54,0.46
ES_AQU,188,167,355,0.53,0.47
ES_ARI,181,199,380,0.48,0.52
ES_CAN,327,305,632,0.52,0.48
ES_CAP,242,241,483,0.5,0.5
ES_GEM,67,82,149,0.45,0.55
ES_LEO,169,174,343,0.49,0.51
ES_LIB,130,122,252,0.52,0.48
ES_PIS,263,239,502,0.52,0.48
ES_SAG,126,128,254,0.5,0.5
ES_SCO,184,175,359,0.51,0.49
ES_TAU,115,137,252,0.46,0.54
ES_VIR,249,235,484,0.51,0.49
JN_AQU,197,164,361,0.55,0.45
JN_ARI,105,119,224,0.47,0.53
JN_CAN,95,79,174,0.55,0.45
JN_CAP,287,278,565,0.51,0.49
JN_GEM,127,176,303,0.42,0.58
JN_LEO,153,175,328,0.47,0.53
JN_LIB,322,284,606,0.53,0.47
JN_PIS,131,134,265,0.49,0.51
JN_SAG,250,240,490,0.51,0.49
JN_SCO,254,241,495,0.51,0.49
JN_TAU,122,141,263,0.46,0.54
JN_VIR,198,173,371,0.53,0.47
JU_AQU,154,143,297,0.52,0.48
JU_ARI,106,58,164,0.65,0.35
JU_CAN,144,130,274,0.53,0.47
JU_CAP,287,242,529,0.54,0.46
JU_GEM,134,137,271,0.49,0.51
JU_LEO,121,158,279,0.43,0.57
JU_LIB,275,287,562,0.49,0.51
JU_PIS,83,112,195,0.43,0.57
JU_SAG,284,266,550,0.52,0.48
JU_SCO,276,287,563,0.49,0.51
JU_TAU,129,137,266,0.48,0.52
JU_VIR,248,247,495,0.5,0.5
MA_AQU,154,185,339,0.45,0.55
MA_ARI,205,202,407,0.5,0.5
MA_CAN,209,169,378,0.55,0.45
MA_CAP,152,144,296,0.51,0.49
MA_GEM,190,156,346,0.55,0.45
MA_LEO,210,235,445,0.47,0.53
MA_LIB,206,224,430,0.48,0.52
MA_PIS,139,131,270,0.51,0.49
MA_SAG,160,182,342,0.47,0.53
MA_SCO,196,155,351,0.56,0.44
MA_TAU,204,201,405,0.5,0.5
MA_VIR,216,220,436,0.5,0.5
ME_AQU,166,201,367,0.45,0.55
ME_ARI,196,181,377,0.52,0.48
ME_CAN,192,175,367,0.52,0.48
ME_CAP,201,189,390,0.52,0.48
ME_GEM,142,153,295,0.48,0.52
ME_LEO,187,189,376,0.5,0.5
ME_LIB,175,183,358,0.49,0.51
ME_PIS,197,192,389,0.51,0.49
ME_SAG,217,216,433,0.5,0.5
ME_SCO,241,189,430,0.56,0.44
ME_TAU,146,172,318,0.46,0.54
ME_VIR,181,164,345,0.52,0.48
MO_AQU,166,202,368,0.45,0.55
MO_ARI,209,163,372,0.56,0.44
MO_CAN,177,201,378,0.47,0.53
MO_CAP,181,191,372,0.49,0.51
MO_GEM,193,171,364,0.53,0.47
MO_LEO,206,163,369,0.56,0.44
MO_LIB,175,196,371,0.47,0.53
MO_PIS,208,161,369,0.56,0.44
MO_SAG,187,183,370,0.51,0.49
MO_SCO,174,196,370,0.47,0.53
MO_TAU,190,180,370,0.51,0.49
MO_VIR,175,197,372,0.47,0.53
NE_AQU,1039,981,2020,0.51,0.49
NE_PIS,1202,1223,2425,0.5,0.5
NN_AQU,201,184,385,0.52,0.48
NN_ARI,189,214,403,0.47,0.53
NN_CAN,200,204,404,0.5,0.5
