PlanetsAspect,buy,sell,daysN,BuyDays%,SellDays%
JUNE_a0,47,38,85,0.55,0.45
JUNE_a103,40,35,75,0.53,0.47
JUNE_a120,38,36,74,0.51,0.49
JUNE_a135,36,36,72,0.5,0.5
JUNE_a150,51,32,83,0.61,0.39
JUNE_a180,15,22,37,0.41,0.59
JUNE_a30,62,52,114,0.54,0.46
JUNE_a45,27,16,43,0.63,0.37
JUNE_a60,94,67,161,0.58,0.42
JUNE_a90,51,38,89,0.57,0.43
JUPL_a0,52,47,99,0.53,0.47
JUPL_a103,16,7,23,0.7,0.3
JUPL_a120,56,52,108,0.52,0.48
JUPL_a135,9,16,25,0.36,0.64
JUPL_a150,55,57,112,0.49,0.51
JUPL_a180,34,26,60,0.57,0.43
JUPL_a30,53,67,120,0.44,0.56
JUPL_a45,72,55,127,0.57,0.43
JUPL_a60,45,44,89,0.51,0.49
JUPL_a90,67,58,125,0.54,0.46
JUSA_a0,17,10,27,0.63,0.37
JUSA_a103,53,55,108,0.49,0.51
JUSA_a120,84,79,163,0.52,0.48
JUSA_a135,50,40,90,0.56,0.44
JUSA_a150,37,37,74,0.5,0.5
JUSA_a180,26,24,50,0.52,0.48
JUSA_a30,55,57,112,0.49,0.51
JUSA_a45,59,53,112,0.53,0.47
JUSA_a60,47,31,78,0.6,0.4
JUSA_a90,61,51,112,0.54,0.46
JUUR_a0,56,31,87,0.64,0.36
JUUR_a103,53,56,109,0.49,0.51
JUUR_a120,35,45,80,0.44,0.56
JUUR_a135,30,28,58,0.52,0.48
JUUR_a150,36,22,58,0.62,0.38
JUUR_a180,40,30,70,0.57,0.43
JUUR_a30,92,77,169,0.54,0.46
JUUR_a45,12,19,31,0.39,0.61
JUUR_a60,78,69,147,0.53,0.47
JUUR_a90,86,70,156,0.55,0.45
MAJU_a0,19,25,44,0.43,0.57
MAJU_a103,41,43,84,0.49,0.51
MAJU_a120,27,37,64,0.42,0.58
MAJU_a135,48,38,86,0.56,0.44
MAJU_a150,34,30,64,0.53,0.47
