PlanetZodSign,buy,sell,daysN,BuyDays%,SellDays%
CE_AQU,64,62,126,0.51,0.49
CE_CAP,39,37,76,0.51,0.49
CE_LEO,118,150,268,0.44,0.56
CE_LIB,31,35,66,0.47,0.53
CE_PIS,129,100,229,0.56,0.44
CE_SAG,149,146,295,0.51,0.49
CE_SCO,33,42,75,0.44,0.56
CE_VIR,29,41,70,0.41,0.59
CH_ARI,432,431,863,0.5,0.5
CH_PIS,160,182,342,0.47,0.53
EM_AQU,140,158,298,0.47,0.53
EM_CAN,89,58,147,0.61,0.39
EM_CAP,162,164,326,0.5,0.5
EM_GEM,27,24,51,0.53,0.47
EM_LEO,157,196,353,0.44,0.56
EM_SAG,17,13,30,0.57,0.43
ES_AQU,55,93,148,0.37,0.63
ES_CAN,188,194,382,0.49,0.51
ES_CAP,193,163,356,0.54,0.46
ES_LEO,135,147,282,0.48,0.52
ES_SAG,21,16,37,0.57,0.43
JN_AQU,30,39,69,0.43,0.57
JN_ARI,21,43,64,0.33,0.67
JN_CAN,29,33,62,0.47,0.53
JN_CAP,42,32,74,0.57,0.43
JN_GEM,53,40,93,0.57,0.43
JN_LEO,28,35,63,0.44,0.56
JN_LIB,175,146,321,0.55,0.45
JN_PIS,27,37,64,0.42,0.58
JN_SAG,18,15,33,0.55,0.45
JN_SCO,46,43,89,0.52,0.48
JN_TAU,85,115,200,0.42,0.57
JN_VIR,38,35,73,0.52,0.48
JU_AQU,17,15,32,0.53,0.47
JU_CAP,208,175,383,0.54,0.46
JU_LIB,3,4,7,0.43,0.57
JU_SAG,190,199,389,0.49,0.51
JU_SCO,174,220,394,0.44,0.56
MA_AQU,96,102,198,0.48,0.52
MA_ARI,119,117,236,0.5,0.5
MA_CAN,23,23,46,0.5,0.5
MA_CAP,55,77,132,0.42,0.58
MA_GEM,19,27,46,0.41,0.59
MA_LEO,20,28,48,0.42,0.58
MA_LIB,51,43,94,0.54,0.46
MA_PIS,47,46,93,0.51,0.49
MA_SAG,43,51,94,0.46,0.54
MA_SCO,46,47,93,0.49,0.51
MA_TAU,39,20,59,0.66,0.34
MA_VIR,34,32,66,0.52,0.48
ME_AQU,36,41,77,0.47,0.53
ME_ARI,47,56,103,0.46,0.54
ME_CAN,70,61,131,0.53,0.47
ME_CAP,38,38,76,0.5,0.5
ME_GEM,24,21,45,0.53,0.47
ME_LEO,51,74,125,0.41,0.59
ME_LIB,46,39,85,0.54,0.46
ME_PIS,74,64,138,0.54,0.46
ME_SAG,86,75,161,0.53,0.47
ME_SCO,81,90,171,0.47,0.53
ME_TAU,20,25,45,0.44,0.56
ME_VIR,19,29,48,0.4,0.6
MO_AQU,58,51,109,0.53,0.47
MO_ARI,50,59,109,0.46,0.54
MO_CAN,52,42,94,0.55,0.45
MO_CAP,51,55,106,0.48,0.52
MO_GEM,44,54,98,0.45,0.55
MO_LEO,39,54,93,0.42,0.58
MO_LIB,51,44,95,0.54,0.46
MO_PIS,51,58,109,0.47,0.53
MO_SAG,52,48,100,0.52,0.48
MO_SCO,45,52,97,0.46,0.54
MO_TAU,58,45,103,0.56,0.44
MO_VIR,41,51,92,0.45,0.55
NE_PIS,592,613,1205,0.49,0.51
NN_CAN,295,272,567,0.52,0.48
NN_GEM,118,112,230,0.51,0.49
NN_LEO,179,229,408,0.44,0.56
PA_AQU,47,30,77,0.61,0.39
PA_ARI,37,28,65,0.57,0.43
PA_CAN,17,34,51,0.33,0.67
PA_CAP,153,138,291,0.53,0.47
PA_GEM,28,24,52,0.54,0.46
PA_LEO,23,32,55,0.42,0.58
PA_LIB,142,152,294,0.48,0.52
PA_SAG,37,34,71,0.52,0.48
PA_SCO,38,36,74,0.51,0.49
PA_TAU,42,71,113,0.37,0.63
PA_VIR,28,34,62,0.45,0.55
PH_CAP,420,412,832,0.5,0.5
PH_SAG,172,201,373,0.46,0.54
PL_CAP,592,613,1205,0.49,0.51
SA_AQU,84,51,135,0.62,0.38
SA_CAP,463,529,992,0.47,0.53
SA_SAG,45,33,78,0.58,0.42
SN_AQU,179,229,408,0.44,0.56
SN_CAP,295,272,567,0.52,0.48
SN_SAG,118,112,230,0.51,0.49
SU_AQU,42,47,89,0.47,0.53
SU_ARI,53,39,92,0.58,0.42
SU_CAN,51,44,95,0.54,0.46
SU_CAP,65,53,118,0.55,0.45
SU_GEM,43,50,93,0.46,0.54
SU_LEO,35,59,94,0.37,0.63
