PlanetsAspect,buy,sell,daysN,BuyDays%,SellDays%
JUNE_a0,61,52,113,0.54,0.46
JUNE_a103,143,127,270,0.53,0.47
JUNE_a120,119,114,233,0.51,0.49
JUNE_a135,116,91,207,0.56,0.44
JUNE_a150,138,156,294,0.47,0.53
JUNE_a180,75,81,156,0.48,0.52
JUNE_a30,93,80,173,0.54,0.46
JUNE_a45,128,104,232,0.55,0.45
JUNE_a60,111,106,217,0.51,0.49
JUNE_a90,140,116,256,0.55,0.45
JUPL_a0,64,70,134,0.48,0.52
JUPL_a103,149,143,292,0.51,0.49
JUPL_a120,119,99,218,0.55,0.45
JUPL_a135,117,127,244,0.48,0.52
JUPL_a150,110,108,218,0.5,0.5
JUPL_a180,68,69,137,0.5,0.5
JUPL_a30,102,80,182,0.56,0.44
JUPL_a45,201,157,358,0.56,0.44
JUPL_a60,75,72,147,0.51,0.49
JUPL_a90,102,101,203,0.5,0.5
JUSA_a0,98,95,193,0.51,0.49
JUSA_a103,111,134,245,0.45,0.55
JUSA_a120,122,117,239,0.51,0.49
JUSA_a135,90,110,200,0.45,0.55
JUSA_a150,68,73,141,0.48,0.52
JUSA_a180,66,94,160,0.41,0.59
JUSA_a30,127,128,255,0.5,0.5
JUSA_a45,155,110,265,0.58,0.42
JUSA_a60,156,139,295,0.53,0.47
JUSA_a90,136,101,237,0.57,0.43
JUUR_a0,114,102,216,0.53,0.47
JUUR_a103,115,124,239,0.48,0.52
JUUR_a120,115,139,254,0.45,0.55
JUUR_a135,91,102,193,0.47,0.53
JUUR_a150,128,111,239,0.54,0.46
JUUR_a180,79,45,124,0.64,0.36
JUUR_a30,179,193,372,0.48,0.52
JUUR_a45,110,133,243,0.45,0.55
JUUR_a60,145,128,273,0.53,0.47
JUUR_a90,115,107,222,0.52,0.48
MAJU_a0,63,80,143,0.44,0.56
MAJU_a103,102,111,213,0.48,0.52
MAJU_a120,122,104,226,0.54,0.46
MAJU_a135,124,93,217,0.57,0.43
MAJU_a150,125,113,238,0.53,0.47
MAJU_a180,92,83,175,0.53,0.47
MAJU_a30,155,101,256,0.61,0.39
MAJU_a45,149,115,264,0.56,0.44
MAJU_a60,154,147,301,0.51,0.49
MAJU_a90,122,136,258,0.47,0.53
MANE_a0,47,50,97,0.48,0.52
MANE_a103,125,113,238,0.53,0.47
MANE_a120,106,120,226,0.47,0.53
MANE_a135,161,128,289,0.56,0.44
MANE_a150,131,141,272,0.48,0.52
MANE_a180,60,76,136,0.44,0.56
MANE_a30,128,113,241,0.53,0.47
MANE_a45,142,147,289,0.49,0.51
MANE_a60,111,98,209,0.53,0.47
MANE_a90,145,131,276,0.53,0.47
MAPL_a0,50,61,111,0.45,0.55
MAPL_a103,110,114,224,0.49,0.51
MAPL_a120,124,117,241,0.51,0.49
MAPL_a135,152,149,301,0.5,0.5
MAPL_a150,152,137,289,0.53,0.47
MAPL_a180,51,66,117,0.44,0.56
MAPL_a30,140,118,258,0.54,0.46
MAPL_a45,132,144,276,0.48,0.52
MAPL_a60,121,123,244,0.5,0.5
MAPL_a90,155,119,274,0.57,0.43
MASA_a0,78,55,133,0.59,0.41
MASA_a103,111,106,217,0.51,0.49
MASA_a120,118,112,230,0.51,0.49
MASA_a135,131,90,221,0.59,0.41
MASA_a150,103,125,228,0.45,0.55
MASA_a180,85,51,136,0.62,0.38
MASA_a30,147,135,282,0.52,0.48
MASA_a45,160,147,307,0.52,0.48
MASA_a60,159,117,276,0.58,0.42
MASA_a90,150,120,270,0.56,0.44
MAUR_a0,58,69,127,0.46,0.54
MAUR_a103,133,142,275,0.48,0.52
MAUR_a120,145,94,239,0.61,0.39
MAUR_a135,116,152,268,0.43,0.57
MAUR_a150,147,152,299,0.49,0.51
MAUR_a180,69,65,134,0.51,0.49
MAUR_a30,144,113,257,0.56,0.44
MAUR_a45,89,142,231,0.39,0.61
MAUR_a60,138,136,274,0.5,0.5
MAUR_a90,145,123,268,0.54,0.46
MEJU_a0,89,78,167,0.53,0.47
MEJU_a103,163,117,280,0.58,0.42
MEJU_a120,137,106,243,0.56,0.44
MEJU_a135,125,144,269,0.46,0.54
MEJU_a150,123,128,251,0.49,0.51
MEJU_a180,45,51,96,0.47,0.53
MEJU_a30,182,138,320,0.57,0.43
MEJU_a45,195,164,359,0.54,0.46
MEJU_a60,156,142,298,0.52,0.48
MEJU_a90,165,125,290,0.57,0.43
MEMA_a0,117,109,226,0.52,0.48
MEMA_a103,152,124,276,0.55,0.45
MEMA_a120,72,89,161,0.45,0.55
MEMA_a135,77,42,119,0.65,0.35
MEMA_a150,60,48,108,0.56,0.44
MEMA_a180,18,28,46,0.39,0.61
MEMA_a30,248,200,448,0.55,0.45
MEMA_a45,223,252,475,0.47,0.53
MEMA_a60,181,157,338,0.54,0.46
MEMA_a90,158,129,287,0.55,0.45
MENE_a0,68,80,148,0.46,0.54
MENE_a103,134,146,280,0.48,0.52
MENE_a120,154,139,293,0.53,0.47
MENE_a135,170,143,313,0.54,0.46
MENE_a150,125,131,256,0.49,0.51
MENE_a180,84,62,146,0.58,0.42
MENE_a30,157,145,302,0.52,0.48
MENE_a45,172,131,303,0.57,0.43
MENE_a60,146,135,281,0.52,0.48
MENE_a90,164,158,322,0.51,0.49
MEPL_a0,84,76,160,0.52,0.48
MEPL_a103,142,166,308,0.46,0.54
MEPL_a120,145,142,287,0.51,0.49
MEPL_a135,141,124,265,0.53,0.47
MEPL_a150,134,132,266,0.5,0.5
MEPL_a180,63,51,114,0.55,0.45
MEPL_a30,151,155,306,0.49,0.51
MEPL_a45,169,136,305,0.55,0.45
MEPL_a60,162,150,312,0.52,0.48
MEPL_a90,173,127,300,0.58,0.42
MESA_a0,82,72,154,0.53,0.47
MESA_a103,166,143,309,0.54,0.46
MESA_a120,151,134,285,0.53,0.47
MESA_a135,177,117,294,0.6,0.4
MESA_a150,127,114,241,0.53,0.47
MESA_a180,55,54,109,0.5,0.5
MESA_a30,180,144,324,0.56,0.44
MESA_a45,194,161,355,0.55,0.45
MESA_a60,155,143,298,0.52,0.48
MESA_a90,159,129,288,0.55,0.45
MESU_a0,396,367,763,0.52,0.48
MEUR_a0,73,83,156,0.47,0.53
MEUR_a103,137,151,288,0.48,0.52
MEUR_a120,156,146,302,0.52,0.48
MEUR_a135,168,124,292,0.58,0.42
MEUR_a150,154,139,293,0.53,0.47
MEUR_a180,75,62,137,0.55,0.45
MEUR_a30,183,141,324,0.56,0.44
MEUR_a45,170,142,312,0.54,0.46
MEUR_a60,152,156,308,0.49,0.51
MEUR_a90,161,124,285,0.56,0.44
MEVE_a0,214,213,427,0.5,0.5
MEVE_a30,442,426,868,0.51,0.49
MEVE_a45,306,303,609,0.5,0.5
MEVE_a60,270,227,497,0.54,0.46
MOJU_a0,221,228,449,0.49,0.51
MOJU_a103,499,440,939,0.53,0.47
MOJU_a120,512,483,995,0.51,0.49
MOJU_a135,512,481,993,0.52,0.48
MOJU_a150,509,444,953,0.53,0.47
