PlanetElement,buy,sell,daysN,BuyDays%,SellDays%
CE_AIR,101,91,192,0.53,0.47
CE_EAR,67,79,146,0.46,0.54
CE_FIR,306,266,572,0.53,0.47
CE_WAT,211,152,363,0.58,0.42
CH_FIR,459,404,863,0.53,0.47
CH_WAT,226,184,410,0.55,0.45
EM_AIR,217,189,406,0.53,0.47
EM_EAR,168,158,326,0.52,0.48
EM_FIR,208,186,394,0.53,0.47
EM_WAT,92,55,147,0.63,0.37
ES_AIR,72,76,148,0.49,0.51
ES_EAR,212,144,356,0.6,0.4
ES_FIR,191,171,362,0.53,0.47
ES_WAT,210,197,407,0.52,0.48
JN_AIR,283,200,483,0.59,0.41
JN_EAR,205,210,415,0.49,0.51
JN_FIR,80,80,160,0.5,0.5
JN_WAT,117,98,215,0.54,0.46
JU_AIR,64,43,107,0.6,0.4
JU_EAR,225,158,383,0.59,0.41
JU_FIR,196,193,389,0.5,0.5
JU_WAT,200,194,394,0.51,0.49
MA_AIR,175,163,338,0.52,0.48
MA_EAR,142,143,285,0.5,0.5
MA_FIR,246,172,418,0.59,0.41
MA_WAT,122,110,232,0.53,0.47
ME_AIR,113,98,211,0.54,0.46
ME_EAR,127,96,223,0.57,0.43
ME_FIR,202,197,399,0.51,0.49
ME_WAT,243,197,440,0.55,0.45
MO_AIR,179,139,318,0.56,0.44
MO_EAR,162,156,318,0.51,0.49
MO_FIR,165,152,317,0.52,0.48
MO_WAT,179,141,320,0.56,0.44
NE_WAT,685,588,1273,0.54,0.46
NN_AIR,134,96,230,0.58,0.42
NN_FIR,243,233,476,0.51,0.49
NN_WAT,308,259,567,0.54,0.46
PA_AIR,236,187,423,0.56,0.44
PA_EAR,292,242,534,0.55,0.45
PA_FIR,103,88,191,0.54,0.46
PA_WAT,54,71,125,0.43,0.57
PH_EAR,472,360,832,0.57,0.43
PH_FIR,213,228,441,0.48,0.52
PL_EAR,685,588,1273,0.54,0.46
SA_AIR,85,50,135,0.63,0.37
SA_EAR,517,475,992,0.52,0.48
SA_FIR,83,63,146,0.57,0.43
SN_AIR,243,233,476,0.51,0.49
SN_EAR,308,259,567,0.54,0.46
SN_FIR,134,96,230,0.58,0.42
SU_AIR,168,135,303,0.55,0.45
SU_EAR,182,153,335,0.54,0.46
SU_FIR,197,133,330,0.6,0.4
SU_WAT,138,167,305,0.45,0.55
UR_EAR,457,404,861,0.53,0.47
UR_FIR,228,184,412,0.55,0.45
VE_AIR,195,194,389,0.5,0.5
VE_EAR,147,119,266,0.55,0.45
VE_FIR,145,133,278,0.52,0.48
VE_WAT,198,142,340,0.58,0.42
VS_AIR,113,82,195,0.58,0.42
VS_EAR,295,280,575,0.51,0.49
VS_FIR,153,160,313,0.49,0.51
VS_WAT,124,66,190,0.65,0.35
