PlanetsAspect,buy,sell,daysN,BuyDays%,SellDays%
MEUR_a135,283,223,506,0.56,0.44
MEUR_a150,269,224,493,0.55,0.45
MEUR_a180,188,120,308,0.61,0.39
MEUR_a30,283,240,523,0.54,0.46
MEUR_a45,289,257,546,0.53,0.47
MEUR_a60,320,248,568,0.56,0.44
MEUR_a90,290,231,521,0.56,0.44
MEVE_a0,540,370,910,0.59,0.41
MEVE_a30,922,685,1607,0.57,0.43
MEVE_a45,618,532,1150,0.54,0.46
MEVE_a60,510,373,883,0.58,0.42
MOJU_a0,342,282,624,0.55,0.45
MOJU_a103,635,545,1180,0.54,0.46
MOJU_a120,679,551,1230,0.55,0.45
MOJU_a135,682,538,1220,0.56,0.44
MOJU_a150,668,520,1188,0.56,0.44
MOJU_a180,369,262,631,0.58,0.42
MOJU_a30,696,509,1205,0.58,0.42
MOJU_a45,704,513,1217,0.58,0.42
MOJU_a60,664,514,1178,0.56,0.44
MOJU_a90,633,527,1160,0.55,0.45
MOMA_a0,350,285,635,0.55,0.45
MOMA_a103,635,533,1168,0.54,0.46
MOMA_a120,640,533,1173,0.55,0.45
MOMA_a135,629,529,1158,0.54,0.46
MOMA_a150,612,539,1151,0.53,0.47
MOMA_a180,353,289,642,0.55,0.45
MOMA_a30,653,506,1159,0.56,0.44
MOMA_a45,676,490,1166,0.58,0.42
MOMA_a60,684,478,1162,0.59,0.41
MOMA_a90,647,542,1189,0.54,0.46
MOME_a0,350,273,623,0.56,0.44
MOME_a103,631,484,1115,0.57,0.43
MOME_a120,627,535,1162,0.54,0.46
MOME_a135,608,500,1108,0.55,0.45
MOME_a150,597,512,1109,0.54,0.46
MOME_a180,314,278,592,0.53,0.47
MOME_a30,643,514,1157,0.56,0.44
MOME_a45,656,489,1145,0.57,0.43
MOME_a60,649,483,1132,0.57,0.43
MOME_a90,651,473,1124,0.58,0.42
MONE_a0,365,286,651,0.56,0.44
MONE_a103,677,520,1197,0.57,0.43
MONE_a120,642,536,1178,0.54,0.46
MONE_a135,665,526,1191,0.56,0.44
MONE_a150,639,538,1177,0.54,0.46
MONE_a180,358,295,653,0.55,0.45
MONE_a30,669,515,1184,0.57,0.43
MONE_a45,669,516,1185,0.56,0.44
MONE_a60,701,500,1201,0.58,0.42
MONE_a90,676,495,1171,0.58,0.42
MOPL_a0,379,274,653,0.58,0.42
MOPL_a103,648,541,1189,0.54,0.46
MOPL_a120,670,515,1185,0.57,0.43
MOPL_a135,686,505,1191,0.58,0.42
MOPL_a150,691,505,1196,0.58,0.42
MOPL_a180,338,315,653,0.52,0.48
MOPL_a30,653,515,1168,0.56,0.44
